"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","Vemida","2026-07-09T03:31:38.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Hoobob","2026-07-09T03:31:38.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","FantasyISO","2026-07-09T05:01:47.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Sternhold","2026-07-09T05:01:47.000Z"
"03xmv","1","5","5","PF","Jayson Tatum","BOS","shuey33","2026-07-09T11:13:44.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","jakemosky","2026-07-09T11:13:44.000Z"
"05uib","1","7","7","PG","Cade Cunningham","DET","boldest19","2026-07-09T11:14:09.000Z"
"05uie","1","8","8","PF","Scottie Barnes","TOR","Son","2026-07-09T11:16:38.000Z"
"04ewt","1","9","9","SG","Derrick White","BOS","JDUB13","2026-07-09T19:16:46.000Z"
"05qug","1","10","10","SG","Anthony Edwards","MIN","thibs11","2026-07-09T19:16:47.000Z"
"05uiu","1","11","11","SF","Jalen Johnson","ATL","Pilli","2026-07-09T19:16:48.000Z"
"031m2","1","12","12","PF","Giannis Antetokounmpo","MIA","BIGPURPLEANDGOLD","2026-07-09T19:21:22.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","BIGPURPLEANDGOLD","2026-07-09T19:21:30.000Z"
"05qtv","2","2","14","PG","Tyrese Haliburton","IND","Pilli","2026-07-09T19:44:59.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","thibs11","2026-07-09T22:38:30.000Z"
"03nwm","2","4","16","SG","Devin Booker","PHO","JDUB13","2026-07-09T22:45:54.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","Son","2026-07-09T22:52:17.000Z"
"05uiq","2","6","18","C","Alperen Sengun","HOU","boldest19","2026-07-09T22:52:47.000Z"
"01enh","2","7","19","PG","Stephen Curry","GS","jakemosky","2026-07-09T23:05:04.000Z"
"001aw","2","8","20","PF","Kevin Durant","HOU","shuey33","2026-07-09T23:27:34.000Z"
"05qto","2","9","21","PG","LaMelo Ball","MIN","Sternhold","2026-07-10T00:20:28.000Z"
"042n4","2","10","22","PG","Jamal Murray","DEN","FantasyISO","2026-07-10T00:23:04.000Z"
"04qrk","2","11","23","PG","Trae Young","WAS","Hoobob","2026-07-10T00:58:59.000Z"
"04qsa","2","12","24","PG","Jalen Brunson","NY","Vemida","2026-07-10T03:55:25.000Z"
"05qtj","3","1","25","SF","Deni Avdija","POR","Vemida","2026-07-10T03:55:34.000Z"
"05uus","3","2","26","SG","Austin Reaves","LAL","Hoobob","2026-07-10T07:12:11.000Z"
"04azw","3","3","27","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-10T07:12:50.000Z"
"06211","3","4","28","C","Chet Holmgren","OKC","Sternhold","2026-07-10T09:37:20.000Z"
"05uid","3","5","29","PF","Evan Mobley","CLE","shuey33","2026-07-10T13:34:37.000Z"
"01eo6","3","6","30","PG","James Harden","CLE","jakemosky","2026-07-10T13:34:37.000Z"
