"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","Bucket Getters","2026-07-13T23:00:03.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","GalaDynasty","2026-07-13T23:00:05.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","F Hoops Edge","2026-07-13T23:00:07.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","BadHabits","2026-07-13T23:44:41.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","JJyumyum","2026-07-13T23:54:51.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","Battle Styles","2026-07-14T00:10:32.000Z"
"03xmv","1","7","7","PF","Jayson Tatum","BOS","Anyang","2026-07-14T04:43:57.000Z"
"06v5l","1","8","8","SF","Cooper Flagg","DAL","FantasyISO","2026-07-14T04:47:22.000Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","Pilli","2026-07-14T04:47:22.000Z"
"06ca8","1","10","10","SF","Amen Thompson","HOU","Jimco15","2026-07-14T10:26:21.000Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","thibs11","2026-07-14T10:26:22.000Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","GreenPoh","2026-07-14T13:45:55.000Z"
"05qug","2","1","13","SG","Anthony Edwards","MIN","GreenPoh","2026-07-14T13:46:06.000Z"
"06211","2","2","14","C","Chet Holmgren","OKC","thibs11","2026-07-14T13:46:21.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","Jimco15","2026-07-14T14:28:57.000Z"
"031m2","2","4","16","PF","Giannis Antetokounmpo","MIA","Pilli","2026-07-14T14:28:58.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-14T14:38:25.000Z"
"001aw","2","6","18","PF","Kevin Durant","HOU","Anyang","2026-07-14T16:26:42.000Z"
"01enh","2","7","19","PG","Stephen Curry","GS","Battle Styles","2026-07-14T16:49:52.000Z"
"05uir","2","8","20","SF","Trey Murphy","NO","JJyumyum","2026-07-14T17:47:41.000Z"
"05uig","2","9","21","PG","Josh Giddey","CHI","BadHabits","2026-07-14T17:47:42.000Z"
"01eo6","2","10","22","PG","James Harden","CLE","F Hoops Edge","2026-07-14T20:10:33.000Z"
"042n4","2","11","23","PG","Jamal Murray","DEN","GalaDynasty","2026-07-14T20:15:11.000Z"
"05qto","2","12","24","PG","LaMelo Ball","MIN","Bucket Getters","2026-07-14T23:24:07.000Z"
"04qrk","3","1","25","PG","Trae Young","WAS","Bucket Getters","2026-07-14T23:24:21.000Z"
"04azw","3","2","26","PF","Lauri Markkanen","UTA","GalaDynasty","2026-07-15T06:34:59.000Z"
"027oz","3","3","27","SF","Kawhi Leonard","LAC","F Hoops Edge","2026-07-15T06:35:01.000Z"
"05uid","3","4","28","PF","Evan Mobley","CLE","BadHabits","2026-07-15T07:34:17.000Z"
"051ox","3","5","29","SG","Nickeil Alexander-Walker","ATL","JJyumyum","2026-07-15T11:32:17.000Z"
"05uiq","3","6","30","C","Alperen Sengun","HOU","Battle Styles","2026-07-15T16:19:13.000Z"
"04ewt","3","7","31","SG","Derrick White","BOS","Anyang","2026-07-15T16:21:51.000Z"
"05uus","3","8","32","SG","Austin Reaves","LAL","FantasyISO","2026-07-15T16:22:31.000Z"
"05qtj","3","9","33","SF","Deni Avdija","POR","Pilli","2026-07-15T16:29:12.000Z"
"04ewf","3","10","34","C","Bam Adebayo","MIA","Jimco15","2026-07-15T16:39:02.000Z"
"05qtt","3","11","35","C","Onyeka Okongwu","ATL","thibs11","2026-07-15T16:39:36.000Z"
"02nf1","3","12","36","PF","Anthony Davis","WAS","GreenPoh","2026-07-15T17:12:49.000Z"
"03nwm","4","1","37","SG","Devin Booker","PHO","GreenPoh","2026-07-15T17:13:51.000Z"
"05qt3","4","2","38","SG","Desmond Bane","ORL","thibs11","2026-07-15T17:44:28.000Z"
"03ajv","4","3","39","PF","Julius Randle","BKN","Jimco15","2026-07-15T18:55:53.000Z"
"0621b","4","4","40","SG","Jalen Williams","OKC","Pilli","2026-07-15T19:10:06.000Z"
"04qsa","4","5","41","PG","Jalen Brunson","NY","FantasyISO","2026-07-15T19:16:20.000Z"
"03lls","4","6","42","SF","Jaylen Brown","PHI","Anyang","2026-07-15T21:26:30.000Z"
"076vc","4","7","43","PF","Cameron Boozer","MEM","Battle Styles","2026-07-15T21:43:43.000Z"
"06v5n","4","8","44","SF","Kon Knueppel","CHA","JJyumyum","2026-07-15T23:00:55.000Z"
"06mjz","4","9","45","C","Donovan Clingan","POR","BadHabits","2026-07-16T00:20:24.000Z"
"06cby","4","10","46","PG","Keyonte George","UTA","F Hoops Edge","2026-07-16T04:22:27.000Z"
"06cca","4","11","47","SF","Brandon Miller","CHA","GalaDynasty","2026-07-16T04:33:24.000Z"
"04qrj","4","12","48","C","Jaren Jackson","UTA","Bucket Getters","2026-07-16T04:33:24.000Z"
"06mk3","5","1","49","SF","Matas Buzelis","CHI","Bucket Getters","2026-07-16T04:33:26.000Z"
"0621c","5","2","50","C","Jalen Duren","DET","GalaDynasty","2026-07-16T04:45:43.000Z"
"0621l","5","3","51","C","Walker Kessler","LAL","F Hoops Edge","2026-07-16T04:50:17.000Z"
"04ewn","5","4","52","PF","OG Anunoby","NY","BadHabits","2026-07-16T04:58:24.000Z"
"042nm","5","5","53","PF","Pascal Siakam","IND","JJyumyum","2026-07-16T05:14:07.000Z"
"06mk1","5","6","54","C","Zach Edey","MEM","Battle Styles","2026-07-16T07:04:18.000Z"
"042n7","5","7","55","C","Domantas Sabonis","SAC","Anyang","2026-07-16T10:38:11.000Z"
"05uii","5","8","56","SF","Franz Wagner","ORL","FantasyISO","2026-07-16T10:49:28.000Z"
"06217","5","9","57","SG","Dyson Daniels","ATL","Pilli","2026-07-16T12:19:11.000Z"
"06mk7","5","10","58","C","Kelel Ware","MIL","Jimco15","2026-07-16T12:59:43.000Z"
