"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","cookie the wookiee","2026-07-09T00:24:53.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Hoobob","2026-07-09T00:24:54.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","BadHabits","2026-07-09T00:24:56.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Bucket Getters","2026-07-09T03:17:41.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Son","2026-07-09T07:44:31.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","zoltand","2026-07-09T08:00:01.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","Pilli","2026-07-09T08:00:02.000Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","JDUB13","2026-07-09T09:16:14.000Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","shuey33","2026-07-09T11:12:21.000Z"
"031m2","1","10","10","PF","Giannis Antetokounmpo","MIA","MikeRame","2026-07-09T11:12:22.000Z"
"05qtv","1","11","11","PG","Tyrese Haliburton","IND","FantasyISO","2026-07-09T11:13:59.000Z"
"04ewe","1","12","12","SG","Donovan Mitchell","CLE","Vemida","2026-07-09T11:18:12.000Z"
"05uie","2","1","13","PF","Scottie Barnes","TOR","Vemida","2026-07-09T11:18:18.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","FantasyISO","2026-07-09T11:19:52.000Z"
"01enh","2","3","15","PG","Stephen Curry","GS","MikeRame","2026-07-09T11:20:33.000Z"
"04qrk","2","4","16","PG","Trae Young","WAS","shuey33","2026-07-09T11:23:01.000Z"
"03nwm","2","5","17","SG","Devin Booker","PHO","JDUB13","2026-07-09T19:20:40.000Z"
"03ad3","2","6","18","C","Karl-Anthony Towns","NY","Pilli","2026-07-09T19:44:41.000Z"
"05qto","2","7","19","PG","LaMelo Ball","MIN","zoltand","2026-07-09T19:48:43.000Z"
"042n4","2","8","20","PG","Jamal Murray","DEN","Son","2026-07-09T21:13:22.000Z"
"05uiq","2","9","21","C","Alperen Sengun","HOU","Bucket Getters","2026-07-09T21:59:59.000Z"
"06ca8","2","10","22","SF","Amen Thompson","HOU","BadHabits","2026-07-09T22:27:50.000Z"
"001aw","2","11","23","PF","Kevin Durant","HOU","Hoobob","2026-07-09T22:53:41.000Z"
"05uir","2","12","24","SF","Trey Murphy","NO","cookie the wookiee","2026-07-09T23:41:46.000Z"
"05uus","3","1","25","SG","Austin Reaves","LAL","cookie the wookiee","2026-07-09T23:41:50.000Z"
"01eo6","3","2","26","PG","James Harden","CLE","Hoobob","2026-07-10T01:01:44.000Z"
