"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","Pilli","2026-07-09T00:25:20.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","thibs11","2026-07-09T00:25:22.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Lildaddy","2026-07-09T00:26:07.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","JDUB13","2026-07-09T01:58:20.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","Vemida","2026-07-09T03:31:22.000Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","WarnerG","2026-07-09T10:17:39.000Z"
"05uib","1","7","7","PG","Cade Cunningham","DET","Arwido","2026-07-09T10:22:33.000Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","boldest19","2026-07-09T10:57:41.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","Hoobob","2026-07-09T11:02:04.000Z"
"04qrk","1","10","10","PG","Trae Young","WAS","Son","2026-07-09T11:07:12.000Z"
"05qtv","1","11","11","PG","Tyrese Haliburton","IND","FantasyISO","2026-07-09T11:11:07.000Z"
"04ewe","1","12","12","SG","Donovan Mitchell","CLE","Sternhold","2026-07-09T11:19:29.000Z"
"05qug","2","1","13","SG","Anthony Edwards","MIN","Sternhold","2026-07-09T11:19:37.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","FantasyISO","2026-07-09T11:19:58.000Z"
"05uie","2","3","15","PF","Scottie Barnes","TOR","Son","2026-07-09T11:22:00.000Z"
"001aw","2","4","16","PF","Kevin Durant","HOU","Hoobob","2026-07-09T11:42:08.000Z"
"042n4","2","5","17","PG","Jamal Murray","DEN","boldest19","2026-07-09T11:44:57.000Z"
"01enh","2","6","18","PG","Stephen Curry","GS","Arwido","2026-07-09T19:45:05.000Z"
"03nwm","2","7","19","SG","Devin Booker","PHO","WarnerG","2026-07-09T20:56:06.000Z"
"05qtj","2","8","20","SF","Deni Avdija","POR","Vemida","2026-07-09T20:56:34.000Z"
"06ca8","2","9","21","SF","Amen Thompson","HOU","JDUB13","2026-07-09T22:23:32.000Z"
"01eo6","2","10","22","PG","James Harden","CLE","Lildaddy","2026-07-09T22:34:00.000Z"
"04ewt","2","11","23","SG","Derrick White","BOS","thibs11","2026-07-09T22:34:17.000Z"
"03ad3","2","12","24","C","Karl-Anthony Towns","NY","Pilli","2026-07-09T22:34:17.000Z"
"06211","3","1","25","C","Chet Holmgren","OKC","Pilli","2026-07-09T22:34:19.000Z"
"05uid","3","2","26","PF","Evan Mobley","CLE","thibs11","2026-07-09T22:35:58.000Z"
"03lls","3","3","27","SF","Jaylen Brown","PHI","Lildaddy","2026-07-09T22:39:13.000Z"
"06210","3","4","28","PF","Paolo Banchero","ORL","JDUB13","2026-07-09T22:42:15.000Z"
"027oz","3","5","29","SF","Kawhi Leonard","LAC","Vemida","2026-07-10T06:42:24.000Z"
"05qto","3","6","30","PG","LaMelo Ball","MIN","WarnerG","2026-07-10T07:26:56.000Z"
"04qrj","3","7","31","C","Jaren Jackson","UTA","Arwido","2026-07-10T10:31:16.000Z"
"02nf1","3","8","32","PF","Anthony Davis","WAS","boldest19","2026-07-10T10:39:13.000Z"
"05uus","3","9","33","SG","Austin Reaves","LAL","Hoobob","2026-07-10T10:55:15.000Z"
"05uir","3","10","34","SF","Trey Murphy","NO","Son","2026-07-10T11:21:32.000Z"
"04azw","3","11","35","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-10T11:43:52.000Z"
"04ewf","3","12","36","C","Bam Adebayo","MIA","Sternhold","2026-07-10T11:44:58.000Z"
"05uiq","4","1","37","C","Alperen Sengun","HOU","Sternhold","2026-07-10T11:45:05.000Z"
"0621l","4","2","38","C","Walker Kessler","LAL","FantasyISO","2026-07-10T12:29:07.000Z"
"05qtt","4","3","39","C","Onyeka Okongwu","ATL","Son","2026-07-10T20:33:25.000Z"
"05uig","4","4","40","PG","Josh Giddey","CHI","Hoobob","2026-07-10T21:44:47.000Z"
"04qsa","4","5","41","PG","Jalen Brunson","NY","boldest19","2026-07-10T23:09:20.000Z"
"051ot","4","6","42","SG","Tyler Herro","MIL","Arwido","2026-07-11T04:29:00.000Z"
"042n7","4","7","43","C","Domantas Sabonis","SAC","WarnerG","2026-07-11T11:37:51.000Z"
"042nm","4","8","44","PF","Pascal Siakam","IND","Vemida","2026-07-11T11:42:15.000Z"
"06v5n","4","9","45","SF","Kon Knueppel","CHA","JDUB13","2026-07-11T13:54:01.000Z"
"051ox","4","10","46","SG","Nickeil Alexander-Walker","ATL","Lildaddy","2026-07-11T13:55:49.000Z"
"06mk7","4","11","47","C","Kelel Ware","MIL","thibs11","2026-07-11T14:10:40.000Z"
"076vc","4","12","48","PF","Cameron Boozer","MEM","Pilli","2026-07-11T14:23:02.000Z"
"051ol","5","1","49","PG","Darius Garland","LAC","Pilli","2026-07-11T14:24:02.000Z"
"06mk3","5","2","50","SF","Matas Buzelis","CHI","thibs11","2026-07-11T14:24:38.000Z"
"076t0","5","3","51","PF","Caleb Wilson","CHI","Lildaddy","2026-07-11T14:33:49.000Z"
"042n1","5","4","52","SF","Brandon Ingram","TOR","JDUB13","2026-07-11T17:54:53.000Z"
"04qrn","5","5","53","SF","Mikal Bridges","NY","Vemida","2026-07-11T22:54:52.000Z"
"04qrr","5","6","54","SF","Michael Porter","BKN","WarnerG","2026-07-12T03:46:24.000Z"
"0621b","5","7","55","SG","Jalen Williams","OKC","Arwido","2026-07-12T06:34:06.000Z"
"05qt3","5","8","56","SG","Desmond Bane","ORL","boldest19","2026-07-12T08:52:09.000Z"
"06cca","5","9","57","SF","Brandon Miller","CHA","Hoobob","2026-07-12T09:55:24.000Z"
"06mjw","5","10","58","PG","Stephon Castle","SA","Son","2026-07-12T12:10:48.000Z"
"0621c","5","11","59","C","Jalen Duren","DET","FantasyISO","2026-07-12T12:12:00.000Z"
"06cby","5","12","60","PG","Keyonte George","UTA","Sternhold","2026-07-12T12:14:23.000Z"
"06mju","6","1","61","C","Alex Sarr","WAS","Sternhold","2026-07-12T12:14:31.000Z"
"04ewn","6","2","62","PF","OG Anunoby","NY","FantasyISO","2026-07-12T12:15:45.000Z"
"042nq","6","3","63","PG","Dejounte Murray","NO","Son","2026-07-12T12:16:08.000Z"
"06mjz","6","4","64","C","Donovan Clingan","POR","Hoobob","2026-07-12T12:19:26.000Z"
