"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Anyang","2026-07-25T23:10:13.410Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","joberry","2026-07-25T23:10:13.687Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","Hoobob","2026-07-26T01:25:27.447Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","GreenPoh","2026-07-26T05:20:12.065Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","Sternhold","2026-07-26T05:20:12.344Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","ProudPapaPlays","2026-07-26T06:38:56.916Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","BadHabits","2026-07-26T06:40:17.209Z"
"031m2","1","8","8","PF","Giannis Antetokounmpo","MIA","tmrcynk","2026-07-26T07:40:15.945Z"
"03xmv","1","9","9","PF","Jayson Tatum","BOS","Pilli","2026-07-26T07:40:16.220Z"
"05uie","1","10","10","PF","Scottie Barnes","TOR","Nim Yuki","2026-07-26T07:42:07.744Z"
"06v5l","1","11","11","SF","Cooper Flagg","DAL","FantasyISO","2026-07-26T08:01:56.194Z"
"05uiu","1","12","12","SF","Jalen Johnson","ATL","MikeRame","2026-07-26T12:46:15.585Z"
"05qtv","2","1","13","PG","Tyrese Haliburton","IND","MikeRame","2026-07-26T12:46:19.888Z"
