"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","az24","2026-07-11T23:00:01.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","JDUB13","2026-07-11T23:00:03.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Bucket Getters","2026-07-11T23:00:04.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Anyang","2026-07-11T23:00:06.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","Sternhold","2026-07-11T23:00:08.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","joberry","2026-07-12T04:23:04.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","Darkness Ablaze","2026-07-12T04:32:01.000Z"
"05qug","1","8","8","SG","Anthony Edwards","MIN","BadHabits","2026-07-12T04:32:01.000Z"
"05uie","1","9","9","PF","Scottie Barnes","TOR","Oceanman","2026-07-12T04:32:03.000Z"
"04ewe","1","10","10","SG","Donovan Mitchell","CLE","boldest19","2026-07-12T04:45:20.000Z"
"042n4","1","11","11","PG","Jamal Murray","DEN","Wisconsimmy","2026-07-12T04:52:11.000Z"
"03xmv","1","12","12","PF","Jayson Tatum","BOS","starks43","2026-07-12T05:24:54.000Z"
"031m2","2","1","13","PF","Giannis Antetokounmpo","MIA","starks43","2026-07-12T05:25:16.000Z"
"03ad3","2","2","14","C","Karl-Anthony Towns","NY","Wisconsimmy","2026-07-12T05:39:07.000Z"
"001aw","2","3","15","PF","Kevin Durant","HOU","boldest19","2026-07-12T08:49:21.000Z"
"05qto","2","4","16","PG","LaMelo Ball","MIN","Oceanman","2026-07-12T08:49:21.000Z"
"06v5l","2","5","17","SF","Cooper Flagg","DAL","BadHabits","2026-07-12T10:13:56.000Z"
"01enh","2","6","18","PG","Stephen Curry","GS","Darkness Ablaze","2026-07-12T12:01:26.000Z"
"027oz","2","7","19","SF","Kawhi Leonard","LAC","joberry","2026-07-12T12:19:38.000Z"
"05qtv","2","8","20","PG","Tyrese Haliburton","IND","Sternhold","2026-07-12T12:34:47.000Z"
"05uiq","2","9","21","C","Alperen Sengun","HOU","Anyang","2026-07-12T18:00:46.000Z"
"06ca8","2","10","22","SF","Amen Thompson","HOU","Bucket Getters","2026-07-12T18:00:46.000Z"
"06211","2","11","23","C","Chet Holmgren","OKC","JDUB13","2026-07-12T21:55:19.000Z"
"04qrk","2","12","24","PG","Trae Young","WAS","az24","2026-07-12T21:55:44.000Z"
"02nf1","3","1","25","PF","Anthony Davis","WAS","az24","2026-07-12T21:55:46.000Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","JDUB13","2026-07-12T21:55:55.000Z"
"05uid","3","3","27","PF","Evan Mobley","CLE","Bucket Getters","2026-07-12T22:19:53.000Z"
"05uig","3","4","28","PG","Josh Giddey","CHI","Anyang","2026-07-13T00:17:25.000Z"
"04azw","3","5","29","PF","Lauri Markkanen","UTA","Sternhold","2026-07-13T00:22:19.000Z"
"05uus","3","6","30","SG","Austin Reaves","LAL","joberry","2026-07-13T02:57:12.000Z"
