"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Pilli","2026-07-22T23:00:01.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","WarnerG","2026-07-22T23:00:02.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Spryte","2026-07-22T23:22:22.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","BIGPURPLEANDGOLD","2026-07-22T23:23:10.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","Sternhold","2026-07-22T23:23:11.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","FehervarVideotoners","2026-07-22T23:45:03.000Z"
"05uie","1","7","7","PF","Scottie Barnes","TOR","boldest19","2026-07-23T03:44:49.000Z"
"05qtv","1","8","8","PG","Tyrese Haliburton","IND","Son","2026-07-23T04:09:34.000Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","Jimco15","2026-07-23T04:09:34.000Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","shuey33","2026-07-23T04:21:08.000Z"
"06v5l","1","11","11","SF","Cooper Flagg","DAL","FantasyISO","2026-07-23T05:16:09.000Z"
"05qug","1","12","12","SG","Anthony Edwards","MIN","jakemosky","2026-07-23T05:16:09.000Z"
"001aw","2","1","13","PF","Kevin Durant","HOU","jakemosky","2026-07-23T05:16:11.000Z"
"03ad3","2","2","14","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-23T05:17:36.000Z"
"04qrk","2","3","15","PG","Trae Young","WAS","shuey33","2026-07-23T10:42:40.000Z"
"027oz","2","4","16","SF","Kawhi Leonard","LAC","Jimco15","2026-07-23T11:04:40.000Z"
"04ewe","2","5","17","SG","Donovan Mitchell","CLE","Son","2026-07-23T14:26:41.000Z"
"04ewt","2","6","18","SG","Derrick White","BOS","boldest19","2026-07-23T22:26:48.000Z"
"031m2","2","7","19","PF","Giannis Antetokounmpo","MIA","FehervarVideotoners","2026-07-23T22:34:18.000Z"
"01enh","2","8","20","PG","Stephen Curry","GS","Sternhold","2026-07-23T23:05:26.000Z"
"05uiq","2","9","21","C","Alperen Sengun","HOU","BIGPURPLEANDGOLD","2026-07-23T23:15:08.000Z"
"042n4","2","10","22","PG","Jamal Murray","DEN","Spryte","2026-07-24T02:33:21.000Z"
"06ca8","2","11","23","SF","Amen Thompson","HOU","WarnerG","2026-07-24T02:35:44.000Z"
"05uus","2","12","24","SG","Austin Reaves","LAL","Pilli","2026-07-24T04:49:39.000Z"
"05uig","3","1","25","PG","Josh Giddey","CHI","Pilli","2026-07-24T04:49:44.000Z"
"06211","3","2","26","C","Chet Holmgren","OKC","WarnerG","2026-07-24T09:37:21.000Z"
"01eo6","3","3","27","PG","James Harden","CLE","Spryte","2026-07-24T09:37:21.000Z"
"03nwm","3","4","28","SG","Devin Booker","PHO","BIGPURPLEANDGOLD","2026-07-24T14:26:57.000Z"
"05qtt","3","5","29","C","Onyeka Okongwu","ATL","Sternhold","2026-07-24T22:27:07.000Z"
"04ewf","3","6","30","C","Bam Adebayo","MIA","FehervarVideotoners","2026-07-24T22:46:26.000Z"
"05qt3","3","7","31","SG","Desmond Bane","ORL","boldest19","2026-07-25T02:07:14.000Z"
"04qsa","3","8","32","PG","Jalen Brunson","NY","Son","2026-07-25T02:09:26.000Z"
"05uir","3","9","33","SF","Trey Murphy","NO","Jimco15","2026-07-25T02:42:47.000Z"
"02nf1","3","10","34","PF","Anthony Davis","WAS","shuey33","2026-07-25T02:44:47.000Z"
"04azw","3","11","35","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-25T04:50:00.000Z"
"05qto","3","12","36","PG","LaMelo Ball","MIN","jakemosky","2026-07-25T04:52:22.000Z"
"05uid","4","1","37","PF","Evan Mobley","CLE","jakemosky","2026-07-25T04:52:27.000Z"
"0621l","4","2","38","C","Walker Kessler","LAL","FantasyISO","2026-07-25T06:56:09.000Z"
"06cca","4","3","39","SF","Brandon Miller","CHA","shuey33","2026-07-25T11:50:01.052Z"
"0621b","4","4","40","SG","Jalen Williams","OKC","Jimco15","2026-07-25T11:56:07.395Z"
"051ox","4","5","41","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-25T13:55:43.095Z"
"03lls","4","6","42","SF","Jaylen Brown","PHI","boldest19","2026-07-25T21:55:51.386Z"
"05qtj","4","7","43","SF","Deni Avdija","POR","FehervarVideotoners","2026-07-26T00:30:17.175Z"
"027oj","4","8","44","SG","Kyrie Irving","DAL","Sternhold","2026-07-26T06:42:22.957Z"
"042n7","4","9","45","C","Domantas Sabonis","SAC","BIGPURPLEANDGOLD","2026-07-26T12:58:50.401Z"
"0621c","4","10","46","C","Jalen Duren","DET","Spryte","2026-07-26T12:58:50.688Z"
"06210","4","11","47","PF","Paolo Banchero","ORL","WarnerG","2026-07-26T15:00:59.634Z"
