"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Pilli","2026-07-22T23:00:01.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","thibs11","2026-07-22T23:00:02.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","GreenPoh","2026-07-22T23:00:04.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Sternhold","2026-07-22T23:00:06.000Z"
"03xmv","1","5","5","PF","Jayson Tatum","BOS","shuey33","2026-07-22T23:00:32.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","SirGladiator","2026-07-22T23:02:54.000Z"
"05uib","1","7","7","PG","Cade Cunningham","DET","FantasyISO","2026-07-22T23:04:12.000Z"
"05qug","1","8","8","SG","Anthony Edwards","MIN","oceansstar","2026-07-22T23:28:19.000Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","Son","2026-07-22T23:41:08.000Z"
"04ewe","1","10","10","SG","Donovan Mitchell","CLE","BadHabits","2026-07-23T00:46:07.000Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","danco","2026-07-23T04:05:39.000Z"
"001aw","1","12","12","PF","Kevin Durant","HOU","jlinebaugh","2026-07-23T04:05:39.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","jlinebaugh","2026-07-23T04:05:41.000Z"
"03ad3","2","2","14","C","Karl-Anthony Towns","NY","danco","2026-07-23T04:06:06.000Z"
"05qtv","2","3","15","PG","Tyrese Haliburton","IND","BadHabits","2026-07-23T04:39:25.000Z"
"042n4","2","4","16","PG","Jamal Murray","DEN","Son","2026-07-23T04:40:34.000Z"
"01enh","2","5","17","PG","Stephen Curry","GS","oceansstar","2026-07-23T04:43:40.000Z"
"05uus","2","6","18","SG","Austin Reaves","LAL","FantasyISO","2026-07-23T05:20:07.000Z"
"05uiq","2","7","19","C","Alperen Sengun","HOU","SirGladiator","2026-07-23T08:45:19.000Z"
"031m2","2","8","20","PF","Giannis Antetokounmpo","MIA","shuey33","2026-07-23T11:29:10.000Z"
"05qto","2","9","21","PG","LaMelo Ball","MIN","Sternhold","2026-07-23T11:33:54.000Z"
"027oz","2","10","22","SF","Kawhi Leonard","LAC","GreenPoh","2026-07-23T11:42:46.000Z"
