"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"04kj6","1","1","1","PG","Luka Doncic","LAL","Pilli","2026-07-15T07:00:08.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","BadHabits","2026-07-15T07:00:08.000Z"
"03e75","1","3","3","C","Nikola Jokic","DEN","Sternhold","2026-07-15T07:00:10.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","thibs11","2026-07-15T07:27:31.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","GreenPoh","2026-07-15T07:27:31.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","Bucket Getters","2026-07-15T07:27:33.000Z"
"05uie","1","7","7","PF","Scottie Barnes","TOR","Oceanman","2026-07-15T07:27:35.000Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","F Hoops Edge","2026-07-15T07:50:34.000Z"
"03xmv","1","9","9","PF","Jayson Tatum","BOS","Jimco15","2026-07-15T09:20:13.000Z"
"05qug","1","10","10","SG","Anthony Edwards","MIN","Nim Yuki","2026-07-15T10:19:06.000Z"
"001aw","1","11","11","PF","Kevin Durant","HOU","Vivid Voltage","2026-07-15T14:27:04.000Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","FantasyISO","2026-07-15T14:27:58.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","FantasyISO","2026-07-15T14:28:02.000Z"
"031m2","2","2","14","PF","Giannis Antetokounmpo","MIA","Vivid Voltage","2026-07-15T16:53:37.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","Nim Yuki","2026-07-15T16:53:37.000Z"
"05uus","2","4","16","SG","Austin Reaves","LAL","Jimco15","2026-07-15T19:54:21.000Z"
"01enh","2","5","17","PG","Stephen Curry","GS","F Hoops Edge","2026-07-15T20:28:10.000Z"
"03ad3","2","6","18","C","Karl-Anthony Towns","NY","Oceanman","2026-07-15T20:28:10.000Z"
"042n4","2","7","19","PG","Jamal Murray","DEN","Bucket Getters","2026-07-15T23:18:42.000Z"
"027oz","2","8","20","SF","Kawhi Leonard","LAC","GreenPoh","2026-07-15T23:18:42.000Z"
"04ewt","2","9","21","SG","Derrick White","BOS","thibs11","2026-07-15T23:45:51.000Z"
"04azw","2","10","22","PF","Lauri Markkanen","UTA","Sternhold","2026-07-16T05:18:39.000Z"
"03nwm","2","11","23","SG","Devin Booker","PHO","BadHabits","2026-07-16T05:18:39.000Z"
"05uig","2","12","24","PG","Josh Giddey","CHI","Pilli","2026-07-16T05:18:40.000Z"
"02nf1","3","1","25","PF","Anthony Davis","WAS","Pilli","2026-07-16T05:18:42.000Z"
"05uiq","3","2","26","C","Alperen Sengun","HOU","BadHabits","2026-07-16T06:31:59.000Z"
"05uir","3","3","27","SF","Trey Murphy","NO","Sternhold","2026-07-16T07:13:42.000Z"
"05qto","3","4","28","PG","LaMelo Ball","MIN","thibs11","2026-07-16T09:15:35.000Z"
"06211","3","5","29","C","Chet Holmgren","OKC","GreenPoh","2026-07-16T10:34:32.000Z"
"05uid","3","6","30","PF","Evan Mobley","CLE","Bucket Getters","2026-07-16T10:34:32.000Z"
"06ca8","3","7","31","SF","Amen Thompson","HOU","Oceanman","2026-07-16T10:34:34.000Z"
"01eo6","3","8","32","PG","James Harden","CLE","F Hoops Edge","2026-07-16T10:41:07.000Z"
"051ol","3","9","33","PG","Darius Garland","LAC","Jimco15","2026-07-16T13:02:05.000Z"
"03lls","3","10","34","SF","Jaylen Brown","PHI","Nim Yuki","2026-07-16T13:22:28.000Z"
"04qrk","3","11","35","PG","Trae Young","WAS","Vivid Voltage","2026-07-16T14:12:31.000Z"
"0621b","3","12","36","SG","Jalen Williams","OKC","FantasyISO","2026-07-16T14:31:21.000Z"
"04qsa","4","1","37","PG","Jalen Brunson","NY","FantasyISO","2026-07-16T14:31:28.000Z"
"05qtj","4","2","38","SF","Deni Avdija","POR","Vivid Voltage","2026-07-16T15:05:30.000Z"
"03al2","4","3","39","C","Joel Embiid","PHI","Nim Yuki","2026-07-16T15:09:09.000Z"
"051ox","4","4","40","SG","Nickeil Alexander-Walker","ATL","Jimco15","2026-07-16T21:11:24.000Z"
"04ewf","4","5","41","C","Bam Adebayo","MIA","F Hoops Edge","2026-07-16T21:11:24.000Z"
"06210","4","6","42","PF","Paolo Banchero","ORL","Oceanman","2026-07-16T21:11:26.000Z"
"06cca","4","7","43","SF","Brandon Miller","CHA","Bucket Getters","2026-07-16T21:11:27.000Z"
"05qt3","4","8","44","SG","Desmond Bane","ORL","GreenPoh","2026-07-16T21:11:29.000Z"
"05qtt","4","9","45","C","Onyeka Okongwu","ATL","thibs11","2026-07-16T21:44:15.000Z"
"027oj","4","10","46","SG","Kyrie Irving","DAL","Sternhold","2026-07-16T21:44:15.000Z"
"0621c","4","11","47","C","Jalen Duren","DET","BadHabits","2026-07-16T23:57:49.000Z"
"04qrj","4","12","48","C","Jaren Jackson","UTA","Pilli","2026-07-16T23:57:49.000Z"
"05uii","5","1","49","SF","Franz Wagner","ORL","Pilli","2026-07-16T23:57:51.000Z"
"04ewn","5","2","50","PF","OG Anunoby","NY","BadHabits","2026-07-16T23:58:03.000Z"
"0621l","5","3","51","C","Walker Kessler","LAL","Sternhold","2026-07-17T01:12:12.000Z"
"06mjz","5","4","52","C","Donovan Clingan","POR","thibs11","2026-07-17T08:51:52.000Z"
"06cby","5","5","53","PG","Keyonte George","UTA","GreenPoh","2026-07-17T09:55:33.000Z"
"06v5n","5","6","54","SF","Kon Knueppel","CHA","Bucket Getters","2026-07-17T09:55:33.000Z"
"06mk3","5","7","55","SF","Matas Buzelis","CHI","Oceanman","2026-07-17T09:55:34.000Z"
"076vc","5","8","56","PF","Cameron Boozer","MEM","F Hoops Edge","2026-07-17T13:55:50.000Z"
"042nq","5","9","57","PG","Dejounte Murray","NO","Jimco15","2026-07-17T14:12:24.000Z"
"06227","5","10","58","PG","Ryan Rollins","MIL","Nim Yuki","2026-07-17T14:12:25.000Z"
"042n7","5","11","59","C","Domantas Sabonis","SAC","Vivid Voltage","2026-07-17T15:05:05.000Z"
"051ot","5","12","60","SG","Tyler Herro","MIL","FantasyISO","2026-07-17T15:07:57.000Z"
"06mk7","6","1","61","C","Kelel Ware","MIL","FantasyISO","2026-07-17T15:08:06.000Z"
"04qrn","6","2","62","SF","Mikal Bridges","NY","Vivid Voltage","2026-07-17T15:35:48.000Z"
"06217","6","3","63","SG","Dyson Daniels","ATL","Nim Yuki","2026-07-17T15:35:48.000Z"
"03ajv","6","4","64","PF","Julius Randle","BKN","Jimco15","2026-07-17T15:37:36.000Z"
"06mk1","6","5","65","C","Zach Edey","MEM","F Hoops Edge","2026-07-17T16:23:53.000Z"
"06mjw","6","6","66","PG","Stephon Castle","SA","Oceanman","2026-07-17T17:46:07.000Z"
"02xg9","6","7","67","C","Rudy Gobert","MIN","Bucket Getters","2026-07-17T17:46:07.000Z"
"042nt","6","8","68","C","Ivica Zubac","IND","GreenPoh","2026-07-17T18:02:07.000Z"
"0527h","6","9","69","C","Naz Reid","CHA","thibs11","2026-07-17T18:02:45.000Z"
"05uj3","6","10","70","C","DayRon Sharpe","BKN","Sternhold","2026-07-18T02:02:54.000Z"
"05qt1","6","11","71","PG","Payton Pritchard","BOS","BadHabits","2026-07-18T02:02:56.000Z"
"06mju","6","12","72","C","Alex Sarr","WAS","Pilli","2026-07-18T05:52:13.000Z"
"04qrr","7","1","73","SF","Michael Porter","BKN","Pilli","2026-07-18T05:52:17.000Z"
"051oi","7","2","74","PG","Ja Morant","POR","BadHabits","2026-07-18T06:20:06.000Z"
"01uyj","7","3","75","PF","Paul George","BOS","Sternhold","2026-07-18T09:14:32.000Z"
"06v5k","7","4","76","SG","VJ Edgecombe","PHI","thibs11","2026-07-18T10:41:04.000Z"
"0011e","7","5","77","SF","LeBron James","PHI","GreenPoh","2026-07-18T11:09:50.000Z"
"042nm","7","6","78","PF","Pascal Siakam","IND","Bucket Getters","2026-07-18T11:09:51.000Z"
"06ccf","7","7","79","SF","Ausar Thompson","DET","Oceanman","2026-07-18T11:09:52.000Z"
"06v5a","7","8","80","PF","Collin Murray-Boyles","TOR","F Hoops Edge","2026-07-18T12:29:56.000Z"
"03ad2","7","9","81","C","Myles Turner","MIL","Jimco15","2026-07-18T12:49:12.000Z"
"042n1","7","10","82","SF","Brandon Ingram","TOR","Nim Yuki","2026-07-18T14:14:49.000Z"
"05uif","7","11","83","PG","Jalen Suggs","ORL","Vivid Voltage","2026-07-18T14:43:23.000Z"
"05qu0","7","12","84","PF","Jaden McDaniels","MIN","FantasyISO","2026-07-18T14:44:20.000Z"
"06v5y","8","1","85","SG","Dylan Harper","SA","FantasyISO","2026-07-18T14:45:36.000Z"
"051p4","8","2","86","SG","Ty Jerome","MEM","Vivid Voltage","2026-07-18T15:16:05.000Z"
"06212","8","3","87","PF","Jabari Smith","HOU","Nim Yuki","2026-07-18T15:16:05.000Z"
"051pa","8","4","88","SG","Kevin Porter","MIL","Jimco15","2026-07-18T15:25:01.000Z"
"051on","8","5","89","SG","Coby White","CHA","F Hoops Edge","2026-07-18T17:20:00.000Z"
"05qu9","8","6","90","PG","Immanuel Quickley","TOR","Oceanman","2026-07-18T19:12:31.000Z"
"051oh","8","7","91","PF","Zion Williamson","NO","Bucket Getters","2026-07-18T20:17:36.000Z"
"049kb","8","8","92","PG","DeAaron Fox","SA","GreenPoh","2026-07-18T21:22:14.000Z"
"04ewm","8","9","93","C","Jarrett Allen","CLE","thibs11","2026-07-18T22:28:57.000Z"
"02ym0","8","10","94","SF","Andrew Wiggins","MIA","Sternhold","2026-07-19T02:47:13.000Z"
"04ewu","8","11","95","SG","Josh Hart","NY","BadHabits","2026-07-19T02:47:13.000Z"
"076t0","8","12","96","PF","Caleb Wilson","CHI","Pilli","2026-07-19T02:47:15.000Z"
"04ex6","9","1","97","C","Isaiah Hartenstein","OKC","Pilli","2026-07-19T02:47:16.000Z"
"04qrp","9","2","98","SF","Miles Bridges","PHO","BadHabits","2026-07-19T06:34:11.000Z"
"03r7z","9","3","99","SG","Norman Powell","CHI","Sternhold","2026-07-19T07:13:22.000Z"
"06v5h","9","4","100","C","Derik Queen","NO","thibs11","2026-07-19T08:24:26.000Z"
"02nf6","9","5","101","PG","Damian Lillard","POR","GreenPoh","2026-07-19T09:49:12.000Z"
"05ujc","9","6","102","SG","Ayo Dosunmu","MIN","Bucket Getters","2026-07-19T10:20:52.000Z"
"06v5w","9","7","103","SG","Nique Clifford","SAC","Oceanman","2026-07-19T10:20:52.000Z"
"06cbx","9","8","104","SF","Jaime Jaquez","MIL","F Hoops Edge","2026-07-19T12:16:58.000Z"
"06213","9","9","105","PF","Keegan Murray","SAC","Jimco15","2026-07-19T12:22:46.000Z"
"05qt0","9","10","106","SF","Saddiq Bey","NO","Nim Yuki","2026-07-19T12:22:47.000Z"
"042n6","9","11","107","C","Jakob Poeltl","TOR","Vivid Voltage","2026-07-19T15:24:40.000Z"
"03el5","9","12","108","C","Kristaps Porzingis","GS","FantasyISO","2026-07-19T15:27:59.000Z"
"06mlk","10","1","109","SG","Ajay Mitchell","OKC","FantasyISO","2026-07-19T15:29:05.000Z"
"051os","10","2","110","PF","P.J. Washington","DAL","Vivid Voltage","2026-07-19T16:52:32.000Z"
"051pb","10","3","111","C","Nicolas Claxton","CHI","Nim Yuki","2026-07-19T17:29:30.000Z"
"076ta","10","4","112","SF","AJ Dybantsa","WAS","Jimco15","2026-07-19T18:39:59.000Z"
"04ewk","10","5","113","PF","John Collins","DET","F Hoops Edge","2026-07-19T19:33:35.000Z"
"031lx","10","6","114","PG","CJ McCollum","ATL","Oceanman","2026-07-19T19:33:35.000Z"
"0623e","10","7","115","PG","Collin Gillespie","PHO","Bucket Getters","2026-07-19T21:14:35.000Z"
"06cd4","10","8","116","PF","Toumani Camara","POR","GreenPoh","2026-07-19T21:14:35.000Z"
