"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","FantasyISO","2026-07-25T23:00:01.036Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Pilli","2026-07-25T23:00:02.551Z"
"05qsq","1","3","3","PG","Tyrese Maxey","PHI","luisitono","2026-07-26T07:00:16.712Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Anyang","2026-07-26T11:05:51.818Z"
"04qro","1","5","5","PG","Shai Gilgeous-Alexander","OKC","Draft Only #2","2026-07-26T11:36:20.410Z"
"05qug","1","6","6","SG","Anthony Edwards","MIN","danco","2026-07-26T11:36:20.690Z"
"05uib","1","7","7","PG","Cade Cunningham","DET","ProudPapaPlays","2026-07-26T12:40:37.587Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","Sternhold","2026-07-26T12:44:39.951Z"
"05qtv","1","9","9","PG","Tyrese Haliburton","IND","shuey33","2026-07-26T12:57:32.342Z"
"031m2","1","10","10","PF","Giannis Antetokounmpo","MIA","n0rw00d","2026-07-26T13:01:52.709Z"
"06v5l","1","11","11","SF","Cooper Flagg","DAL","tmrcynk","2026-07-26T13:28:47.300Z"
