"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","BadHabits","2026-07-09T00:24:31.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Anyang","2026-07-09T00:24:32.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","FantasyISO","2026-07-09T05:00:44.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Pilli","2026-07-09T05:00:44.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Hoobob","2026-07-09T05:46:22.000Z"
"031m2","1","6","6","PF","Giannis Antetokounmpo","MIA","Wonder Boy","2026-07-09T05:51:29.000Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","BIGPURPLEANDGOLD","2026-07-09T10:37:12.000Z"
"05qtv","1","8","8","PG","Tyrese Haliburton","IND","GreenPoh","2026-07-09T10:37:12.000Z"
"05uie","1","9","9","PF","Scottie Barnes","TOR","FehervarVideotoners","2026-07-09T10:39:24.000Z"
"05uiu","1","10","10","SF","Jalen Johnson","ATL","Nim Yuki","2026-07-09T10:56:17.000Z"
"03xmv","1","11","11","PF","Jayson Tatum","BOS","JJyumyum","2026-07-09T12:10:06.000Z"
"05qug","1","12","12","SG","Anthony Edwards","MIN","Faisenberg","2026-07-09T12:13:00.000Z"
"05uiq","2","1","13","C","Alperen Sengun","HOU","Faisenberg","2026-07-09T12:13:07.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","JJyumyum","2026-07-09T12:20:53.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","Nim Yuki","2026-07-09T12:33:36.000Z"
"027oz","2","4","16","SF","Kawhi Leonard","LAC","FehervarVideotoners","2026-07-09T12:33:58.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","GreenPoh","2026-07-09T14:50:45.000Z"
"04qrk","2","6","18","PG","Trae Young","WAS","BIGPURPLEANDGOLD","2026-07-09T14:57:39.000Z"
"02nf1","2","7","19","PF","Anthony Davis","WAS","Wonder Boy","2026-07-09T19:39:19.000Z"
"001aw","2","8","20","PF","Kevin Durant","HOU","Hoobob","2026-07-09T22:49:54.000Z"
"06211","2","9","21","C","Chet Holmgren","OKC","Pilli","2026-07-09T22:49:55.000Z"
"05uir","2","10","22","SF","Trey Murphy","NO","FantasyISO","2026-07-09T22:54:02.000Z"
"01eo6","2","11","23","PG","James Harden","CLE","Anyang","2026-07-09T23:00:29.000Z"
"06ca8","2","12","24","SF","Amen Thompson","HOU","BadHabits","2026-07-10T00:57:59.000Z"
"05uus","3","1","25","SG","Austin Reaves","LAL","BadHabits","2026-07-10T00:58:09.000Z"
"05qto","3","2","26","PG","LaMelo Ball","MIN","Anyang","2026-07-10T04:06:33.000Z"
"04azw","3","3","27","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-10T05:53:15.000Z"
"01enh","3","4","28","PG","Stephen Curry","GS","Pilli","2026-07-10T06:18:17.000Z"
"03nwm","3","5","29","SG","Devin Booker","PHO","Hoobob","2026-07-10T07:11:27.000Z"
"0621l","3","6","30","C","Walker Kessler","LAL","Wonder Boy","2026-07-10T07:21:39.000Z"
"042n4","3","7","31","PG","Jamal Murray","DEN","BIGPURPLEANDGOLD","2026-07-10T12:02:37.000Z"
"05uid","3","8","32","PF","Evan Mobley","CLE","GreenPoh","2026-07-10T13:04:08.000Z"
"05uig","3","9","33","PG","Josh Giddey","CHI","FehervarVideotoners","2026-07-10T13:23:13.000Z"
"03al2","3","10","34","C","Joel Embiid","PHI","Nim Yuki","2026-07-10T15:32:52.000Z"
"0621b","3","11","35","SG","Jalen Williams","OKC","JJyumyum","2026-07-10T15:39:58.000Z"
"04ewt","3","12","36","SG","Derrick White","BOS","Faisenberg","2026-07-10T16:04:33.000Z"
"04ewf","4","1","37","C","Bam Adebayo","MIA","Faisenberg","2026-07-10T16:04:38.000Z"
"0621c","4","2","38","C","Jalen Duren","DET","JJyumyum","2026-07-10T16:04:38.000Z"
"03lls","4","3","39","SF","Jaylen Brown","PHI","Nim Yuki","2026-07-10T16:05:11.000Z"
"05qtt","4","4","40","C","Onyeka Okongwu","ATL","FehervarVideotoners","2026-07-10T16:26:51.000Z"
"04qsa","4","5","41","PG","Jalen Brunson","NY","GreenPoh","2026-07-10T17:28:42.000Z"
"04qrj","4","6","42","C","Jaren Jackson","UTA","BIGPURPLEANDGOLD","2026-07-10T17:36:53.000Z"
"02xg9","4","7","43","C","Rudy Gobert","MIN","Wonder Boy","2026-07-10T18:06:43.000Z"
"06cca","4","8","44","SF","Brandon Miller","CHA","Hoobob","2026-07-10T21:53:57.000Z"
"05qtj","4","9","45","SF","Deni Avdija","POR","Pilli","2026-07-10T21:53:58.000Z"
"06v5n","4","10","46","SF","Kon Knueppel","CHA","FantasyISO","2026-07-10T22:02:00.000Z"
"06210","4","11","47","PF","Paolo Banchero","ORL","Anyang","2026-07-11T03:32:15.000Z"
"04ewn","4","12","48","PF","OG Anunoby","NY","BadHabits","2026-07-11T04:40:47.000Z"
"076vc","5","1","49","PF","Cameron Boozer","MEM","BadHabits","2026-07-11T04:40:57.000Z"
"042n7","5","2","50","C","Domantas Sabonis","SAC","Anyang","2026-07-11T08:42:39.000Z"
"051ox","5","3","51","SG","Nickeil Alexander-Walker","ATL","FantasyISO","2026-07-11T09:41:13.000Z"
"051ol","5","4","52","PG","Darius Garland","LAC","Pilli","2026-07-11T09:41:14.000Z"
"051ot","5","5","53","SG","Tyler Herro","MIL","Hoobob","2026-07-11T10:02:14.000Z"
"06217","5","6","54","SG","Dyson Daniels","ATL","Wonder Boy","2026-07-11T10:05:30.000Z"
"06mjz","5","7","55","C","Donovan Clingan","POR","BIGPURPLEANDGOLD","2026-07-11T12:16:40.000Z"
"05qt3","5","8","56","SG","Desmond Bane","ORL","GreenPoh","2026-07-11T12:19:18.000Z"
"0011e","5","9","57","SF","LeBron James","PHI","FehervarVideotoners","2026-07-11T12:20:40.000Z"
"06227","5","10","58","PG","Ryan Rollins","MIL","Nim Yuki","2026-07-11T13:17:35.000Z"
"06mjw","5","11","59","PG","Stephon Castle","SA","JJyumyum","2026-07-11T13:39:58.000Z"
"04qrn","5","12","60","SF","Mikal Bridges","NY","Faisenberg","2026-07-11T13:55:08.000Z"
"042nm","6","1","61","PF","Pascal Siakam","IND","Faisenberg","2026-07-11T13:55:15.000Z"
"042nt","6","2","62","C","Ivica Zubac","IND","JJyumyum","2026-07-11T14:08:23.000Z"
"06cby","6","3","63","PG","Keyonte George","UTA","Nim Yuki","2026-07-11T15:44:12.000Z"
"06mju","6","4","64","C","Alex Sarr","WAS","FehervarVideotoners","2026-07-11T16:03:03.000Z"
"042nq","6","5","65","PG","Dejounte Murray","NO","GreenPoh","2026-07-11T23:00:06.000Z"
"05qt1","6","6","66","PG","Payton Pritchard","BOS","BIGPURPLEANDGOLD","2026-07-11T23:02:03.000Z"
"027oj","6","7","67","SG","Kyrie Irving","DAL","Wonder Boy","2026-07-11T23:11:27.000Z"
"06mk7","6","8","68","C","Kelel Ware","MIL","Hoobob","2026-07-11T23:42:48.000Z"
"05uii","6","9","69","SF","Franz Wagner","ORL","Pilli","2026-07-11T23:42:48.000Z"
"06mk3","6","10","70","SF","Matas Buzelis","CHI","FantasyISO","2026-07-11T23:50:50.000Z"
"06ccf","6","11","71","SF","Ausar Thompson","DET","Anyang","2026-07-12T05:27:14.000Z"
"05qu9","6","12","72","PG","Immanuel Quickley","TOR","BadHabits","2026-07-12T05:27:14.000Z"
"06mk1","7","1","73","C","Zach Edey","MEM","BadHabits","2026-07-12T10:16:16.000Z"
"04qrr","7","2","74","SF","Michael Porter","BKN","Anyang","2026-07-12T10:26:40.000Z"
"051p4","7","3","75","SG","Ty Jerome","MEM","FantasyISO","2026-07-12T10:28:31.000Z"
"0527h","7","4","76","C","Naz Reid","CHA","Pilli","2026-07-12T10:29:29.000Z"
"03ad2","7","5","77","C","Myles Turner","MIL","Hoobob","2026-07-12T12:15:42.000Z"
"051oh","7","6","78","PF","Zion Williamson","NO","Wonder Boy","2026-07-12T12:15:43.000Z"
"05qu0","7","7","79","PF","Jaden McDaniels","MIN","BIGPURPLEANDGOLD","2026-07-12T12:19:32.000Z"
"06v5k","7","8","80","SG","VJ Edgecombe","PHI","GreenPoh","2026-07-12T12:28:49.000Z"
"01uyj","7","9","81","PF","Paul George","BOS","FehervarVideotoners","2026-07-12T12:30:41.000Z"
"042n1","7","10","82","SF","Brandon Ingram","TOR","Nim Yuki","2026-07-12T12:49:59.000Z"
"03ajv","7","11","83","PF","Julius Randle","BKN","JJyumyum","2026-07-12T12:56:56.000Z"
"06212","7","12","84","PF","Jabari Smith","HOU","Faisenberg","2026-07-12T13:07:23.000Z"
"049kb","8","1","85","PG","DeAaron Fox","SA","Faisenberg","2026-07-12T13:08:27.000Z"
"0621u","8","2","86","SG","Andrew Nembhard","IND","JJyumyum","2026-07-12T13:14:35.000Z"
"04ewm","8","3","87","C","Jarrett Allen","CLE","Nim Yuki","2026-07-12T13:22:28.000Z"
"051on","8","4","88","SG","Coby White","CHA","FehervarVideotoners","2026-07-12T13:25:00.000Z"
"02nf6","8","5","89","PG","Damian Lillard","POR","GreenPoh","2026-07-12T21:12:44.000Z"
"05uif","8","6","90","PG","Jalen Suggs","ORL","BIGPURPLEANDGOLD","2026-07-12T21:42:20.000Z"
"04ex6","8","7","91","C","Isaiah Hartenstein","OKC","Wonder Boy","2026-07-12T22:23:32.000Z"
"051oi","8","8","92","PG","Ja Morant","POR","Hoobob","2026-07-12T22:47:11.000Z"
"051pb","8","9","93","C","Nicolas Claxton","CHI","Pilli","2026-07-12T23:23:48.000Z"
"06v5y","8","10","94","SG","Dylan Harper","SA","FantasyISO","2026-07-12T23:25:01.000Z"
"04ewu","8","11","95","SG","Josh Hart","NY","Anyang","2026-07-13T00:22:22.000Z"
"05ujc","8","12","96","SG","Ayo Dosunmu","MIN","BadHabits","2026-07-13T00:22:22.000Z"
"06v5v","9","1","97","SG","Cedric Coward","MEM","BadHabits","2026-07-13T00:22:24.000Z"
"03r7z","9","2","98","SG","Norman Powell","CHI","Anyang","2026-07-13T00:35:13.000Z"
"05uj3","9","3","99","C","DayRon Sharpe","BKN","FantasyISO","2026-07-13T02:59:05.000Z"
"02ym0","9","4","100","SF","Andrew Wiggins","MIA","Pilli","2026-07-13T04:50:12.000Z"
"076t9","9","5","101","SG","Darryn Peterson","UTA","Hoobob","2026-07-13T05:32:59.000Z"
"0621e","9","6","102","C","Mark Williams","PHO","Wonder Boy","2026-07-13T05:51:24.000Z"
"06cd4","9","7","103","PF","Toumani Camara","POR","BIGPURPLEANDGOLD","2026-07-13T11:20:34.000Z"
"03el5","9","8","104","C","Kristaps Porzingis","GS","GreenPoh","2026-07-13T11:20:34.000Z"
"05qt0","9","9","105","SF","Saddiq Bey","NO","FehervarVideotoners","2026-07-13T11:57:17.000Z"
"06mkg","9","10","106","SG","Kyshawn George","WAS","Nim Yuki","2026-07-13T12:00:41.000Z"
"06v5h","9","11","107","C","Derik Queen","NO","JJyumyum","2026-07-13T13:43:49.000Z"
"06213","9","12","108","PF","Keegan Murray","SAC","Faisenberg","2026-07-13T14:01:38.000Z"
"06mjv","10","1","109","PG","Reed Sheppard","HOU","Faisenberg","2026-07-13T14:02:06.000Z"
"031lx","10","2","110","PG","CJ McCollum","ATL","JJyumyum","2026-07-13T17:05:56.000Z"
"076ta","10","3","111","SF","AJ Dybantsa","WAS","Nim Yuki","2026-07-13T17:05:56.000Z"
