"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","JDUB13","2026-07-13T23:00:03.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","GreenPoh","2026-07-13T23:00:04.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Skyrine","2026-07-14T01:59:48.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Timbo1","2026-07-14T01:59:48.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","cookie the wookiee","2026-07-14T01:59:50.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","FantasyISO","2026-07-14T03:52:46.000Z"
"05qtv","1","7","7","PG","Tyrese Haliburton","IND","Son","2026-07-14T05:49:10.000Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","Snooch","2026-07-14T07:08:03.000Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","triales","2026-07-14T10:51:46.000Z"
"031m2","1","10","10","PF","Giannis Antetokounmpo","MIA","Hoobob","2026-07-14T10:58:14.000Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","boldest19","2026-07-14T11:14:11.000Z"
"06v5l","1","12","12","SF","Cooper Flagg","DAL","Grimmer11","2026-07-14T11:27:41.000Z"
"05uiu","2","1","13","SF","Jalen Johnson","ATL","Grimmer11","2026-07-14T11:28:11.000Z"
"001aw","2","2","14","PF","Kevin Durant","HOU","boldest19","2026-07-14T14:10:35.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","Hoobob","2026-07-14T14:11:58.000Z"
"03ad3","2","4","16","C","Karl-Anthony Towns","NY","triales","2026-07-14T14:22:14.000Z"
"05uiq","2","5","17","C","Alperen Sengun","HOU","Snooch","2026-07-14T21:28:36.000Z"
"05uig","2","6","18","PG","Josh Giddey","CHI","Son","2026-07-14T23:15:38.000Z"
"042n4","2","7","19","PG","Jamal Murray","DEN","FantasyISO","2026-07-15T05:18:18.000Z"
"05qto","2","8","20","PG","LaMelo Ball","MIN","cookie the wookiee","2026-07-15T05:18:18.000Z"
"01enh","2","9","21","PG","Stephen Curry","GS","Timbo1","2026-07-15T05:20:20.000Z"
"04qsa","2","10","22","PG","Jalen Brunson","NY","Skyrine","2026-07-15T08:15:06.000Z"
"01eo6","2","11","23","PG","James Harden","CLE","GreenPoh","2026-07-15T08:15:06.000Z"
"06211","2","12","24","C","Chet Holmgren","OKC","JDUB13","2026-07-15T11:37:18.000Z"
"06ca8","3","1","25","SF","Amen Thompson","HOU","JDUB13","2026-07-15T11:37:34.000Z"
"027oz","3","2","26","SF","Kawhi Leonard","LAC","GreenPoh","2026-07-15T12:59:47.000Z"
"02nf1","3","3","27","PF","Anthony Davis","WAS","Skyrine","2026-07-15T13:03:42.000Z"
"04qrk","3","4","28","PG","Trae Young","WAS","Timbo1","2026-07-15T13:03:42.000Z"
"05uir","3","5","29","SF","Trey Murphy","NO","cookie the wookiee","2026-07-15T13:54:37.000Z"
"05uus","3","6","30","SG","Austin Reaves","LAL","FantasyISO","2026-07-15T13:55:46.000Z"
"03nwm","3","7","31","SG","Devin Booker","PHO","Son","2026-07-15T13:57:29.000Z"
"05uid","3","8","32","PF","Evan Mobley","CLE","Snooch","2026-07-15T21:32:50.000Z"
"04azw","3","9","33","PF","Lauri Markkanen","UTA","triales","2026-07-15T21:35:07.000Z"
"0621c","3","10","34","C","Jalen Duren","DET","Hoobob","2026-07-15T21:44:01.000Z"
"04ewt","3","11","35","SG","Derrick White","BOS","boldest19","2026-07-15T21:50:11.000Z"
"05qtj","3","12","36","SF","Deni Avdija","POR","Grimmer11","2026-07-15T23:06:04.000Z"
"04ewf","4","1","37","C","Bam Adebayo","MIA","Grimmer11","2026-07-15T23:06:11.000Z"
"03lls","4","2","38","SF","Jaylen Brown","PHI","boldest19","2026-07-16T01:15:59.000Z"
"06cca","4","3","39","SF","Brandon Miller","CHA","Hoobob","2026-07-16T02:49:33.000Z"
"0621l","4","4","40","C","Walker Kessler","LAL","triales","2026-07-16T10:41:11.000Z"
"0621b","4","5","41","SG","Jalen Williams","OKC","Snooch","2026-07-16T10:54:51.000Z"
"06mjw","4","6","42","PG","Stephon Castle","SA","Son","2026-07-16T10:58:17.000Z"
"06v5n","4","7","43","SF","Kon Knueppel","CHA","FantasyISO","2026-07-16T11:10:56.000Z"
"05qt3","4","8","44","SG","Desmond Bane","ORL","cookie the wookiee","2026-07-16T11:45:22.000Z"
"042n7","4","9","45","C","Domantas Sabonis","SAC","Timbo1","2026-07-16T11:46:59.000Z"
"06210","4","10","46","PF","Paolo Banchero","ORL","Skyrine","2026-07-16T12:01:29.000Z"
"06cby","4","11","47","PG","Keyonte George","UTA","GreenPoh","2026-07-16T14:06:24.000Z"
"05uii","4","12","48","SF","Franz Wagner","ORL","JDUB13","2026-07-16T15:46:03.000Z"
"049kb","5","1","49","PG","DeAaron Fox","SA","JDUB13","2026-07-16T15:49:06.000Z"
"04qrj","5","2","50","C","Jaren Jackson","UTA","GreenPoh","2026-07-16T20:16:57.000Z"
"051ot","5","3","51","SG","Tyler Herro","MIL","Skyrine","2026-07-16T21:54:37.000Z"
"03al2","5","4","52","C","Joel Embiid","PHI","Timbo1","2026-07-16T21:55:41.000Z"
"042nq","5","5","53","PG","Dejounte Murray","NO","cookie the wookiee","2026-07-16T22:14:48.000Z"
"05qtt","5","6","54","C","Onyeka Okongwu","ATL","FantasyISO","2026-07-16T22:17:11.000Z"
"051ol","5","7","55","PG","Darius Garland","LAC","Son","2026-07-16T22:50:04.000Z"
"04ewn","5","8","56","PF","OG Anunoby","NY","Snooch","2026-07-16T23:41:57.000Z"
"051ox","5","9","57","SG","Nickeil Alexander-Walker","ATL","triales","2026-07-16T23:42:27.000Z"
"06mk7","5","10","58","C","Kelel Ware","MIL","Hoobob","2026-07-17T01:14:39.000Z"
"06227","5","11","59","PG","Ryan Rollins","MIL","boldest19","2026-07-17T01:15:20.000Z"
"042nm","5","12","60","PF","Pascal Siakam","IND","Grimmer11","2026-07-17T01:50:32.000Z"
"0011e","6","1","61","SF","LeBron James","PHI","Grimmer11","2026-07-17T01:50:45.000Z"
"06mjz","6","2","62","C","Donovan Clingan","POR","boldest19","2026-07-17T01:51:33.000Z"
"06217","6","3","63","SG","Dyson Daniels","ATL","Hoobob","2026-07-17T02:36:23.000Z"
"06mk3","6","4","64","SF","Matas Buzelis","CHI","triales","2026-07-17T02:43:15.000Z"
"04ex6","6","5","65","C","Isaiah Hartenstein","OKC","Snooch","2026-07-17T02:46:32.000Z"
"042nt","6","6","66","C","Ivica Zubac","IND","Son","2026-07-17T02:55:40.000Z"
"06mk1","6","7","67","C","Zach Edey","MEM","FantasyISO","2026-07-17T06:10:57.000Z"
"05qt1","6","8","68","PG","Payton Pritchard","BOS","cookie the wookiee","2026-07-17T10:01:07.000Z"
