"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","boldest19","2026-07-12T23:45:52.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Pilli","2026-07-12T23:45:52.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Oceanman","2026-07-12T23:45:54.000Z"
"05uib","1","4","4","PG","Cade Cunningham","DET","thibs11","2026-07-12T23:45:55.000Z"
"04kj6","1","5","5","PG","Luka Doncic","LAL","Son","2026-07-12T23:51:59.000Z"
"031m2","1","6","6","PF","Giannis Antetokounmpo","MIA","Anyang","2026-07-12T23:51:59.000Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","danco","2026-07-13T02:31:03.000Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","Snooch","2026-07-13T02:33:33.000Z"
"001aw","1","9","9","PF","Kevin Durant","HOU","Tankerbell","2026-07-13T03:53:36.000Z"
"05uie","1","10","10","PF","Scottie Barnes","TOR","Faisenberg","2026-07-13T09:37:37.000Z"
"05qtv","1","11","11","PG","Tyrese Haliburton","IND","FantasyISO","2026-07-13T09:46:20.000Z"
"06v5l","1","12","12","SF","Cooper Flagg","DAL","Sternhold","2026-07-13T09:56:02.000Z"
"05uiu","2","1","13","SF","Jalen Johnson","ATL","Sternhold","2026-07-13T09:56:12.000Z"
"03ad3","2","2","14","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-13T10:02:21.000Z"
"05qug","2","3","15","SG","Anthony Edwards","MIN","Faisenberg","2026-07-13T10:32:15.000Z"
"042n4","2","4","16","PG","Jamal Murray","DEN","Tankerbell","2026-07-13T10:46:52.000Z"
"04ewe","2","5","17","SG","Donovan Mitchell","CLE","Snooch","2026-07-13T11:02:44.000Z"
"06ca8","2","6","18","SF","Amen Thompson","HOU","danco","2026-07-13T13:06:55.000Z"
"06211","2","7","19","C","Chet Holmgren","OKC","Anyang","2026-07-13T17:20:23.000Z"
"03nwm","2","8","20","SG","Devin Booker","PHO","Son","2026-07-13T17:26:54.000Z"
"05uid","2","9","21","PF","Evan Mobley","CLE","thibs11","2026-07-13T17:27:14.000Z"
"04ewt","2","10","22","SG","Derrick White","BOS","Oceanman","2026-07-13T18:40:35.000Z"
"01enh","2","11","23","PG","Stephen Curry","GS","Pilli","2026-07-13T19:08:12.000Z"
"04qrk","2","12","24","PG","Trae Young","WAS","boldest19","2026-07-13T19:11:41.000Z"
"05uus","3","1","25","SG","Austin Reaves","LAL","boldest19","2026-07-13T19:15:39.000Z"
"05uig","3","2","26","PG","Josh Giddey","CHI","Pilli","2026-07-13T19:31:53.000Z"
"01eo6","3","3","27","PG","James Harden","CLE","Oceanman","2026-07-14T00:10:14.000Z"
"04qrj","3","4","28","C","Jaren Jackson","UTA","thibs11","2026-07-14T00:10:15.000Z"
"0621b","3","5","29","SG","Jalen Williams","OKC","Son","2026-07-14T00:19:54.000Z"
"05qto","3","6","30","PG","LaMelo Ball","MIN","Anyang","2026-07-14T05:37:17.000Z"
"05uiq","3","7","31","C","Alperen Sengun","HOU","danco","2026-07-14T05:53:11.000Z"
"042n7","3","8","32","C","Domantas Sabonis","SAC","Snooch","2026-07-14T05:56:56.000Z"
"02nf1","3","9","33","PF","Anthony Davis","WAS","Tankerbell","2026-07-14T06:25:48.000Z"
"04ewf","3","10","34","C","Bam Adebayo","MIA","Faisenberg","2026-07-14T06:55:25.000Z"
"05uir","3","11","35","SF","Trey Murphy","NO","FantasyISO","2026-07-14T07:02:06.000Z"
"04azw","3","12","36","PF","Lauri Markkanen","UTA","Sternhold","2026-07-14T07:08:36.000Z"
"05qtj","4","1","37","SF","Deni Avdija","POR","Sternhold","2026-07-14T07:08:51.000Z"
"027oz","4","2","38","SF","Kawhi Leonard","LAC","FantasyISO","2026-07-14T07:16:01.000Z"
"05qt3","4","3","39","SG","Desmond Bane","ORL","Faisenberg","2026-07-14T07:26:21.000Z"
"0011e","4","4","40","SF","LeBron James","PHI","Tankerbell","2026-07-14T08:25:06.000Z"
"05uii","4","5","41","SF","Franz Wagner","ORL","Snooch","2026-07-14T09:48:05.000Z"
"05qtt","4","6","42","C","Onyeka Okongwu","ATL","danco","2026-07-14T10:36:40.000Z"
"04qsa","4","7","43","PG","Jalen Brunson","NY","Anyang","2026-07-14T16:24:05.000Z"
"051ox","4","8","44","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-14T16:25:12.000Z"
"06mju","4","9","45","C","Alex Sarr","WAS","thibs11","2026-07-14T16:25:12.000Z"
"06mk3","4","10","46","SF","Matas Buzelis","CHI","Oceanman","2026-07-14T16:25:13.000Z"
"06cca","4","11","47","SF","Brandon Miller","CHA","Pilli","2026-07-14T16:29:41.000Z"
"06v5n","4","12","48","SF","Kon Knueppel","CHA","boldest19","2026-07-14T20:35:52.000Z"
"04qrn","5","1","49","SF","Mikal Bridges","NY","boldest19","2026-07-14T20:36:03.000Z"
"03lls","5","2","50","SF","Jaylen Brown","PHI","Pilli","2026-07-14T21:45:15.000Z"
"06mjz","5","3","51","C","Donovan Clingan","POR","Oceanman","2026-07-14T21:45:15.000Z"
"06mk7","5","4","52","C","Kelel Ware","MIL","thibs11","2026-07-14T22:14:49.000Z"
"06mk1","5","5","53","C","Zach Edey","MEM","Son","2026-07-14T23:16:40.000Z"
"0621l","5","6","54","C","Walker Kessler","LAL","Anyang","2026-07-15T04:59:02.000Z"
"06227","5","7","55","PG","Ryan Rollins","MIL","danco","2026-07-15T05:00:00.000Z"
"051ol","5","8","56","PG","Darius Garland","LAC","Snooch","2026-07-15T05:13:10.000Z"
"06cby","5","9","57","PG","Keyonte George","UTA","Tankerbell","2026-07-15T06:16:45.000Z"
"06210","5","10","58","PF","Paolo Banchero","ORL","Faisenberg","2026-07-15T07:13:08.000Z"
"04ewn","5","11","59","PF","OG Anunoby","NY","FantasyISO","2026-07-15T07:45:47.000Z"
"0621c","5","12","60","C","Jalen Duren","DET","Sternhold","2026-07-15T07:51:47.000Z"
"04qrr","6","1","61","SF","Michael Porter","BKN","Sternhold","2026-07-15T07:52:13.000Z"
"042nt","6","2","62","C","Ivica Zubac","IND","FantasyISO","2026-07-15T08:46:08.000Z"
"06mjw","6","3","63","PG","Stephon Castle","SA","Faisenberg","2026-07-15T09:17:07.000Z"
"042nq","6","4","64","PG","Dejounte Murray","NO","Tankerbell","2026-07-15T10:21:30.000Z"
"049kb","6","5","65","PG","DeAaron Fox","SA","Snooch","2026-07-15T10:22:24.000Z"
"03ajv","6","6","66","PF","Julius Randle","BKN","danco","2026-07-15T10:22:58.000Z"
"03al2","6","7","67","C","Joel Embiid","PHI","Anyang","2026-07-15T14:38:50.000Z"
"03r7z","6","8","68","SG","Norman Powell","CHI","Son","2026-07-15T14:44:00.000Z"
"05qt1","6","9","69","PG","Payton Pritchard","BOS","thibs11","2026-07-15T14:44:01.000Z"
"02xg9","6","10","70","C","Rudy Gobert","MIN","Oceanman","2026-07-15T14:44:02.000Z"
"027oj","6","11","71","SG","Kyrie Irving","DAL","Pilli","2026-07-15T15:22:02.000Z"
"06v5h","6","12","72","C","Derik Queen","NO","boldest19","2026-07-15T19:26:05.000Z"
