"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","thibs11","2026-07-13T23:00:04.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Son","2026-07-13T23:03:39.000Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","Hoobob","2026-07-13T23:03:40.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","JDUB13","2026-07-13T23:17:18.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","GreenPoh","2026-07-13T23:17:21.000Z"
"05uiu","1","6","6","SF","Jalen Johnson","ATL","boldest19","2026-07-13T23:43:58.000Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","starks43","2026-07-14T02:56:53.000Z"
"05uie","1","8","8","PF","Scottie Barnes","TOR","Oceanman","2026-07-14T02:56:53.000Z"
"05qsq","1","9","9","PG","Tyrese Maxey","PHI","FantasyISO","2026-07-14T03:53:22.000Z"
"04ewe","1","10","10","SG","Donovan Mitchell","CLE","La Onda","2026-07-14T03:56:54.000Z"
"06v5l","1","11","11","SF","Cooper Flagg","DAL","cookie the wookiee","2026-07-14T04:18:25.000Z"
"031m2","1","12","12","PF","Giannis Antetokounmpo","MIA","Timbo1","2026-07-14T04:51:53.000Z"
"03xmv","2","1","13","PF","Jayson Tatum","BOS","Timbo1","2026-07-14T04:52:04.000Z"
"05qtv","2","2","14","PG","Tyrese Haliburton","IND","cookie the wookiee","2026-07-14T05:19:54.000Z"
"042n4","2","3","15","PG","Jamal Murray","DEN","La Onda","2026-07-14T08:34:17.000Z"
"03ad3","2","4","16","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-14T08:36:29.000Z"
"05qto","2","5","17","PG","LaMelo Ball","MIN","Oceanman","2026-07-14T08:36:29.000Z"
"06211","2","6","18","C","Chet Holmgren","OKC","starks43","2026-07-14T11:36:35.000Z"
"05uiq","2","7","19","C","Alperen Sengun","HOU","boldest19","2026-07-14T14:11:49.000Z"
"01enh","2","8","20","PG","Stephen Curry","GS","GreenPoh","2026-07-14T14:11:49.000Z"
"06ca8","2","9","21","SF","Amen Thompson","HOU","JDUB13","2026-07-14T16:59:27.000Z"
"04ewt","2","10","22","SG","Derrick White","BOS","Hoobob","2026-07-15T00:59:33.000Z"
"001aw","2","11","23","PF","Kevin Durant","HOU","Son","2026-07-15T01:01:00.000Z"
"05uig","2","12","24","PG","Josh Giddey","CHI","thibs11","2026-07-15T01:01:00.000Z"
"03nwm","3","1","25","SG","Devin Booker","PHO","thibs11","2026-07-15T07:26:54.000Z"
"04qsa","3","2","26","PG","Jalen Brunson","NY","Son","2026-07-15T12:35:29.000Z"
"04qrk","3","3","27","PG","Trae Young","WAS","Hoobob","2026-07-15T12:40:49.000Z"
"01eo6","3","4","28","PG","James Harden","CLE","JDUB13","2026-07-15T14:56:19.000Z"
"027oz","3","5","29","SF","Kawhi Leonard","LAC","GreenPoh","2026-07-15T17:14:19.000Z"
"05uid","3","6","30","PF","Evan Mobley","CLE","boldest19","2026-07-15T19:25:27.000Z"
"05uir","3","7","31","SF","Trey Murphy","NO","starks43","2026-07-15T20:45:43.000Z"
"0621b","3","8","32","SG","Jalen Williams","OKC","Oceanman","2026-07-15T20:45:43.000Z"
"05uus","3","9","33","SG","Austin Reaves","LAL","FantasyISO","2026-07-15T20:46:41.000Z"
"042n7","3","10","34","C","Domantas Sabonis","SAC","La Onda","2026-07-15T22:52:01.000Z"
"06cca","3","11","35","SF","Brandon Miller","CHA","cookie the wookiee","2026-07-15T22:52:01.000Z"
"02nf1","3","12","36","PF","Anthony Davis","WAS","Timbo1","2026-07-15T23:00:25.000Z"
"0621l","4","1","37","C","Walker Kessler","LAL","Timbo1","2026-07-15T23:00:41.000Z"
"06v5n","4","2","38","SF","Kon Knueppel","CHA","cookie the wookiee","2026-07-15T23:05:59.000Z"
"051ol","4","3","39","PG","Darius Garland","LAC","La Onda","2026-07-15T23:40:10.000Z"
"04azw","4","4","40","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-16T03:01:37.000Z"
"03al2","4","5","41","C","Joel Embiid","PHI","Oceanman","2026-07-16T03:01:37.000Z"
"03lls","4","6","42","SF","Jaylen Brown","PHI","starks43","2026-07-16T03:04:31.000Z"
"06mjw","4","7","43","PG","Stephon Castle","SA","boldest19","2026-07-16T03:23:10.000Z"
"0621c","4","8","44","C","Jalen Duren","DET","GreenPoh","2026-07-16T06:01:36.000Z"
"04ewf","4","9","45","C","Bam Adebayo","MIA","JDUB13","2026-07-16T06:01:36.000Z"
"05qtj","4","10","46","SF","Deni Avdija","POR","Hoobob","2026-07-16T07:22:57.000Z"
"051ox","4","11","47","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-16T10:56:23.000Z"
"05qtt","4","12","48","C","Onyeka Okongwu","ATL","thibs11","2026-07-16T10:56:23.000Z"
"05qt3","5","1","49","SG","Desmond Bane","ORL","thibs11","2026-07-16T15:04:58.000Z"
"06mjz","5","2","50","C","Donovan Clingan","POR","Son","2026-07-16T15:30:56.000Z"
"06mk7","5","3","51","C","Kelel Ware","MIL","Hoobob","2026-07-16T21:23:09.000Z"
"049kb","5","4","52","PG","DeAaron Fox","SA","JDUB13","2026-07-16T21:40:24.000Z"
"04qrj","5","5","53","C","Jaren Jackson","UTA","GreenPoh","2026-07-16T21:40:24.000Z"
"03ajv","5","6","54","PF","Julius Randle","BKN","boldest19","2026-07-17T01:05:47.000Z"
"076vc","5","7","55","PF","Cameron Boozer","MEM","starks43","2026-07-17T01:44:34.000Z"
"06210","5","8","56","PF","Paolo Banchero","ORL","Oceanman","2026-07-17T01:44:34.000Z"
"04ewn","5","9","57","PF","OG Anunoby","NY","FantasyISO","2026-07-17T02:15:56.000Z"
"042nm","5","10","58","PF","Pascal Siakam","IND","La Onda","2026-07-17T03:20:16.000Z"
"06cby","5","11","59","PG","Keyonte George","UTA","cookie the wookiee","2026-07-17T03:20:16.000Z"
"027oj","5","12","60","SG","Kyrie Irving","DAL","Timbo1","2026-07-17T03:22:09.000Z"
"05uii","6","1","61","SF","Franz Wagner","ORL","Timbo1","2026-07-17T03:22:14.000Z"
"051ot","6","2","62","SG","Tyler Herro","MIL","cookie the wookiee","2026-07-17T09:58:06.000Z"
"051p4","6","3","63","SG","Ty Jerome","MEM","La Onda","2026-07-17T11:26:13.000Z"
"06mk3","6","4","64","SF","Matas Buzelis","CHI","FantasyISO","2026-07-17T11:27:41.000Z"
"06217","6","5","65","SG","Dyson Daniels","ATL","Oceanman","2026-07-17T13:06:26.000Z"
"051oi","6","6","66","PG","Ja Morant","POR","starks43","2026-07-17T18:31:41.000Z"
"04qrn","6","7","67","SF","Mikal Bridges","NY","boldest19","2026-07-17T21:45:03.000Z"
"042nq","6","8","68","PG","Dejounte Murray","NO","GreenPoh","2026-07-17T22:18:06.000Z"
"0527h","6","9","69","C","Naz Reid","CHA","JDUB13","2026-07-18T02:22:37.000Z"
"06mju","6","10","70","C","Alex Sarr","WAS","Hoobob","2026-07-18T05:21:06.000Z"
"042nt","6","11","71","C","Ivica Zubac","IND","Son","2026-07-18T05:22:27.000Z"
"06ccf","6","12","72","SF","Ausar Thompson","DET","thibs11","2026-07-18T07:57:03.000Z"
"06v5k","7","1","73","SG","VJ Edgecombe","PHI","thibs11","2026-07-18T08:03:14.000Z"
"06cbx","7","2","74","SF","Jaime Jaquez","MIL","Son","2026-07-18T12:36:15.000Z"
"0011e","7","3","75","SF","LeBron James","PHI","Hoobob","2026-07-18T12:37:20.000Z"
"042n1","7","4","76","SF","Brandon Ingram","TOR","JDUB13","2026-07-18T13:12:59.000Z"
"06227","7","5","77","PG","Ryan Rollins","MIL","GreenPoh","2026-07-18T13:18:31.000Z"
"051p9","7","6","78","SF","Keldon Johnson","SA","boldest19","2026-07-18T15:25:15.000Z"
"051oh","7","7","79","PF","Zion Williamson","NO","starks43","2026-07-18T16:12:14.000Z"
"01uyj","7","8","80","PF","Paul George","BOS","Oceanman","2026-07-18T19:13:14.000Z"
"06mk1","7","9","81","C","Zach Edey","MEM","FantasyISO","2026-07-18T19:16:30.000Z"
"02nf6","7","10","82","PG","Damian Lillard","POR","La Onda","2026-07-18T22:58:02.000Z"
"05qt1","7","11","83","PG","Payton Pritchard","BOS","cookie the wookiee","2026-07-18T23:12:01.000Z"
"02xg9","7","12","84","C","Rudy Gobert","MIN","Timbo1","2026-07-18T23:24:51.000Z"
"04848","8","1","85","PG","Fred VanVleet","HOU","Timbo1","2026-07-18T23:25:00.000Z"
"04qrr","8","2","86","SF","Michael Porter","BKN","cookie the wookiee","2026-07-18T23:44:00.000Z"
"04ewm","8","3","87","C","Jarrett Allen","CLE","La Onda","2026-07-18T23:56:29.000Z"
"05qu0","8","4","88","PF","Jaden McDaniels","MIN","FantasyISO","2026-07-19T00:00:39.000Z"
"06212","8","5","89","PF","Jabari Smith","HOU","Oceanman","2026-07-19T04:52:50.000Z"
"076ta","8","6","90","SF","AJ Dybantsa","WAS","starks43","2026-07-19T05:07:24.000Z"
