"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"05qsq","1","1","1","PG","Tyrese Maxey","PHI","bennyo","2026-07-16T02:32:35.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Chicago Blicas🇵🇹","2026-07-16T02:32:35.000Z"
"03e75","1","3","3","C","Nikola Jokic","DEN","Oceanman","2026-07-16T02:32:37.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Anyang","2026-07-16T03:54:01.000Z"
"04qro","1","5","5","PG","Shai Gilgeous-Alexander","OKC","Timbo1","2026-07-16T04:40:50.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","ProudPapaPlays","2026-07-16T06:03:19.000Z"
"03xmv","1","7","7","PF","Jayson Tatum","BOS","FantasyISO","2026-07-16T06:22:44.000Z"
"05qtv","1","8","8","PG","Tyrese Haliburton","IND","Spryte","2026-07-16T08:06:43.000Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","Pilli","2026-07-16T08:06:44.000Z"
"06v5l","1","10","10","SF","Cooper Flagg","DAL","GalaDynasty","2026-07-16T08:40:59.000Z"
"05qug","1","11","11","SG","Anthony Edwards","MIN","JDUB13","2026-07-16T11:42:19.000Z"
"05uie","1","12","12","PF","Scottie Barnes","TOR","Sternhold","2026-07-16T11:48:18.000Z"
"031m2","2","1","13","PF","Giannis Antetokounmpo","MIA","Sternhold","2026-07-16T11:48:28.000Z"
"05uiq","2","2","14","C","Alperen Sengun","HOU","JDUB13","2026-07-16T11:51:56.000Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","GalaDynasty","2026-07-16T12:17:47.000Z"
"01enh","2","4","16","PG","Stephen Curry","GS","Pilli","2026-07-16T12:17:47.000Z"
"001aw","2","5","17","PF","Kevin Durant","HOU","Spryte","2026-07-16T19:50:51.000Z"
"05uus","2","6","18","SG","Austin Reaves","LAL","FantasyISO","2026-07-16T19:56:34.000Z"
"04ewe","2","7","19","SG","Donovan Mitchell","CLE","ProudPapaPlays","2026-07-16T20:31:59.000Z"
"05qto","2","8","20","PG","LaMelo Ball","MIN","Timbo1","2026-07-16T20:33:03.000Z"
"027oz","2","9","21","SF","Kawhi Leonard","LAC","Anyang","2026-07-16T21:02:02.000Z"
"05uid","2","10","22","PF","Evan Mobley","CLE","Oceanman","2026-07-16T21:02:02.000Z"
"042n4","2","11","23","PG","Jamal Murray","DEN","Chicago Blicas🇵🇹","2026-07-16T21:05:58.000Z"
"03lls","2","12","24","SF","Jaylen Brown","PHI","bennyo","2026-07-16T21:16:56.000Z"
"06ca8","3","1","25","SF","Amen Thompson","HOU","bennyo","2026-07-16T21:17:13.000Z"
"04qsa","3","2","26","PG","Jalen Brunson","NY","Chicago Blicas🇵🇹","2026-07-16T21:18:41.000Z"
"04qrk","3","3","27","PG","Trae Young","WAS","Oceanman","2026-07-16T21:18:41.000Z"
"01eo6","3","4","28","PG","James Harden","CLE","Anyang","2026-07-16T21:25:11.000Z"
"05uir","3","5","29","SF","Trey Murphy","NO","Timbo1","2026-07-16T21:26:45.000Z"
"06v5n","3","6","30","SF","Kon Knueppel","CHA","ProudPapaPlays","2026-07-16T21:43:24.000Z"
"04azw","3","7","31","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-16T21:43:42.000Z"
"06211","3","8","32","C","Chet Holmgren","OKC","Spryte","2026-07-16T23:47:04.000Z"
"05uig","3","9","33","PG","Josh Giddey","CHI","Pilli","2026-07-16T23:47:04.000Z"
"03nwm","3","10","34","SG","Devin Booker","PHO","GalaDynasty","2026-07-16T23:47:06.000Z"
"04ewf","3","11","35","C","Bam Adebayo","MIA","JDUB13","2026-07-17T02:08:21.000Z"
"02nf1","3","12","36","PF","Anthony Davis","WAS","Sternhold","2026-07-17T05:30:50.000Z"
"06217","4","1","37","SG","Dyson Daniels","ATL","Sternhold","2026-07-17T05:35:15.000Z"
"06210","4","2","38","PF","Paolo Banchero","ORL","JDUB13","2026-07-17T05:35:15.000Z"
"04ewt","4","3","39","SG","Derrick White","BOS","GalaDynasty","2026-07-17T08:58:33.000Z"
"04qrj","4","4","40","C","Jaren Jackson","UTA","Pilli","2026-07-17T09:00:13.000Z"
"051ox","4","5","41","SG","Nickeil Alexander-Walker","ATL","Spryte","2026-07-17T09:00:14.000Z"
"06cca","4","6","42","SF","Brandon Miller","CHA","FantasyISO","2026-07-17T09:12:27.000Z"
"0621l","4","7","43","C","Walker Kessler","LAL","ProudPapaPlays","2026-07-17T09:21:06.000Z"
"042n7","4","8","44","C","Domantas Sabonis","SAC","Timbo1","2026-07-17T09:26:12.000Z"
"05qtj","4","9","45","SF","Deni Avdija","POR","Anyang","2026-07-17T16:42:17.000Z"
"0621b","4","10","46","SG","Jalen Williams","OKC","Oceanman","2026-07-17T16:42:17.000Z"
"05qtt","4","11","47","C","Onyeka Okongwu","ATL","Chicago Blicas🇵🇹","2026-07-17T16:43:52.000Z"
"042nm","4","12","48","PF","Pascal Siakam","IND","bennyo","2026-07-17T20:35:20.000Z"
"06cby","5","1","49","PG","Keyonte George","UTA","bennyo","2026-07-17T20:38:17.000Z"
"027oj","5","2","50","SG","Kyrie Irving","DAL","Chicago Blicas🇵🇹","2026-07-17T20:39:03.000Z"
"0621c","5","3","51","C","Jalen Duren","DET","Oceanman","2026-07-17T20:39:03.000Z"
"0011e","5","4","52","SF","LeBron James","PHI","Anyang","2026-07-18T00:09:47.000Z"
"05qt1","5","5","53","PG","Payton Pritchard","BOS","Timbo1","2026-07-18T00:12:20.000Z"
"06227","5","6","54","PG","Ryan Rollins","MIL","ProudPapaPlays","2026-07-18T04:28:51.000Z"
"04ewn","5","7","55","PF","OG Anunoby","NY","FantasyISO","2026-07-18T05:12:38.000Z"
"05qt3","5","8","56","SG","Desmond Bane","ORL","Spryte","2026-07-18T06:15:55.000Z"
