"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","ProudPapaPlays","2026-07-21T23:00:02.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","GalaDynasty","2026-07-21T23:00:16.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","BIGPURPLEANDGOLD","2026-07-21T23:15:48.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","FantasyISO","2026-07-21T23:15:49.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Son","2026-07-21T23:37:11.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","Sternhold","2026-07-21T23:37:11.000Z"
"031m2","1","7","7","PF","Giannis Antetokounmpo","MIA","Pilli","2026-07-21T23:37:13.000Z"
"05qtv","1","8","8","PG","Tyrese Haliburton","IND","JJyumyum","2026-07-22T00:40:18.000Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","Vemida","2026-07-22T04:59:17.000Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","MFHFB","2026-07-22T06:19:18.000Z"
"05uiu","1","11","11","SF","Jalen Johnson","ATL","chuckball","2026-07-22T06:19:19.000Z"
"05uie","1","12","12","PF","Scottie Barnes","TOR","starks43","2026-07-22T10:52:18.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","starks43","2026-07-22T10:52:24.000Z"
"04ewe","2","2","14","SG","Donovan Mitchell","CLE","chuckball","2026-07-22T10:52:25.000Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","MFHFB","2026-07-22T11:11:06.000Z"
"05uiq","2","4","16","C","Alperen Sengun","HOU","Vemida","2026-07-22T14:54:03.000Z"
"001aw","2","5","17","PF","Kevin Durant","HOU","JJyumyum","2026-07-22T15:03:38.000Z"
"05uid","2","6","18","PF","Evan Mobley","CLE","Pilli","2026-07-22T15:57:00.000Z"
"01enh","2","7","19","PG","Stephen Curry","GS","Sternhold","2026-07-22T16:05:18.000Z"
"04qrk","2","8","20","PG","Trae Young","WAS","Son","2026-07-22T16:35:32.000Z"
"05uus","2","9","21","SG","Austin Reaves","LAL","FantasyISO","2026-07-22T16:37:40.000Z"
"042n4","2","10","22","PG","Jamal Murray","DEN","BIGPURPLEANDGOLD","2026-07-22T17:40:22.000Z"
"05qto","2","11","23","PG","LaMelo Ball","MIN","GalaDynasty","2026-07-22T18:30:52.000Z"
"06ca8","2","12","24","SF","Amen Thompson","HOU","ProudPapaPlays","2026-07-22T18:31:28.000Z"
"05uir","3","1","25","SF","Trey Murphy","NO","ProudPapaPlays","2026-07-22T18:42:40.000Z"
"05uig","3","2","26","PG","Josh Giddey","CHI","GalaDynasty","2026-07-22T18:55:19.000Z"
"03nwm","3","3","27","SG","Devin Booker","PHO","BIGPURPLEANDGOLD","2026-07-22T19:00:39.000Z"
"04azw","3","4","28","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-22T19:01:22.000Z"
"01eo6","3","5","29","PG","James Harden","CLE","Son","2026-07-22T19:20:50.000Z"
"06211","3","6","30","C","Chet Holmgren","OKC","Sternhold","2026-07-22T19:51:51.000Z"
"02nf1","3","7","31","PF","Anthony Davis","WAS","Pilli","2026-07-22T19:51:51.000Z"
"0621b","3","8","32","SG","Jalen Williams","OKC","JJyumyum","2026-07-22T19:55:25.000Z"
"04qsa","3","9","33","PG","Jalen Brunson","NY","Vemida","2026-07-22T20:03:07.000Z"
"05qtj","3","10","34","SF","Deni Avdija","POR","MFHFB","2026-07-22T20:08:08.000Z"
"027oz","3","11","35","SF","Kawhi Leonard","LAC","chuckball","2026-07-22T22:55:11.000Z"
"03lls","3","12","36","SF","Jaylen Brown","PHI","starks43","2026-07-23T01:15:11.000Z"
"0621c","4","1","37","C","Jalen Duren","DET","starks43","2026-07-23T01:15:27.000Z"
"042n7","4","2","38","C","Domantas Sabonis","SAC","chuckball","2026-07-23T04:31:17.000Z"
"04ewt","4","3","39","SG","Derrick White","BOS","MFHFB","2026-07-23T04:42:47.000Z"
"04ewf","4","4","40","C","Bam Adebayo","MIA","Vemida","2026-07-23T04:44:26.000Z"
"027oj","4","5","41","SG","Kyrie Irving","DAL","JJyumyum","2026-07-23T11:31:53.000Z"
"051ox","4","6","42","SG","Nickeil Alexander-Walker","ATL","Pilli","2026-07-23T11:35:38.000Z"
"0621l","4","7","43","C","Walker Kessler","LAL","Sternhold","2026-07-23T11:43:48.000Z"
"06mjw","4","8","44","PG","Stephon Castle","SA","Son","2026-07-23T14:28:45.000Z"
"06v5n","4","9","45","SF","Kon Knueppel","CHA","FantasyISO","2026-07-23T15:06:38.000Z"
"06mjz","4","10","46","C","Donovan Clingan","POR","BIGPURPLEANDGOLD","2026-07-23T15:23:35.000Z"
"04qrj","4","11","47","C","Jaren Jackson","UTA","GalaDynasty","2026-07-23T15:23:45.000Z"
"06217","4","12","48","SG","Dyson Daniels","ATL","ProudPapaPlays","2026-07-23T15:39:04.000Z"
"05qtt","5","1","49","C","Onyeka Okongwu","ATL","ProudPapaPlays","2026-07-23T16:13:55.000Z"
"06210","5","2","50","PF","Paolo Banchero","ORL","GalaDynasty","2026-07-23T16:29:23.000Z"
"06cca","5","3","51","SF","Brandon Miller","CHA","BIGPURPLEANDGOLD","2026-07-23T16:32:54.000Z"
"06mk3","5","4","52","SF","Matas Buzelis","CHI","FantasyISO","2026-07-23T16:34:22.000Z"
"06mk7","5","5","53","C","Kelel Ware","MIL","Son","2026-07-23T16:43:49.000Z"
"051ol","5","6","54","PG","Darius Garland","LAC","Sternhold","2026-07-23T23:02:50.000Z"
"05qt3","5","7","55","SG","Desmond Bane","ORL","Pilli","2026-07-24T04:43:56.000Z"
"0011e","5","8","56","SF","LeBron James","PHI","JJyumyum","2026-07-24T11:36:32.000Z"
"05uii","5","9","57","SF","Franz Wagner","ORL","Vemida","2026-07-24T11:41:03.000Z"
"06cby","5","10","58","PG","Keyonte George","UTA","MFHFB","2026-07-24T11:45:03.000Z"
"042nm","5","11","59","PF","Pascal Siakam","IND","chuckball","2026-07-24T11:45:04.000Z"
"076vc","5","12","60","PF","Cameron Boozer","MEM","starks43","2026-07-24T13:17:11.000Z"
"03al2","6","1","61","C","Joel Embiid","PHI","starks43","2026-07-24T13:18:11.000Z"
"042nq","6","2","62","PG","Dejounte Murray","NO","chuckball","2026-07-24T15:02:49.000Z"
"04ewn","6","3","63","PF","OG Anunoby","NY","MFHFB","2026-07-24T15:59:14.000Z"
"06212","6","4","64","PF","Jabari Smith","HOU","Vemida","2026-07-24T16:04:17.000Z"
"042nt","6","5","65","C","Ivica Zubac","IND","JJyumyum","2026-07-24T16:26:38.000Z"
"05qu9","6","6","66","PG","Immanuel Quickley","TOR","Pilli","2026-07-24T16:26:38.000Z"
"04qrn","6","7","67","SF","Mikal Bridges","NY","Sternhold","2026-07-25T00:26:51.000Z"
"03ajv","6","8","68","PF","Julius Randle","BKN","Son","2026-07-25T00:35:23.000Z"
"06mk1","6","9","69","C","Zach Edey","MEM","FantasyISO","2026-07-25T00:37:10.000Z"
"04qrr","6","10","70","SF","Michael Porter","BKN","BIGPURPLEANDGOLD","2026-07-25T00:40:46.000Z"
"051ot","6","11","71","SG","Tyler Herro","MIL","GalaDynasty","2026-07-25T05:59:22.000Z"
"0527h","6","12","72","C","Naz Reid","CHA","ProudPapaPlays","2026-07-25T06:07:24.000Z"
"05qu0","7","1","73","PF","Jaden McDaniels","MIN","ProudPapaPlays","2026-07-25T06:08:01.000Z"
"06mju","7","2","74","C","Alex Sarr","WAS","GalaDynasty","2026-07-25T06:09:35.000Z"
"02xg9","7","3","75","C","Rudy Gobert","MIN","BIGPURPLEANDGOLD","2026-07-25T12:44:52.744Z"
"051p4","7","4","76","SG","Ty Jerome","MEM","FantasyISO","2026-07-25T12:47:59.202Z"
