"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","WarnerG","2026-07-21T23:32:54.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Lildaddy","2026-07-21T23:33:03.000Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","shuey33","2026-07-21T23:47:57.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","BIGPURPLEANDGOLD","2026-07-22T00:04:54.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","chuckball","2026-07-22T00:49:45.000Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","keenet","2026-07-22T04:04:26.000Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","FantasyISO","2026-07-22T06:21:06.000Z"
"05qug","1","8","8","SG","Anthony Edwards","MIN","Son","2026-07-22T06:22:12.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","Celebrations","2026-07-22T06:29:10.000Z"
"05uie","1","10","10","PF","Scottie Barnes","TOR","starks43","2026-07-22T10:51:26.000Z"
"05qtv","1","11","11","PG","Tyrese Haliburton","IND","JDUB13","2026-07-22T11:45:09.000Z"
"05uiu","1","12","12","SF","Jalen Johnson","ATL","nakamanest","2026-07-22T13:11:44.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","nakamanest","2026-07-22T13:11:51.000Z"
"04ewe","2","2","14","SG","Donovan Mitchell","CLE","JDUB13","2026-07-22T13:38:17.000Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","starks43","2026-07-22T14:09:24.000Z"
"03nwm","2","4","16","SG","Devin Booker","PHO","Celebrations","2026-07-22T17:44:51.000Z"
"042n4","2","5","17","PG","Jamal Murray","DEN","Son","2026-07-22T18:23:12.000Z"
"05uir","2","6","18","SF","Trey Murphy","NO","FantasyISO","2026-07-22T18:27:11.000Z"
"05qto","2","7","19","PG","LaMelo Ball","MIN","keenet","2026-07-22T19:07:26.000Z"
"001aw","2","8","20","PF","Kevin Durant","HOU","chuckball","2026-07-22T20:06:05.000Z"
"05uus","2","9","21","SG","Austin Reaves","LAL","BIGPURPLEANDGOLD","2026-07-22T20:24:25.000Z"
"04qrk","2","10","22","PG","Trae Young","WAS","shuey33","2026-07-22T20:54:52.000Z"
"06ca8","2","11","23","SF","Amen Thompson","HOU","Lildaddy","2026-07-22T20:56:30.000Z"
"05uiq","2","12","24","C","Alperen Sengun","HOU","WarnerG","2026-07-22T20:58:33.000Z"
"05uig","3","1","25","PG","Josh Giddey","CHI","WarnerG","2026-07-22T21:11:56.000Z"
"01eo6","3","2","26","PG","James Harden","CLE","Lildaddy","2026-07-22T21:12:22.000Z"
"0621b","3","3","27","SG","Jalen Williams","OKC","shuey33","2026-07-22T21:16:09.000Z"
