"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","shuey33","2026-07-21T23:00:02.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Son","2026-07-21T23:07:56.000Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","JDUB13","2026-07-21T23:35:39.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","Timbo1","2026-07-21T23:35:39.000Z"
"031m2","1","5","5","PF","Giannis Antetokounmpo","MIA","Evolving Skies","2026-07-22T01:16:58.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","BIGPURPLEANDGOLD","2026-07-22T01:17:46.000Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","Hoobob","2026-07-22T02:27:54.000Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","FantasyISO","2026-07-22T03:42:44.000Z"
"03xmv","1","9","9","PF","Jayson Tatum","BOS","chuckball","2026-07-22T03:42:45.000Z"
"05uiu","1","10","10","SF","Jalen Johnson","ATL","keenet","2026-07-22T04:09:46.000Z"
"05qtv","1","11","11","PG","Tyrese Haliburton","IND","Jimco15","2026-07-22T09:55:30.000Z"
"04ewe","1","12","12","SG","Donovan Mitchell","CLE","WarnerG","2026-07-22T16:06:40.000Z"
"05qto","2","1","13","PG","LaMelo Ball","MIN","WarnerG","2026-07-22T16:06:54.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","Jimco15","2026-07-22T16:28:43.000Z"
"05uie","2","3","15","PF","Scottie Barnes","TOR","keenet","2026-07-22T16:31:19.000Z"
"001aw","2","4","16","PF","Kevin Durant","HOU","chuckball","2026-07-22T16:39:38.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-22T16:40:18.000Z"
"04qrk","2","6","18","PG","Trae Young","WAS","Hoobob","2026-07-22T22:04:18.000Z"
"05uig","2","7","19","PG","Josh Giddey","CHI","BIGPURPLEANDGOLD","2026-07-22T22:21:43.000Z"
"01eo6","2","8","20","PG","James Harden","CLE","Evolving Skies","2026-07-22T23:15:19.000Z"
"06ca8","2","9","21","SF","Amen Thompson","HOU","Timbo1","2026-07-22T23:16:56.000Z"
"03nwm","2","10","22","SG","Devin Booker","PHO","JDUB13","2026-07-23T02:33:09.000Z"
"05uiq","2","11","23","C","Alperen Sengun","HOU","Son","2026-07-23T02:36:48.000Z"
"027oz","2","12","24","SF","Kawhi Leonard","LAC","shuey33","2026-07-23T02:39:42.000Z"
"02nf1","3","1","25","PF","Anthony Davis","WAS","shuey33","2026-07-23T02:39:45.000Z"
"042n4","3","2","26","PG","Jamal Murray","DEN","Son","2026-07-23T02:40:18.000Z"
"06211","3","3","27","C","Chet Holmgren","OKC","JDUB13","2026-07-23T05:16:05.000Z"
"05uus","3","4","28","SG","Austin Reaves","LAL","Timbo1","2026-07-23T05:18:55.000Z"
"01enh","3","5","29","PG","Stephen Curry","GS","Evolving Skies","2026-07-23T06:08:00.000Z"
"05uir","3","6","30","SF","Trey Murphy","NO","BIGPURPLEANDGOLD","2026-07-23T11:42:26.000Z"
"042n7","3","7","31","C","Domantas Sabonis","SAC","Hoobob","2026-07-23T12:25:48.000Z"
"04azw","3","8","32","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-23T12:30:13.000Z"
"05uid","3","9","33","PF","Evan Mobley","CLE","chuckball","2026-07-23T12:30:13.000Z"
"0621b","3","10","34","SG","Jalen Williams","OKC","keenet","2026-07-23T15:40:16.000Z"
"04ewf","3","11","35","C","Bam Adebayo","MIA","Jimco15","2026-07-23T16:31:04.000Z"
"03lls","3","12","36","SF","Jaylen Brown","PHI","WarnerG","2026-07-23T21:35:14.000Z"
"04qsa","4","1","37","PG","Jalen Brunson","NY","WarnerG","2026-07-23T21:35:20.000Z"
"06v5n","4","2","38","SF","Kon Knueppel","CHA","Jimco15","2026-07-23T21:43:53.000Z"
"0621l","4","3","39","C","Walker Kessler","LAL","keenet","2026-07-23T22:14:19.000Z"
"05qtj","4","4","40","SF","Deni Avdija","POR","chuckball","2026-07-24T04:27:40.000Z"
"04ewt","4","5","41","SG","Derrick White","BOS","FantasyISO","2026-07-24T04:29:04.000Z"
"06cca","4","6","42","SF","Brandon Miller","CHA","Hoobob","2026-07-24T05:23:39.000Z"
"0621c","4","7","43","C","Jalen Duren","DET","BIGPURPLEANDGOLD","2026-07-24T05:39:46.000Z"
"03ajv","4","8","44","PF","Julius Randle","BKN","Evolving Skies","2026-07-24T07:42:26.000Z"
"06210","4","9","45","PF","Paolo Banchero","ORL","Timbo1","2026-07-24T08:34:45.000Z"
"042nm","4","10","46","PF","Pascal Siakam","IND","JDUB13","2026-07-24T12:35:07.000Z"
"051ox","4","11","47","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-24T14:19:35.000Z"
"04qrr","4","12","48","SF","Michael Porter","BKN","shuey33","2026-07-24T16:31:29.000Z"
"027oj","5","1","49","SG","Kyrie Irving","DAL","shuey33","2026-07-24T16:31:31.000Z"
"042nq","5","2","50","PG","Dejounte Murray","NO","Son","2026-07-24T16:37:46.000Z"
"05uii","5","3","51","SF","Franz Wagner","ORL","JDUB13","2026-07-24T20:25:46.000Z"
"04qrj","5","4","52","C","Jaren Jackson","UTA","Timbo1","2026-07-24T20:25:46.000Z"
"0011e","5","5","53","SF","LeBron James","PHI","Evolving Skies","2026-07-24T21:58:18.000Z"
"06mjz","5","6","54","C","Donovan Clingan","POR","BIGPURPLEANDGOLD","2026-07-24T22:21:25.000Z"
"076vc","5","7","55","PF","Cameron Boozer","MEM","Hoobob","2026-07-24T22:30:24.000Z"
"05qtt","5","8","56","C","Onyeka Okongwu","ATL","FantasyISO","2026-07-24T23:55:11.000Z"
"06217","5","9","57","SG","Dyson Daniels","ATL","chuckball","2026-07-25T03:48:13.000Z"
"05qt3","5","10","58","SG","Desmond Bane","ORL","keenet","2026-07-25T05:23:08.000Z"
"01uyj","5","11","59","PF","Paul George","BOS","Jimco15","2026-07-25T05:23:08.000Z"
"06mju","5","12","60","C","Alex Sarr","WAS","WarnerG","2026-07-25T11:00:11.048Z"
"051oh","6","1","61","PF","Zion Williamson","NO","WarnerG","2026-07-25T11:00:21.346Z"
"03al2","6","2","62","C","Joel Embiid","PHI","Jimco15","2026-07-25T11:00:21.635Z"
"06mk7","6","3","63","C","Kelel Ware","MIL","keenet","2026-07-25T16:04:24.232Z"
"051ol","6","4","64","PG","Darius Garland","LAC","chuckball","2026-07-25T16:04:24.516Z"
"06mk3","6","5","65","SF","Matas Buzelis","CHI","FantasyISO","2026-07-25T16:16:58.496Z"
"051oi","6","6","66","PG","Ja Morant","POR","Hoobob","2026-07-25T16:39:19.120Z"
"06cby","6","7","67","PG","Keyonte George","UTA","BIGPURPLEANDGOLD","2026-07-25T23:28:08.957Z"
"051ot","6","8","68","SG","Tyler Herro","MIL","Evolving Skies","2026-07-26T05:23:14.907Z"
"042nt","6","9","69","C","Ivica Zubac","IND","Timbo1","2026-07-26T05:26:15.206Z"
"049kb","6","10","70","PG","DeAaron Fox","SA","JDUB13","2026-07-26T06:29:18.316Z"
"03r7z","6","11","71","SG","Norman Powell","CHI","Son","2026-07-26T06:48:56.725Z"
"05qu9","6","12","72","PG","Immanuel Quickley","TOR","shuey33","2026-07-26T11:41:04.452Z"
"06mk1","7","1","73","C","Zach Edey","MEM","shuey33","2026-07-26T11:41:49.555Z"
"06212","7","2","74","PF","Jabari Smith","HOU","Son","2026-07-26T13:21:17.695Z"
"03ad2","7","3","75","C","Myles Turner","MIL","JDUB13","2026-07-26T14:02:16.512Z"
"0527h","7","4","76","C","Naz Reid","CHA","Timbo1","2026-07-26T14:02:16.785Z"
