"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","sanj156","2026-07-20T23:00:02.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","cookie the wookiee","2026-07-20T23:00:04.000Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","shuey33","2026-07-20T23:00:06.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","Oceanman","2026-07-20T23:00:07.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","Anyang","2026-07-20T23:00:09.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","Dmor7","2026-07-21T03:00:05.000Z"
"05qtv","1","7","7","PG","Tyrese Haliburton","IND","CVM","2026-07-21T03:01:13.000Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","ajching","2026-07-21T03:17:29.000Z"
"05uie","1","9","9","PF","Scottie Barnes","TOR","JJyumyum","2026-07-21T03:35:40.000Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","Sternhold","2026-07-21T03:41:43.000Z"
"05qug","1","11","11","SG","Anthony Edwards","MIN","keenet","2026-07-21T04:19:08.000Z"
"04ewe","1","12","12","SG","Donovan Mitchell","CLE","Son","2026-07-21T04:22:30.000Z"
"03nwm","2","1","13","SG","Devin Booker","PHO","Son","2026-07-21T04:22:38.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","keenet","2026-07-21T04:40:42.000Z"
"031m2","2","3","15","PF","Giannis Antetokounmpo","MIA","Sternhold","2026-07-21T07:50:43.000Z"
"06ca8","2","4","16","SF","Amen Thompson","HOU","JJyumyum","2026-07-21T11:59:24.000Z"
"05uiq","2","5","17","C","Alperen Sengun","HOU","ajching","2026-07-21T14:40:18.000Z"
"05uir","2","6","18","SF","Trey Murphy","NO","CVM","2026-07-21T14:51:37.000Z"
"001aw","2","7","19","PF","Kevin Durant","HOU","Dmor7","2026-07-21T17:08:07.000Z"
"042n4","2","8","20","PG","Jamal Murray","DEN","Anyang","2026-07-21T17:45:58.000Z"
"03ad3","2","9","21","C","Karl-Anthony Towns","NY","Oceanman","2026-07-21T17:45:58.000Z"
"02nf1","2","10","22","PF","Anthony Davis","WAS","shuey33","2026-07-21T20:24:45.000Z"
"04ewf","2","11","23","C","Bam Adebayo","MIA","cookie the wookiee","2026-07-22T01:29:15.000Z"
"01enh","2","12","24","PG","Stephen Curry","GS","sanj156","2026-07-22T01:29:29.000Z"
"05uus","3","1","25","SG","Austin Reaves","LAL","sanj156","2026-07-22T01:29:38.000Z"
"05uig","3","2","26","PG","Josh Giddey","CHI","cookie the wookiee","2026-07-22T01:31:34.000Z"
"027oz","3","3","27","SF","Kawhi Leonard","LAC","shuey33","2026-07-22T02:40:25.000Z"
"05qto","3","4","28","PG","LaMelo Ball","MIN","Oceanman","2026-07-22T02:40:25.000Z"
"01eo6","3","5","29","PG","James Harden","CLE","Anyang","2026-07-22T05:19:10.000Z"
"04qrk","3","6","30","PG","Trae Young","WAS","Dmor7","2026-07-22T05:19:11.000Z"
"06211","3","7","31","C","Chet Holmgren","OKC","CVM","2026-07-22T07:49:52.000Z"
"05uid","3","8","32","PF","Evan Mobley","CLE","ajching","2026-07-22T08:45:41.000Z"
"0621b","3","9","33","SG","Jalen Williams","OKC","JJyumyum","2026-07-22T12:14:05.000Z"
"04azw","3","10","34","PF","Lauri Markkanen","UTA","Sternhold","2026-07-22T12:29:13.000Z"
"04ewt","3","11","35","SG","Derrick White","BOS","keenet","2026-07-22T16:49:49.000Z"
"04qsa","3","12","36","PG","Jalen Brunson","NY","Son","2026-07-22T16:56:12.000Z"
"06mjw","4","1","37","PG","Stephon Castle","SA","Son","2026-07-22T16:56:16.000Z"
"06cca","4","2","38","SF","Brandon Miller","CHA","keenet","2026-07-22T17:01:55.000Z"
"0621l","4","3","39","C","Walker Kessler","LAL","Sternhold","2026-07-22T17:06:05.000Z"
"06mjz","4","4","40","C","Donovan Clingan","POR","JJyumyum","2026-07-22T17:25:20.000Z"
"06217","4","5","41","SG","Dyson Daniels","ATL","ajching","2026-07-22T17:41:20.000Z"
"05qtj","4","6","42","SF","Deni Avdija","POR","CVM","2026-07-22T23:04:07.000Z"
"042n7","4","7","43","C","Domantas Sabonis","SAC","Dmor7","2026-07-22T23:48:24.000Z"
"0621c","4","8","44","C","Jalen Duren","DET","Anyang","2026-07-23T06:06:08.000Z"
"06210","4","9","45","PF","Paolo Banchero","ORL","Oceanman","2026-07-23T06:06:08.000Z"
"04qrj","4","10","46","C","Jaren Jackson","UTA","shuey33","2026-07-23T10:52:03.000Z"
"06v5n","4","11","47","SF","Kon Knueppel","CHA","cookie the wookiee","2026-07-23T10:57:41.000Z"
"03lls","4","12","48","SF","Jaylen Brown","PHI","sanj156","2026-07-23T12:43:55.000Z"
"05uii","5","1","49","SF","Franz Wagner","ORL","sanj156","2026-07-23T12:43:57.000Z"
"05qt3","5","2","50","SG","Desmond Bane","ORL","cookie the wookiee","2026-07-23T13:48:15.000Z"
"076vc","5","3","51","PF","Cameron Boozer","MEM","shuey33","2026-07-23T14:59:51.000Z"
"051ol","5","4","52","PG","Darius Garland","LAC","Oceanman","2026-07-23T14:59:51.000Z"
"06mju","5","5","53","C","Alex Sarr","WAS","Anyang","2026-07-23T18:03:21.000Z"
