"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","JDUB13","2026-07-11T23:00:02.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Rebel Clash","2026-07-11T23:09:13.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Anyang","2026-07-11T23:09:14.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Markkowgier","2026-07-12T07:09:23.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Sternhold","2026-07-12T07:09:23.000Z"
"05uie","1","6","6","PF","Scottie Barnes","TOR","boldest19","2026-07-12T08:50:10.000Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","starks43","2026-07-12T13:16:47.000Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","epk1993","2026-07-12T15:05:55.000Z"
"05uiu","1","9","9","SF","Jalen Johnson","ATL","Oceanman","2026-07-12T15:05:56.000Z"
"05qtv","1","10","10","PG","Tyrese Haliburton","IND","Son","2026-07-12T18:03:57.000Z"
"05qsq","1","11","11","PG","Tyrese Maxey","PHI","JustinofNixa","2026-07-12T18:15:13.000Z"
"031m2","1","12","12","PF","Giannis Antetokounmpo","MIA","Spryte","2026-07-12T19:35:47.000Z"
"01enh","2","1","13","PG","Stephen Curry","GS","Spryte","2026-07-12T19:35:51.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","JustinofNixa","2026-07-12T19:37:06.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","Son","2026-07-12T19:38:38.000Z"
"05qto","2","4","16","PG","LaMelo Ball","MIN","Oceanman","2026-07-12T19:38:38.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","epk1993","2026-07-13T01:18:16.000Z"
"03nwm","2","6","18","SG","Devin Booker","PHO","starks43","2026-07-13T01:22:10.000Z"
"001aw","2","7","19","PF","Kevin Durant","HOU","boldest19","2026-07-13T01:28:33.000Z"
"05uig","2","8","20","PG","Josh Giddey","CHI","Sternhold","2026-07-13T06:13:41.000Z"
"05uus","2","9","21","SG","Austin Reaves","LAL","Markkowgier","2026-07-13T11:03:40.000Z"
"04qrk","2","10","22","PG","Trae Young","WAS","Anyang","2026-07-13T18:17:10.000Z"
"042n4","2","11","23","PG","Jamal Murray","DEN","Rebel Clash","2026-07-13T19:47:39.000Z"
"06211","2","12","24","C","Chet Holmgren","OKC","JDUB13","2026-07-13T22:08:09.000Z"
"04qsa","3","1","25","PG","Jalen Brunson","NY","JDUB13","2026-07-13T22:09:20.000Z"
"04azw","3","2","26","PF","Lauri Markkanen","UTA","Rebel Clash","2026-07-13T22:33:11.000Z"
"05uid","3","3","27","PF","Evan Mobley","CLE","Anyang","2026-07-14T05:34:22.000Z"
"027oz","3","4","28","SF","Kawhi Leonard","LAC","Markkowgier","2026-07-14T11:10:30.000Z"
"05uir","3","5","29","SF","Trey Murphy","NO","Sternhold","2026-07-14T11:12:49.000Z"
"05uiq","3","6","30","C","Alperen Sengun","HOU","boldest19","2026-07-14T11:15:23.000Z"
"02nf1","3","7","31","PF","Anthony Davis","WAS","starks43","2026-07-14T13:18:33.000Z"
"01eo6","3","8","32","PG","James Harden","CLE","epk1993","2026-07-14T14:49:33.000Z"
"06ca8","3","9","33","SF","Amen Thompson","HOU","Oceanman","2026-07-14T14:49:33.000Z"
"051ox","3","10","34","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-14T14:51:17.000Z"
"04ewf","3","11","35","C","Bam Adebayo","MIA","JustinofNixa","2026-07-14T17:46:00.000Z"
"04qrj","3","12","36","C","Jaren Jackson","UTA","Spryte","2026-07-14T18:56:39.000Z"
"04ewt","4","1","37","SG","Derrick White","BOS","Spryte","2026-07-14T18:56:43.000Z"
"0621l","4","2","38","C","Walker Kessler","LAL","JustinofNixa","2026-07-14T19:30:20.000Z"
"06mjz","4","3","39","C","Donovan Clingan","POR","Son","2026-07-14T19:55:04.000Z"
"05qtj","4","4","40","SF","Deni Avdija","POR","Oceanman","2026-07-14T19:55:05.000Z"
"0621c","4","5","41","C","Jalen Duren","DET","epk1993","2026-07-14T21:01:15.000Z"
