"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","thibs11","2026-07-13T23:00:03.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","JHaarSD","2026-07-14T01:13:28.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","GreenPoh","2026-07-14T01:13:28.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Grimmer11","2026-07-14T01:14:19.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","MeggaMortY","2026-07-14T01:14:20.000Z"
"05qug","1","6","6","SG","Anthony Edwards","MIN","boldest19","2026-07-14T02:27:56.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","JDUB13","2026-07-14T04:04:57.000Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","FantasyISO","2026-07-14T04:05:18.000Z"
"05uie","1","9","9","PF","Scottie Barnes","TOR","starks43","2026-07-14T04:05:18.000Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","Hoobob","2026-07-14T07:01:38.000Z"
"05qtv","1","11","11","PG","Tyrese Haliburton","IND","Son","2026-07-14T08:03:30.000Z"
"031m2","1","12","12","PF","Giannis Antetokounmpo","MIA","jakemosky","2026-07-14T13:30:20.000Z"
"04ewe","2","1","13","SG","Donovan Mitchell","CLE","jakemosky","2026-07-14T13:30:30.000Z"
"06v5l","2","2","14","SF","Cooper Flagg","DAL","Son","2026-07-14T13:35:17.000Z"
"001aw","2","3","15","PF","Kevin Durant","HOU","Hoobob","2026-07-14T13:58:15.000Z"
"03nwm","2","4","16","SG","Devin Booker","PHO","starks43","2026-07-14T14:07:06.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-14T14:08:08.000Z"
"06211","2","6","18","C","Chet Holmgren","OKC","JDUB13","2026-07-14T17:00:59.000Z"
"042n4","2","7","19","PG","Jamal Murray","DEN","boldest19","2026-07-14T20:34:36.000Z"
"01enh","2","8","20","PG","Stephen Curry","GS","MeggaMortY","2026-07-14T20:46:53.000Z"
"06ca8","2","9","21","SF","Amen Thompson","HOU","Grimmer11","2026-07-14T20:51:51.000Z"
"027oz","2","10","22","SF","Kawhi Leonard","LAC","GreenPoh","2026-07-14T20:51:51.000Z"
"01eo6","2","11","23","PG","James Harden","CLE","JHaarSD","2026-07-14T22:58:30.000Z"
"04ewt","2","12","24","SG","Derrick White","BOS","thibs11","2026-07-14T23:00:33.000Z"
"05uid","3","1","25","PF","Evan Mobley","CLE","thibs11","2026-07-14T23:02:05.000Z"
"05uiq","3","2","26","C","Alperen Sengun","HOU","JHaarSD","2026-07-15T04:29:33.000Z"
"02nf1","3","3","27","PF","Anthony Davis","WAS","GreenPoh","2026-07-15T04:29:33.000Z"
"05qto","3","4","28","PG","LaMelo Ball","MIN","Grimmer11","2026-07-15T06:16:08.000Z"
"05uus","3","5","29","SG","Austin Reaves","LAL","MeggaMortY","2026-07-15T06:22:50.000Z"
"06210","3","6","30","PF","Paolo Banchero","ORL","boldest19","2026-07-15T06:48:02.000Z"
"04qrk","3","7","31","PG","Trae Young","WAS","JDUB13","2026-07-15T11:39:49.000Z"
"05uir","3","8","32","SF","Trey Murphy","NO","FantasyISO","2026-07-15T11:43:56.000Z"
"04qsa","3","9","33","PG","Jalen Brunson","NY","starks43","2026-07-15T11:53:18.000Z"
"0621c","3","10","34","C","Jalen Duren","DET","Hoobob","2026-07-15T12:17:11.000Z"
"05uig","3","11","35","PG","Josh Giddey","CHI","Son","2026-07-15T12:38:27.000Z"
"0011e","3","12","36","SF","LeBron James","PHI","jakemosky","2026-07-15T13:37:04.000Z"
"04azw","4","1","37","PF","Lauri Markkanen","UTA","jakemosky","2026-07-15T13:37:09.000Z"
"06mjw","4","2","38","PG","Stephon Castle","SA","Son","2026-07-15T13:44:58.000Z"
"05qtj","4","3","39","SF","Deni Avdija","POR","Hoobob","2026-07-15T13:50:36.000Z"
"03lls","4","4","40","SF","Jaylen Brown","PHI","starks43","2026-07-15T14:05:59.000Z"
"06cca","4","5","41","SF","Brandon Miller","CHA","FantasyISO","2026-07-15T14:11:37.000Z"
"05uii","4","6","42","SF","Franz Wagner","ORL","JDUB13","2026-07-15T14:59:14.000Z"
"042n7","4","7","43","C","Domantas Sabonis","SAC","boldest19","2026-07-15T15:00:20.000Z"
"0621b","4","8","44","SG","Jalen Williams","OKC","MeggaMortY","2026-07-15T21:12:56.000Z"
"06v5n","4","9","45","SF","Kon Knueppel","CHA","Grimmer11","2026-07-15T21:21:37.000Z"
"04ewf","4","10","46","C","Bam Adebayo","MIA","GreenPoh","2026-07-15T21:21:37.000Z"
"042nm","4","11","47","PF","Pascal Siakam","IND","JHaarSD","2026-07-16T00:19:37.000Z"
"05qtt","4","12","48","C","Onyeka Okongwu","ATL","thibs11","2026-07-16T00:19:38.000Z"
"06mk3","5","1","49","SF","Matas Buzelis","CHI","thibs11","2026-07-16T00:19:39.000Z"
"06cby","5","2","50","PG","Keyonte George","UTA","JHaarSD","2026-07-16T00:19:53.000Z"
"0621l","5","3","51","C","Walker Kessler","LAL","GreenPoh","2026-07-16T06:02:11.000Z"
"04qrj","5","4","52","C","Jaren Jackson","UTA","Grimmer11","2026-07-16T06:02:12.000Z"
"076vc","5","5","53","PF","Cameron Boozer","MEM","MeggaMortY","2026-07-16T06:02:51.000Z"
"05qt3","5","6","54","SG","Desmond Bane","ORL","boldest19","2026-07-16T09:03:44.000Z"
"049kb","5","7","55","PG","DeAaron Fox","SA","JDUB13","2026-07-16T11:49:17.000Z"
"04ewn","5","8","56","PF","OG Anunoby","NY","FantasyISO","2026-07-16T11:50:33.000Z"
"051oi","5","9","57","PG","Ja Morant","POR","starks43","2026-07-16T12:55:27.000Z"
"06217","5","10","58","SG","Dyson Daniels","ATL","Hoobob","2026-07-16T13:03:54.000Z"
"042nq","5","11","59","PG","Dejounte Murray","NO","Son","2026-07-16T13:46:05.000Z"
"06mjz","5","12","60","C","Donovan Clingan","POR","jakemosky","2026-07-16T13:56:49.000Z"
"027oj","6","1","61","SG","Kyrie Irving","DAL","jakemosky","2026-07-16T13:56:58.000Z"
"051p4","6","2","62","SG","Ty Jerome","MEM","Son","2026-07-16T14:03:38.000Z"
"06mk7","6","3","63","C","Kelel Ware","MIL","Hoobob","2026-07-16T14:07:34.000Z"
"06mju","6","4","64","C","Alex Sarr","WAS","starks43","2026-07-16T16:21:47.000Z"
"051ox","6","5","65","SG","Nickeil Alexander-Walker","ATL","FantasyISO","2026-07-16T16:24:41.000Z"
"0527h","6","6","66","C","Naz Reid","CHA","JDUB13","2026-07-16T21:03:46.000Z"
