"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Anyang","2026-07-21T23:00:02.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","BIGPURPLEANDGOLD","2026-07-21T23:15:26.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Pilli","2026-07-21T23:15:26.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","FantasyISO","2026-07-21T23:15:28.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Son","2026-07-21T23:36:44.000Z"
"05uiu","1","6","6","SF","Jalen Johnson","ATL","Chicago Blicas GMT🇵🇹","2026-07-21T23:36:44.000Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","GalaDynasty","2026-07-22T06:24:40.000Z"
"05uie","1","8","8","PF","Scottie Barnes","TOR","Vemida","2026-07-22T14:24:47.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","MFHFB","2026-07-22T14:27:09.000Z"
"05qtv","1","10","10","PG","Tyrese Haliburton","IND","Sternhold","2026-07-22T14:32:33.000Z"
"06v5l","1","11","11","SF","Cooper Flagg","DAL","ProudPapaPlays","2026-07-22T14:35:45.000Z"
"03xmv","1","12","12","PF","Jayson Tatum","BOS","chuckball","2026-07-22T14:35:46.000Z"
"05qug","2","1","13","SG","Anthony Edwards","MIN","chuckball","2026-07-22T15:37:58.000Z"
"03ad3","2","2","14","C","Karl-Anthony Towns","NY","ProudPapaPlays","2026-07-22T15:48:19.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","Sternhold","2026-07-22T16:01:25.000Z"
"01enh","2","4","16","PG","Stephen Curry","GS","MFHFB","2026-07-22T16:44:05.000Z"
"05uig","2","5","17","PG","Josh Giddey","CHI","Vemida","2026-07-22T16:50:03.000Z"
"042n4","2","6","18","PG","Jamal Murray","DEN","GalaDynasty","2026-07-22T18:29:08.000Z"
"05uiq","2","7","19","C","Alperen Sengun","HOU","Chicago Blicas GMT🇵🇹","2026-07-22T18:29:08.000Z"
"001aw","2","8","20","PF","Kevin Durant","HOU","Son","2026-07-22T18:45:44.000Z"
"05uus","2","9","21","SG","Austin Reaves","LAL","FantasyISO","2026-07-22T18:46:24.000Z"
"04qrk","2","10","22","PG","Trae Young","WAS","Pilli","2026-07-22T19:04:17.000Z"
"04azw","2","11","23","PF","Lauri Markkanen","UTA","BIGPURPLEANDGOLD","2026-07-22T19:18:57.000Z"
"05uid","2","12","24","PF","Evan Mobley","CLE","Anyang","2026-07-22T20:47:38.000Z"
"05qto","3","1","25","PG","LaMelo Ball","MIN","Anyang","2026-07-22T20:47:43.000Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","BIGPURPLEANDGOLD","2026-07-22T20:51:09.000Z"
"06211","3","3","27","C","Chet Holmgren","OKC","Pilli","2026-07-22T20:51:09.000Z"
"05uir","3","4","28","SF","Trey Murphy","NO","FantasyISO","2026-07-22T20:52:43.000Z"
"04qsa","3","5","29","PG","Jalen Brunson","NY","Son","2026-07-22T21:18:25.000Z"
"02nf1","3","6","30","PF","Anthony Davis","WAS","Chicago Blicas GMT🇵🇹","2026-07-22T23:55:08.000Z"
"01eo6","3","7","31","PG","James Harden","CLE","GalaDynasty","2026-07-22T23:55:08.000Z"
"05qtj","3","8","32","SF","Deni Avdija","POR","Vemida","2026-07-23T04:45:06.000Z"
"06ca8","3","9","33","SF","Amen Thompson","HOU","MFHFB","2026-07-23T04:49:17.000Z"
"027oz","3","10","34","SF","Kawhi Leonard","LAC","Sternhold","2026-07-23T07:09:31.000Z"
"0621l","3","11","35","C","Walker Kessler","LAL","ProudPapaPlays","2026-07-23T07:25:55.000Z"
"0621b","3","12","36","SG","Jalen Williams","OKC","chuckball","2026-07-23T08:02:54.000Z"
"042n7","4","1","37","C","Domantas Sabonis","SAC","chuckball","2026-07-23T08:02:58.000Z"
"04ewt","4","2","38","SG","Derrick White","BOS","ProudPapaPlays","2026-07-23T08:49:15.000Z"
"06v5n","4","3","39","SF","Kon Knueppel","CHA","Sternhold","2026-07-23T09:42:20.000Z"
