"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","tmrcynk","2026-07-25T23:00:01.369Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Timbo1","2026-07-25T23:00:02.894Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","MikeRame","2026-07-25T23:00:04.409Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Sternhold","2026-07-25T23:00:05.923Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Pilli","2026-07-25T23:00:07.434Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","starks43","2026-07-26T03:06:39.981Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","danco","2026-07-26T07:09:04.935Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","Anyang","2026-07-26T11:37:42.539Z"
"06v5l","1","9","9","SF","Cooper Flagg","DAL","FantasyISO","2026-07-26T11:45:19.257Z"
"031m2","1","10","10","PF","Giannis Antetokounmpo","MIA","Hoobob","2026-07-26T13:46:56.561Z"
