"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","boldest19","2026-07-22T23:12:41.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Sternhold","2026-07-22T23:12:42.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Pilli","2026-07-22T23:12:43.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","ajching","2026-07-22T23:12:45.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","BIGPURPLEANDGOLD","2026-07-22T23:15:20.000Z"
"05qtv","1","6","6","PG","Tyrese Haliburton","IND","Son","2026-07-22T23:20:55.000Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","FehervarVideotoners","2026-07-22T23:44:24.000Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","WarnerG","2026-07-23T01:55:48.000Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","shuey33","2026-07-23T02:35:46.000Z"
"06v5l","1","10","10","SF","Cooper Flagg","DAL","FantasyISO","2026-07-23T05:18:18.000Z"
"05uiu","1","11","11","SF","Jalen Johnson","ATL","Anyang","2026-07-23T09:31:08.000Z"
"06ca8","1","12","12","SF","Amen Thompson","HOU","Jimco15","2026-07-23T09:31:08.000Z"
"05uie","2","1","13","PF","Scottie Barnes","TOR","Jimco15","2026-07-23T09:31:10.000Z"
"031m2","2","2","14","PF","Giannis Antetokounmpo","MIA","Anyang","2026-07-23T09:31:19.000Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-23T09:40:41.000Z"
"001aw","2","4","16","PF","Kevin Durant","HOU","shuey33","2026-07-23T10:48:15.000Z"
"04ewe","2","5","17","SG","Donovan Mitchell","CLE","WarnerG","2026-07-23T15:23:55.000Z"
"05uiq","2","6","18","C","Alperen Sengun","HOU","FehervarVideotoners","2026-07-23T16:04:19.000Z"
"042n4","2","7","19","PG","Jamal Murray","DEN","Son","2026-07-23T16:10:55.000Z"
"01enh","2","8","20","PG","Stephen Curry","GS","BIGPURPLEANDGOLD","2026-07-23T16:18:50.000Z"
"06211","2","9","21","C","Chet Holmgren","OKC","ajching","2026-07-23T16:38:38.000Z"
"05uig","2","10","22","PG","Josh Giddey","CHI","Pilli","2026-07-23T17:51:17.000Z"
"04ewt","2","11","23","SG","Derrick White","BOS","Sternhold","2026-07-23T23:04:28.000Z"
"05uid","2","12","24","PF","Evan Mobley","CLE","boldest19","2026-07-23T23:17:39.000Z"
"06mjw","3","1","25","PG","Stephon Castle","SA","boldest19","2026-07-23T23:17:59.000Z"
"05qto","3","2","26","PG","LaMelo Ball","MIN","Sternhold","2026-07-23T23:27:38.000Z"
"04qrk","3","3","27","PG","Trae Young","WAS","Pilli","2026-07-24T04:44:16.000Z"
"01eo6","3","4","28","PG","James Harden","CLE","ajching","2026-07-24T06:12:18.000Z"
"05uus","3","5","29","SG","Austin Reaves","LAL","BIGPURPLEANDGOLD","2026-07-24T09:17:52.000Z"
"04qsa","3","6","30","PG","Jalen Brunson","NY","Son","2026-07-24T14:12:35.000Z"
"027oz","3","7","31","SF","Kawhi Leonard","LAC","FehervarVideotoners","2026-07-24T16:29:31.000Z"
"03nwm","3","8","32","SG","Devin Booker","PHO","WarnerG","2026-07-24T23:16:18.000Z"
"02nf1","3","9","33","PF","Anthony Davis","WAS","shuey33","2026-07-25T01:19:46.000Z"
"04azw","3","10","34","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-25T04:49:47.000Z"
"05qtj","3","11","35","SF","Deni Avdija","POR","Anyang","2026-07-25T12:49:43.016Z"
"05qt3","3","12","36","SG","Desmond Bane","ORL","Jimco15","2026-07-25T14:08:02.248Z"
"05uir","4","1","37","SF","Trey Murphy","NO","Jimco15","2026-07-25T14:08:26.538Z"
"0621b","4","2","38","SG","Jalen Williams","OKC","Anyang","2026-07-25T15:36:32.393Z"
"0621l","4","3","39","C","Walker Kessler","LAL","FantasyISO","2026-07-25T16:16:27.195Z"
"042n7","4","4","40","C","Domantas Sabonis","SAC","shuey33","2026-07-25T17:27:04.279Z"
"06210","4","5","41","PF","Paolo Banchero","ORL","WarnerG","2026-07-25T19:29:22.931Z"
"04ewf","4","6","42","C","Bam Adebayo","MIA","FehervarVideotoners","2026-07-26T03:29:32.294Z"
"06mjz","4","7","43","C","Donovan Clingan","POR","Son","2026-07-26T03:30:57.807Z"
"03lls","4","8","44","SF","Jaylen Brown","PHI","BIGPURPLEANDGOLD","2026-07-26T05:07:59.254Z"
"0621c","4","9","45","C","Jalen Duren","DET","ajching","2026-07-26T05:31:13.865Z"
"04qrj","4","10","46","C","Jaren Jackson","UTA","Pilli","2026-07-26T06:35:44.892Z"
"06v5n","4","11","47","SF","Kon Knueppel","CHA","Sternhold","2026-07-26T07:12:33.594Z"
"05qtt","4","12","48","C","Onyeka Okongwu","ATL","boldest19","2026-07-26T08:56:13.067Z"
"04qrn","5","1","49","SF","Mikal Bridges","NY","boldest19","2026-07-26T08:56:49.351Z"
"06cby","5","2","50","PG","Keyonte George","UTA","Sternhold","2026-07-26T09:52:46.139Z"
"06mk7","5","3","51","C","Kelel Ware","MIL","Pilli","2026-07-26T10:56:17.133Z"
