"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","joberry","2026-07-14T23:00:01.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","FantasyISO","2026-07-14T23:00:02.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Sternhold","2026-07-14T23:00:04.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","GreenPoh","2026-07-14T23:00:05.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Jimco15","2026-07-14T23:04:07.000Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","BadHabits","2026-07-14T23:26:16.000Z"
"001aw","1","7","7","PF","Kevin Durant","HOU","Champion's Path","2026-07-14T23:33:14.000Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","Pilli","2026-07-15T04:56:51.000Z"
"05qug","1","9","9","SG","Anthony Edwards","MIN","jlinebaugh","2026-07-15T04:56:51.000Z"
"05uie","1","10","10","PF","Scottie Barnes","TOR","thibs11","2026-07-15T07:28:30.000Z"
"04ewe","1","11","11","SG","Donovan Mitchell","CLE","Oceanman","2026-07-15T07:28:31.000Z"
"05uiu","1","12","12","SF","Jalen Johnson","ATL","Bucket Getters","2026-07-15T09:15:41.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","Bucket Getters","2026-07-15T09:16:43.000Z"
"03nwm","2","2","14","SG","Devin Booker","PHO","Oceanman","2026-07-15T09:16:44.000Z"
"06ca8","2","3","15","SF","Amen Thompson","HOU","thibs11","2026-07-15T11:58:31.000Z"
"03ad3","2","4","16","C","Karl-Anthony Towns","NY","jlinebaugh","2026-07-15T13:27:37.000Z"
"01enh","2","5","17","PG","Stephen Curry","GS","Pilli","2026-07-15T13:27:37.000Z"
"04qrk","2","6","18","PG","Trae Young","WAS","Champion's Path","2026-07-15T16:46:26.000Z"
"01eo6","2","7","19","PG","James Harden","CLE","BadHabits","2026-07-15T16:46:27.000Z"
"027oz","2","8","20","SF","Kawhi Leonard","LAC","Jimco15","2026-07-15T19:51:06.000Z"
"05qtv","2","9","21","PG","Tyrese Haliburton","IND","GreenPoh","2026-07-15T20:28:07.000Z"
"042n4","2","10","22","PG","Jamal Murray","DEN","Sternhold","2026-07-15T20:36:41.000Z"
"05uus","2","11","23","SG","Austin Reaves","LAL","FantasyISO","2026-07-15T20:43:18.000Z"
"031m2","2","12","24","PF","Giannis Antetokounmpo","MIA","joberry","2026-07-16T02:26:29.000Z"
"05uiq","3","1","25","C","Alperen Sengun","HOU","joberry","2026-07-16T02:31:09.000Z"
"04azw","3","2","26","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-16T03:03:18.000Z"
"02nf1","3","3","27","PF","Anthony Davis","WAS","Sternhold","2026-07-16T05:22:56.000Z"
"06211","3","4","28","C","Chet Holmgren","OKC","GreenPoh","2026-07-16T05:56:45.000Z"
"05uir","3","5","29","SF","Trey Murphy","NO","Jimco15","2026-07-16T09:38:23.000Z"
"05uid","3","6","30","PF","Evan Mobley","CLE","BadHabits","2026-07-16T10:16:38.000Z"
"05qto","3","7","31","PG","LaMelo Ball","MIN","Champion's Path","2026-07-16T12:47:53.000Z"
"05uig","3","8","32","PG","Josh Giddey","CHI","Pilli","2026-07-16T13:10:48.000Z"
"04qsa","3","9","33","PG","Jalen Brunson","NY","jlinebaugh","2026-07-16T13:48:59.000Z"
"04ewt","3","10","34","SG","Derrick White","BOS","thibs11","2026-07-16T13:49:13.000Z"
"03al2","3","11","35","C","Joel Embiid","PHI","Oceanman","2026-07-16T13:49:14.000Z"
"05qtj","3","12","36","SF","Deni Avdija","POR","Bucket Getters","2026-07-16T13:53:35.000Z"
"04ewf","4","1","37","C","Bam Adebayo","MIA","Bucket Getters","2026-07-16T13:54:22.000Z"
"0621b","4","2","38","SG","Jalen Williams","OKC","Oceanman","2026-07-16T17:51:25.000Z"
"04qrj","4","3","39","C","Jaren Jackson","UTA","thibs11","2026-07-16T18:02:43.000Z"
"027oj","4","4","40","SG","Kyrie Irving","DAL","jlinebaugh","2026-07-16T18:46:56.000Z"
"0621c","4","5","41","C","Jalen Duren","DET","Pilli","2026-07-16T19:07:04.000Z"
"06cca","4","6","42","SF","Brandon Miller","CHA","Champion's Path","2026-07-16T20:23:14.000Z"
"05qt3","4","7","43","SG","Desmond Bane","ORL","BadHabits","2026-07-16T23:54:56.000Z"
"051ox","4","8","44","SG","Nickeil Alexander-Walker","ATL","Jimco15","2026-07-17T00:04:18.000Z"
"03lls","4","9","45","SF","Jaylen Brown","PHI","GreenPoh","2026-07-17T00:04:19.000Z"
"06v5n","4","10","46","SF","Kon Knueppel","CHA","Sternhold","2026-07-17T01:14:44.000Z"
