"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","oceansstar","2026-07-22T23:00:01.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Markkowgier","2026-07-22T23:51:36.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","FantasyISO","2026-07-22T23:51:36.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","GreenPoh","2026-07-22T23:51:38.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Son","2026-07-22T23:54:03.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","shuey33","2026-07-23T00:34:44.000Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","SirGladiator","2026-07-23T03:59:00.000Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","epk1993","2026-07-23T04:20:04.000Z"
"06v5l","1","9","9","SF","Cooper Flagg","DAL","danco","2026-07-23T04:20:04.000Z"
"03xmv","1","10","10","PF","Jayson Tatum","BOS","jlinebaugh","2026-07-23T12:20:13.000Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","Sternhold","2026-07-23T20:20:24.000Z"
"05qtv","1","12","12","PG","Tyrese Haliburton","IND","thibs11","2026-07-23T21:27:34.000Z"
"04ewt","2","1","13","SG","Derrick White","BOS","thibs11","2026-07-23T21:27:46.000Z"
"06ca8","2","2","14","SF","Amen Thompson","HOU","Sternhold","2026-07-23T23:00:56.000Z"
"04ewe","2","3","15","SG","Donovan Mitchell","CLE","jlinebaugh","2026-07-23T23:45:50.000Z"
"03ad3","2","4","16","C","Karl-Anthony Towns","NY","danco","2026-07-24T02:23:49.000Z"
"031m2","2","5","17","PF","Giannis Antetokounmpo","MIA","epk1993","2026-07-24T08:00:22.000Z"
"05uiq","2","6","18","C","Alperen Sengun","HOU","SirGladiator","2026-07-24T08:20:03.000Z"
"02nf1","2","7","19","PF","Anthony Davis","WAS","shuey33","2026-07-24T09:45:36.000Z"
"042n4","2","8","20","PG","Jamal Murray","DEN","Son","2026-07-24T14:13:22.000Z"
"001aw","2","9","21","PF","Kevin Durant","HOU","GreenPoh","2026-07-24T18:14:43.000Z"
"05uus","2","10","22","SG","Austin Reaves","LAL","FantasyISO","2026-07-24T18:32:39.000Z"
"01eo6","2","11","23","PG","James Harden","CLE","Markkowgier","2026-07-24T18:33:14.000Z"
"01enh","2","12","24","PG","Stephen Curry","GS","oceansstar","2026-07-24T19:19:56.000Z"
"05qto","3","1","25","PG","LaMelo Ball","MIN","oceansstar","2026-07-24T19:20:25.000Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","Markkowgier","2026-07-24T23:55:54.000Z"
"027oz","3","3","27","SF","Kawhi Leonard","LAC","FantasyISO","2026-07-25T00:00:16.000Z"
"06211","3","4","28","C","Chet Holmgren","OKC","GreenPoh","2026-07-25T00:00:16.000Z"
"04qrk","3","5","29","PG","Trae Young","WAS","Son","2026-07-25T00:01:54.000Z"
"05uig","3","6","30","PG","Josh Giddey","CHI","shuey33","2026-07-25T01:18:22.000Z"
"04qsa","3","7","31","PG","Jalen Brunson","NY","SirGladiator","2026-07-25T03:33:06.000Z"
"04qrj","3","8","32","C","Jaren Jackson","UTA","epk1993","2026-07-25T04:51:31.000Z"
"05uir","3","9","33","SF","Trey Murphy","NO","danco","2026-07-25T05:49:32.000Z"
"05uid","3","10","34","PF","Evan Mobley","CLE","jlinebaugh","2026-07-25T11:15:08.466Z"
"04azw","3","11","35","PF","Lauri Markkanen","UTA","Sternhold","2026-07-25T13:19:02.352Z"
"05qtt","3","12","36","C","Onyeka Okongwu","ATL","thibs11","2026-07-25T13:24:56.677Z"
"05qtj","4","1","37","SF","Deni Avdija","POR","thibs11","2026-07-25T13:24:58.954Z"
"051ox","4","2","38","SG","Nickeil Alexander-Walker","ATL","Sternhold","2026-07-25T21:25:08.617Z"
"06cca","4","3","39","SF","Brandon Miller","CHA","jlinebaugh","2026-07-25T21:34:02.988Z"
"04ewf","4","4","40","C","Bam Adebayo","MIA","danco","2026-07-25T21:34:03.273Z"
"027oj","4","5","41","SG","Kyrie Irving","DAL","epk1993","2026-07-26T02:55:04.250Z"
"06v5n","4","6","42","SF","Kon Knueppel","CHA","SirGladiator","2026-07-26T03:07:00.760Z"
"042n7","4","7","43","C","Domantas Sabonis","SAC","shuey33","2026-07-26T03:46:39.953Z"
"05qt3","4","8","44","SG","Desmond Bane","ORL","Son","2026-07-26T04:11:10.790Z"
"0621b","4","9","45","SG","Jalen Williams","OKC","GreenPoh","2026-07-26T05:21:11.753Z"
"0621l","4","10","46","C","Walker Kessler","LAL","FantasyISO","2026-07-26T05:21:48.036Z"
"03lls","4","11","47","SF","Jaylen Brown","PHI","Markkowgier","2026-07-26T11:56:38.402Z"
"0621c","4","12","48","C","Jalen Duren","DET","oceansstar","2026-07-26T11:56:38.676Z"
"06210","5","1","49","PF","Paolo Banchero","ORL","oceansstar","2026-07-26T12:28:42.496Z"
"051ol","5","2","50","PG","Darius Garland","LAC","Markkowgier","2026-07-26T12:39:10.924Z"
