"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","JustinofNixa","2026-07-09T23:03:43.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Hoobob","2026-07-09T23:03:43.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","alegfrev","2026-07-09T23:03:44.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","Pilli","2026-07-09T23:03:46.000Z"
"05qsq","1","5","5","PG","Tyrese Maxey","PHI","Markkowgier","2026-07-10T07:03:55.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","GreenPoh","2026-07-10T07:03:56.000Z"
"06v5l","1","7","7","SF","Cooper Flagg","DAL","joberry","2026-07-10T07:43:54.000Z"
"05uie","1","8","8","PF","Scottie Barnes","TOR","F Hoops Edge","2026-07-10T08:54:53.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","Anyang","2026-07-10T09:14:03.000Z"
"05qug","1","10","10","SG","Anthony Edwards","MIN","Timbo1","2026-07-10T09:15:16.000Z"
"04ewe","1","11","11","SG","Donovan Mitchell","CLE","bdub","2026-07-10T10:31:21.000Z"
"05uiu","1","12","12","SF","Jalen Johnson","ATL","FehervarVideotoners","2026-07-10T10:33:47.000Z"
"05uiq","2","1","13","C","Alperen Sengun","HOU","FehervarVideotoners","2026-07-10T10:36:31.000Z"
"03ad3","2","2","14","C","Karl-Anthony Towns","NY","bdub","2026-07-10T10:39:23.000Z"
"03xmv","2","3","15","PF","Jayson Tatum","BOS","Timbo1","2026-07-10T10:45:02.000Z"
"001aw","2","4","16","PF","Kevin Durant","HOU","Anyang","2026-07-10T12:20:47.000Z"
"05qtv","2","5","17","PG","Tyrese Haliburton","IND","F Hoops Edge","2026-07-10T16:27:07.000Z"
"06ca8","2","6","18","SF","Amen Thompson","HOU","joberry","2026-07-10T16:28:30.000Z"
"027oz","2","7","19","SF","Kawhi Leonard","LAC","GreenPoh","2026-07-10T17:33:11.000Z"
"01enh","2","8","20","PG","Stephen Curry","GS","Markkowgier","2026-07-10T17:39:41.000Z"
"04qrk","2","9","21","PG","Trae Young","WAS","Pilli","2026-07-10T17:39:42.000Z"
"042n4","2","10","22","PG","Jamal Murray","DEN","alegfrev","2026-07-10T18:15:18.000Z"
"05uus","2","11","23","SG","Austin Reaves","LAL","Hoobob","2026-07-10T21:57:03.000Z"
"01eo6","2","12","24","PG","James Harden","CLE","JustinofNixa","2026-07-10T22:23:12.000Z"
"02nf1","3","1","25","PF","Anthony Davis","WAS","JustinofNixa","2026-07-10T22:26:04.000Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","Hoobob","2026-07-10T22:29:25.000Z"
"06211","3","3","27","C","Chet Holmgren","OKC","alegfrev","2026-07-11T01:16:24.000Z"
"05uig","3","4","28","PG","Josh Giddey","CHI","Pilli","2026-07-11T01:16:24.000Z"
"05qt3","3","5","29","SG","Desmond Bane","ORL","Markkowgier","2026-07-11T01:20:46.000Z"
"05uir","3","6","30","SF","Trey Murphy","NO","GreenPoh","2026-07-11T01:40:55.000Z"
"05uid","3","7","31","PF","Evan Mobley","CLE","joberry","2026-07-11T03:34:57.000Z"
"076vc","3","8","32","PF","Cameron Boozer","MEM","F Hoops Edge","2026-07-11T05:57:41.000Z"
"05qto","3","9","33","PG","LaMelo Ball","MIN","Anyang","2026-07-11T08:51:29.000Z"
"04azw","3","10","34","PF","Lauri Markkanen","UTA","Timbo1","2026-07-11T08:52:48.000Z"
"04qsa","3","11","35","PG","Jalen Brunson","NY","bdub","2026-07-11T12:36:26.000Z"
"04ewt","3","12","36","SG","Derrick White","BOS","FehervarVideotoners","2026-07-11T12:41:52.000Z"
"02xg9","4","1","37","C","Rudy Gobert","MIN","FehervarVideotoners","2026-07-11T12:42:20.000Z"
"04qrj","4","2","38","C","Jaren Jackson","UTA","bdub","2026-07-11T13:22:33.000Z"
"0621l","4","3","39","C","Walker Kessler","LAL","Timbo1","2026-07-11T17:59:40.000Z"
"0621c","4","4","40","C","Jalen Duren","DET","Anyang","2026-07-12T01:45:31.000Z"
"06cby","4","5","41","PG","Keyonte George","UTA","F Hoops Edge","2026-07-12T01:45:31.000Z"
"06v5n","4","6","42","SF","Kon Knueppel","CHA","joberry","2026-07-12T04:22:36.000Z"
"04ewf","4","7","43","C","Bam Adebayo","MIA","GreenPoh","2026-07-12T04:22:37.000Z"
"06mk3","4","8","44","SF","Matas Buzelis","CHI","Markkowgier","2026-07-12T12:22:43.000Z"
"05qtt","4","9","45","C","Onyeka Okongwu","ATL","Pilli","2026-07-12T12:22:45.000Z"
"04qrn","4","10","46","SF","Mikal Bridges","NY","alegfrev","2026-07-12T20:22:56.000Z"
"06cca","4","11","47","SF","Brandon Miller","CHA","Hoobob","2026-07-12T21:08:30.000Z"
"042n7","4","12","48","C","Domantas Sabonis","SAC","JustinofNixa","2026-07-12T21:39:51.000Z"
"042nm","5","1","49","PF","Pascal Siakam","IND","JustinofNixa","2026-07-12T21:39:57.000Z"
"06210","5","2","50","PF","Paolo Banchero","ORL","Hoobob","2026-07-12T21:52:38.000Z"
"03lls","5","3","51","SF","Jaylen Brown","PHI","alegfrev","2026-07-12T23:15:01.000Z"
"06mk7","5","4","52","C","Kelel Ware","MIL","Pilli","2026-07-12T23:24:04.000Z"
"06mjz","5","5","53","C","Donovan Clingan","POR","Markkowgier","2026-07-12T23:38:23.000Z"
"0011e","5","6","54","SF","LeBron James","PHI","GreenPoh","2026-07-12T23:38:23.000Z"
"03al2","5","7","55","C","Joel Embiid","PHI","joberry","2026-07-13T03:08:03.000Z"
"05qtj","5","8","56","SF","Deni Avdija","POR","F Hoops Edge","2026-07-13T03:36:16.000Z"
"0621b","5","9","57","SG","Jalen Williams","OKC","Anyang","2026-07-13T10:58:37.000Z"
"05uii","5","10","58","SF","Franz Wagner","ORL","Timbo1","2026-07-13T10:58:57.000Z"
"03ajv","5","11","59","PF","Julius Randle","BKN","bdub","2026-07-13T11:27:50.000Z"
"051ox","5","12","60","SG","Nickeil Alexander-Walker","ATL","FehervarVideotoners","2026-07-13T12:06:11.000Z"
"06mju","6","1","61","C","Alex Sarr","WAS","FehervarVideotoners","2026-07-13T12:10:09.000Z"
"051ot","6","2","62","SG","Tyler Herro","MIL","bdub","2026-07-13T12:10:09.000Z"
"051ol","6","3","63","PG","Darius Garland","LAC","Timbo1","2026-07-13T12:10:11.000Z"
"027oj","6","4","64","SG","Kyrie Irving","DAL","Anyang","2026-07-13T17:09:55.000Z"
"04ewn","6","5","65","PF","OG Anunoby","NY","F Hoops Edge","2026-07-13T17:09:56.000Z"
"042nq","6","6","66","PG","Dejounte Murray","NO","joberry","2026-07-13T17:12:03.000Z"
"06227","6","7","67","PG","Ryan Rollins","MIL","GreenPoh","2026-07-13T19:38:03.000Z"
"05qu0","6","8","68","PF","Jaden McDaniels","MIN","Markkowgier","2026-07-13T21:38:39.000Z"
"04qrr","6","9","69","SF","Michael Porter","BKN","Pilli","2026-07-13T21:38:39.000Z"
"06217","6","10","70","SG","Dyson Daniels","ATL","alegfrev","2026-07-14T01:37:06.000Z"
"042nt","6","11","71","C","Ivica Zubac","IND","Hoobob","2026-07-14T03:54:26.000Z"
"05qu9","6","12","72","PG","Immanuel Quickley","TOR","JustinofNixa","2026-07-14T11:54:32.000Z"
"01uyj","7","1","73","PF","Paul George","BOS","JustinofNixa","2026-07-14T12:58:34.000Z"
"0527h","7","2","74","C","Naz Reid","CHA","Hoobob","2026-07-14T13:05:43.000Z"
"03ad2","7","3","75","C","Myles Turner","MIL","alegfrev","2026-07-14T16:00:20.000Z"
"042n1","7","4","76","SF","Brandon Ingram","TOR","Pilli","2026-07-14T16:00:20.000Z"
"06v5k","7","5","77","SG","VJ Edgecombe","PHI","Markkowgier","2026-07-14T19:14:15.000Z"
"06mjw","7","6","78","PG","Stephon Castle","SA","GreenPoh","2026-07-14T20:33:01.000Z"
"04ewm","7","7","79","C","Jarrett Allen","CLE","joberry","2026-07-14T22:46:20.000Z"
"06mk1","7","8","80","C","Zach Edey","MEM","F Hoops Edge","2026-07-15T03:43:54.000Z"
"03r7z","7","9","81","SG","Norman Powell","CHI","Anyang","2026-07-15T11:44:00.000Z"
"05qt1","7","10","82","PG","Payton Pritchard","BOS","Timbo1","2026-07-15T11:44:02.000Z"
"049kb","7","11","83","PG","DeAaron Fox","SA","bdub","2026-07-15T11:44:35.000Z"
"05ujc","7","12","84","SG","Ayo Dosunmu","MIN","FehervarVideotoners","2026-07-15T13:20:27.000Z"
"051on","8","1","85","SG","Coby White","CHA","FehervarVideotoners","2026-07-15T13:21:57.000Z"
"051oi","8","2","86","PG","Ja Morant","POR","bdub","2026-07-15T21:08:27.000Z"
"051oh","8","3","87","PF","Zion Williamson","NO","Timbo1","2026-07-15T21:11:25.000Z"
"06ccf","8","4","88","SF","Ausar Thompson","DET","Anyang","2026-07-16T03:19:28.000Z"
"06v5y","8","5","89","SG","Dylan Harper","SA","F Hoops Edge","2026-07-16T04:25:05.000Z"
"076t0","8","6","90","PF","Caleb Wilson","CHI","joberry","2026-07-16T04:37:31.000Z"
"05uif","8","7","91","PG","Jalen Suggs","ORL","GreenPoh","2026-07-16T06:11:02.000Z"
"06v5a","8","8","92","PF","Collin Murray-Boyles","TOR","Markkowgier","2026-07-16T12:11:01.000Z"
"051pb","8","9","93","C","Nicolas Claxton","CHI","Pilli","2026-07-16T12:11:01.000Z"
"02ym0","8","10","94","SF","Andrew Wiggins","MIA","alegfrev","2026-07-16T13:30:20.000Z"
"02nf6","8","11","95","PG","Damian Lillard","POR","Hoobob","2026-07-16T13:36:50.000Z"
"076ta","8","12","96","SF","AJ Dybantsa","WAS","JustinofNixa","2026-07-16T13:59:49.000Z"
"05uj3","9","1","97","C","DayRon Sharpe","BKN","JustinofNixa","2026-07-16T14:00:19.000Z"
"04ex6","9","2","98","C","Isaiah Hartenstein","OKC","Hoobob","2026-07-16T14:05:45.000Z"
"06cd4","9","3","99","PF","Toumani Camara","POR","alegfrev","2026-07-16T14:15:06.000Z"
"04qrp","9","4","100","SF","Miles Bridges","PHO","Pilli","2026-07-16T14:17:00.000Z"
"0621t","9","5","101","SF","Peyton Watson","DEN","Markkowgier","2026-07-16T14:59:19.000Z"
"0621e","9","6","102","C","Mark Williams","PHO","GreenPoh","2026-07-16T15:03:46.000Z"
"04ewu","9","7","103","SG","Josh Hart","NY","joberry","2026-07-16T15:38:41.000Z"
"06v5h","9","8","104","C","Derik Queen","NO","F Hoops Edge","2026-07-16T16:15:25.000Z"
"031lx","9","9","105","PG","CJ McCollum","ATL","Anyang","2026-07-16T20:47:51.000Z"
"03el5","9","10","106","C","Kristaps Porzingis","GS","Timbo1","2026-07-16T20:48:23.000Z"
"06212","9","11","107","PF","Jabari Smith","HOU","bdub","2026-07-16T23:31:48.000Z"
"051os","9","12","108","PF","P.J. Washington","DAL","FehervarVideotoners","2026-07-17T00:22:03.000Z"
"05qt0","10","1","109","SF","Saddiq Bey","NO","FehervarVideotoners","2026-07-17T00:23:45.000Z"
"06mjv","10","2","110","PG","Reed Sheppard","HOU","bdub","2026-07-17T00:50:04.000Z"
"05uic","10","3","111","SG","Jalen Green","PHO","Timbo1","2026-07-17T00:50:54.000Z"
"03e6n","10","4","112","C","Jusuf Nurkic","UTA","Anyang","2026-07-17T04:26:02.000Z"
