"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Oceanman","2026-07-10T23:00:03.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","FantasyISO","2026-07-10T23:00:04.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","MikeRame","2026-07-10T23:00:06.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","danco","2026-07-11T04:14:20.000Z"
"05uie","1","5","5","PF","Scottie Barnes","TOR","thibs11","2026-07-11T04:14:20.000Z"
"05uib","1","6","6","PG","Cade Cunningham","DET","Spryte","2026-07-11T04:33:04.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","boldest19","2026-07-11T05:08:03.000Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","Pilli","2026-07-11T05:08:04.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","Anyang","2026-07-11T05:08:05.000Z"
"05qtv","1","10","10","PG","Tyrese Haliburton","IND","Son","2026-07-11T11:24:06.000Z"
"04ewe","1","11","11","SG","Donovan Mitchell","CLE","Sternhold","2026-07-11T11:24:06.000Z"
"01enh","1","12","12","PG","Stephen Curry","GS","Timbo1","2026-07-11T11:25:38.000Z"
"03xmv","2","1","13","PF","Jayson Tatum","BOS","Timbo1","2026-07-11T11:25:42.000Z"
"05qug","2","2","14","SG","Anthony Edwards","MIN","Sternhold","2026-07-11T12:11:33.000Z"
"06v5l","2","3","15","SF","Cooper Flagg","DAL","Son","2026-07-11T13:30:21.000Z"
"06ca8","2","4","16","SF","Amen Thompson","HOU","Anyang","2026-07-11T14:58:31.000Z"
"03ad3","2","5","17","C","Karl-Anthony Towns","NY","Pilli","2026-07-11T18:37:39.000Z"
"042n4","2","6","18","PG","Jamal Murray","DEN","boldest19","2026-07-11T18:42:37.000Z"
"001aw","2","7","19","PF","Kevin Durant","HOU","Spryte","2026-07-11T18:56:23.000Z"
"04ewt","2","8","20","SG","Derrick White","BOS","thibs11","2026-07-11T22:23:09.000Z"
"05uus","2","9","21","SG","Austin Reaves","LAL","danco","2026-07-12T00:45:15.000Z"
"05qto","2","10","22","PG","LaMelo Ball","MIN","MikeRame","2026-07-12T06:47:35.000Z"
"05uir","2","11","23","SF","Trey Murphy","NO","FantasyISO","2026-07-12T07:20:17.000Z"
"01eo6","2","12","24","PG","James Harden","CLE","Oceanman","2026-07-12T07:20:17.000Z"
"05uid","3","1","25","PF","Evan Mobley","CLE","Oceanman","2026-07-12T07:20:19.000Z"
"04azw","3","2","26","PF","Lauri Markkanen","UTA","FantasyISO","2026-07-12T07:20:33.000Z"
"05qtj","3","3","27","SF","Deni Avdija","POR","MikeRame","2026-07-12T07:24:33.000Z"
"06211","3","4","28","C","Chet Holmgren","OKC","danco","2026-07-12T08:32:00.000Z"
"05uig","3","5","29","PG","Josh Giddey","CHI","thibs11","2026-07-12T08:35:52.000Z"
"04qrk","3","6","30","PG","Trae Young","WAS","Spryte","2026-07-12T09:27:33.000Z"
"03nwm","3","7","31","SG","Devin Booker","PHO","boldest19","2026-07-12T13:24:42.000Z"
"05uiq","3","8","32","C","Alperen Sengun","HOU","Pilli","2026-07-12T13:33:42.000Z"
"027oz","3","9","33","SF","Kawhi Leonard","LAC","Anyang","2026-07-12T16:51:02.000Z"
"051ox","3","10","34","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-12T18:03:12.000Z"
"04qrj","3","11","35","C","Jaren Jackson","UTA","Sternhold","2026-07-12T19:19:13.000Z"
"03al2","3","12","36","C","Joel Embiid","PHI","Timbo1","2026-07-12T19:19:45.000Z"
"0621l","4","1","37","C","Walker Kessler","LAL","Timbo1","2026-07-12T19:19:47.000Z"
"06cca","4","2","38","SF","Brandon Miller","CHA","Sternhold","2026-07-12T19:20:46.000Z"
"05qtt","4","3","39","C","Onyeka Okongwu","ATL","Son","2026-07-12T19:24:12.000Z"
"02nf1","4","4","40","PF","Anthony Davis","WAS","Anyang","2026-07-13T00:16:45.000Z"
"05qt3","4","5","41","SG","Desmond Bane","ORL","Pilli","2026-07-13T00:16:46.000Z"
"0621c","4","6","42","C","Jalen Duren","DET","boldest19","2026-07-13T00:20:31.000Z"
"06cby","4","7","43","PG","Keyonte George","UTA","Spryte","2026-07-13T06:08:27.000Z"
"06mk3","4","8","44","SF","Matas Buzelis","CHI","thibs11","2026-07-13T08:26:07.000Z"
"03lls","4","9","45","SF","Jaylen Brown","PHI","danco","2026-07-13T08:27:29.000Z"
"04ewf","4","10","46","C","Bam Adebayo","MIA","MikeRame","2026-07-13T09:37:58.000Z"
