"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","Oceanman","2026-07-20T23:00:02.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","sanj156","2026-07-20T23:00:04.000Z"
"04kj6","1","3","3","PG","Luka Doncic","LAL","Luka Magic","2026-07-20T23:00:32.000Z"
"04qro","1","4","4","PG","Shai Gilgeous-Alexander","OKC","JDUB13","2026-07-20T23:00:33.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","Sternhold","2026-07-20T23:00:35.000Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","Hoobob","2026-07-21T01:16:29.000Z"
"05qsq","1","7","7","PG","Tyrese Maxey","PHI","Pilli","2026-07-21T01:16:29.000Z"
"05uiu","1","8","8","SF","Jalen Johnson","ATL","Anyang","2026-07-21T03:09:23.000Z"
"04ewe","1","9","9","SG","Donovan Mitchell","CLE","Son","2026-07-21T03:21:35.000Z"
"05qtv","1","10","10","PG","Tyrese Haliburton","IND","shuey33","2026-07-21T03:21:57.000Z"
"031m2","1","11","11","PF","Giannis Antetokounmpo","MIA","keenet","2026-07-21T04:19:27.000Z"
"05qug","1","12","12","SG","Anthony Edwards","MIN","Dmor7","2026-07-21T04:58:09.000Z"
"06v5l","2","1","13","SF","Cooper Flagg","DAL","Dmor7","2026-07-21T04:58:43.000Z"
"05uie","2","2","14","PF","Scottie Barnes","TOR","keenet","2026-07-21T04:59:18.000Z"
"01enh","2","3","15","PG","Stephen Curry","GS","shuey33","2026-07-21T11:31:38.000Z"
"05uiq","2","4","16","C","Alperen Sengun","HOU","Son","2026-07-21T14:04:14.000Z"
"042n4","2","5","17","PG","Jamal Murray","DEN","Anyang","2026-07-21T17:54:35.000Z"
"03ad3","2","6","18","C","Karl-Anthony Towns","NY","Pilli","2026-07-21T18:21:34.000Z"
"001aw","2","7","19","PF","Kevin Durant","HOU","Hoobob","2026-07-21T21:50:25.000Z"
"05qto","2","8","20","PG","LaMelo Ball","MIN","Sternhold","2026-07-21T21:52:13.000Z"
"04qrk","2","9","21","PG","Trae Young","WAS","JDUB13","2026-07-21T23:40:05.000Z"
"01eo6","2","10","22","PG","James Harden","CLE","Luka Magic","2026-07-21T23:55:39.000Z"
"05uus","2","11","23","SG","Austin Reaves","LAL","sanj156","2026-07-22T00:18:36.000Z"
"06ca8","2","12","24","SF","Amen Thompson","HOU","Oceanman","2026-07-22T00:18:36.000Z"
"05uid","3","1","25","PF","Evan Mobley","CLE","Oceanman","2026-07-22T00:18:38.000Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","sanj156","2026-07-22T00:53:10.000Z"
"05uig","3","3","27","PG","Josh Giddey","CHI","Luka Magic","2026-07-22T00:54:58.000Z"
"06211","3","4","28","C","Chet Holmgren","OKC","JDUB13","2026-07-22T01:54:06.000Z"
"027oz","3","5","29","SF","Kawhi Leonard","LAC","Sternhold","2026-07-22T05:26:20.000Z"
"05uir","3","6","30","SF","Trey Murphy","NO","Hoobob","2026-07-22T07:57:44.000Z"
"04azw","3","7","31","PF","Lauri Markkanen","UTA","Pilli","2026-07-22T08:20:32.000Z"
"0621b","3","8","32","SG","Jalen Williams","OKC","Anyang","2026-07-22T15:27:46.000Z"
"04qsa","3","9","33","PG","Jalen Brunson","NY","Son","2026-07-22T15:57:56.000Z"
"02nf1","3","10","34","PF","Anthony Davis","WAS","shuey33","2026-07-22T18:19:28.000Z"
"06217","3","11","35","SG","Dyson Daniels","ATL","keenet","2026-07-22T18:54:12.000Z"
"04ewf","3","12","36","C","Bam Adebayo","MIA","Dmor7","2026-07-22T20:16:24.000Z"
"04qrj","4","1","37","C","Jaren Jackson","UTA","Dmor7","2026-07-22T20:32:05.000Z"
"06210","4","2","38","PF","Paolo Banchero","ORL","keenet","2026-07-22T20:34:11.000Z"
"042n7","4","3","39","C","Domantas Sabonis","SAC","shuey33","2026-07-22T20:57:10.000Z"
"051ox","4","4","40","SG","Nickeil Alexander-Walker","ATL","Son","2026-07-22T21:19:58.000Z"
"06mjw","4","5","41","PG","Stephon Castle","SA","Anyang","2026-07-23T03:25:24.000Z"
"03lls","4","6","42","SF","Jaylen Brown","PHI","Pilli","2026-07-23T03:25:24.000Z"
"05qtj","4","7","43","SF","Deni Avdija","POR","Hoobob","2026-07-23T04:49:30.000Z"
"0621l","4","8","44","C","Walker Kessler","LAL","Sternhold","2026-07-23T07:13:17.000Z"
"06v5n","4","9","45","SF","Kon Knueppel","CHA","JDUB13","2026-07-23T07:13:17.000Z"
"04ewt","4","10","46","SG","Derrick White","BOS","Luka Magic","2026-07-23T11:42:44.000Z"
"0621c","4","11","47","C","Jalen Duren","DET","sanj156","2026-07-23T11:52:44.000Z"
"051ol","4","12","48","PG","Darius Garland","LAC","Oceanman","2026-07-23T11:52:45.000Z"
"06ccf","5","1","49","SF","Ausar Thompson","DET","Oceanman","2026-07-23T11:52:46.000Z"
"05uii","5","2","50","SF","Franz Wagner","ORL","sanj156","2026-07-23T11:53:16.000Z"
"0011e","5","3","51","SF","LeBron James","PHI","Luka Magic","2026-07-23T11:53:50.000Z"
"042nm","5","4","52","PF","Pascal Siakam","IND","JDUB13","2026-07-23T12:36:09.000Z"
"027oj","5","5","53","SG","Kyrie Irving","DAL","Sternhold","2026-07-23T12:38:03.000Z"
"06cca","5","6","54","SF","Brandon Miller","CHA","Hoobob","2026-07-23T12:43:53.000Z"
"05qt3","5","7","55","SG","Desmond Bane","ORL","Pilli","2026-07-23T12:43:54.000Z"
"06mjz","5","8","56","C","Donovan Clingan","POR","Anyang","2026-07-23T17:30:03.000Z"
"042nq","5","9","57","PG","Dejounte Murray","NO","Son","2026-07-23T20:20:42.000Z"
"04qrr","5","10","58","SF","Michael Porter","BKN","shuey33","2026-07-23T21:15:46.000Z"
"06mju","5","11","59","C","Alex Sarr","WAS","keenet","2026-07-23T21:56:09.000Z"
"076vc","5","12","60","PF","Cameron Boozer","MEM","Dmor7","2026-07-23T23:28:19.000Z"
"06227","6","1","61","PG","Ryan Rollins","MIL","Dmor7","2026-07-23T23:30:03.000Z"
"051oh","6","2","62","PF","Zion Williamson","NO","keenet","2026-07-24T03:33:38.000Z"
"06mk3","6","3","63","SF","Matas Buzelis","CHI","shuey33","2026-07-24T03:35:11.000Z"
"051p4","6","4","64","SG","Ty Jerome","MEM","Son","2026-07-24T03:51:19.000Z"
"04ewn","6","5","65","PF","OG Anunoby","NY","Anyang","2026-07-24T07:51:51.000Z"
"05qu9","6","6","66","PG","Immanuel Quickley","TOR","Pilli","2026-07-24T07:57:55.000Z"
"06mk7","6","7","67","C","Kelel Ware","MIL","Hoobob","2026-07-24T08:01:38.000Z"
"01uyj","6","8","68","PF","Paul George","BOS","Sternhold","2026-07-24T08:05:32.000Z"
"049kb","6","9","69","PG","DeAaron Fox","SA","JDUB13","2026-07-24T12:36:54.000Z"
"03al2","6","10","70","C","Joel Embiid","PHI","Luka Magic","2026-07-24T13:25:57.000Z"
"06cby","6","11","71","PG","Keyonte George","UTA","sanj156","2026-07-24T13:47:24.000Z"
"04qrn","6","12","72","SF","Mikal Bridges","NY","Oceanman","2026-07-24T13:47:25.000Z"
"02xg9","7","1","73","C","Rudy Gobert","MIN","Oceanman","2026-07-24T13:47:27.000Z"
"042n1","7","2","74","SF","Brandon Ingram","TOR","sanj156","2026-07-24T13:51:28.000Z"
"06mk1","7","3","75","C","Zach Edey","MEM","Luka Magic","2026-07-24T13:56:18.000Z"
"03ajv","7","4","76","PF","Julius Randle","BKN","JDUB13","2026-07-24T20:26:52.000Z"
"05qtt","7","5","77","C","Onyeka Okongwu","ATL","Sternhold","2026-07-25T04:27:10.000Z"
"03ad2","7","6","78","C","Myles Turner","MIL","Hoobob","2026-07-25T04:42:01.000Z"
"051ot","7","7","79","SG","Tyler Herro","MIL","Pilli","2026-07-25T05:20:19.000Z"
"05uif","7","8","80","PG","Jalen Suggs","ORL","Anyang","2026-07-25T13:02:36.635Z"
"042nt","7","9","81","C","Ivica Zubac","IND","Son","2026-07-25T13:58:13.732Z"
