"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"03e75","1","1","1","C","Nikola Jokic","DEN","boldest19","2026-07-22T23:12:31.000Z"
"06cch","1","2","2","C","Victor Wembanyama","SA","Tankerbell","2026-07-22T23:12:31.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","thibs11","2026-07-22T23:12:33.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","FantasyISO","2026-07-22T23:13:48.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","BIGPURPLEANDGOLD","2026-07-22T23:14:39.000Z"
"03xmv","1","6","6","PF","Jayson Tatum","BOS","WarnerG","2026-07-22T23:15:19.000Z"
"05uiu","1","7","7","SF","Jalen Johnson","ATL","joberry","2026-07-23T04:07:52.000Z"
"05qsq","1","8","8","PG","Tyrese Maxey","PHI","Sternhold","2026-07-23T04:07:53.000Z"
"05qtv","1","9","9","PG","Tyrese Haliburton","IND","Son","2026-07-23T04:10:10.000Z"
"05uie","1","10","10","PF","Scottie Barnes","TOR","Markkowgier","2026-07-23T11:56:50.000Z"
"06v5l","1","11","11","SF","Cooper Flagg","DAL","Pilli","2026-07-23T11:56:50.000Z"
"05qug","1","12","12","SG","Anthony Edwards","MIN","Jimco15","2026-07-23T12:18:27.000Z"
"06ca8","2","1","13","SF","Amen Thompson","HOU","Jimco15","2026-07-23T12:18:52.000Z"
"01enh","2","2","14","PG","Stephen Curry","GS","Pilli","2026-07-23T12:30:28.000Z"
"05qto","2","3","15","PG","LaMelo Ball","MIN","Markkowgier","2026-07-23T12:50:44.000Z"
"001aw","2","4","16","PF","Kevin Durant","HOU","Son","2026-07-23T14:32:00.000Z"
"04ewe","2","5","17","SG","Donovan Mitchell","CLE","Sternhold","2026-07-23T22:32:10.000Z"
"031m2","2","6","18","PF","Giannis Antetokounmpo","MIA","joberry","2026-07-24T02:32:57.000Z"
"03ad3","2","7","19","C","Karl-Anthony Towns","NY","WarnerG","2026-07-24T02:34:31.000Z"
"04qrk","2","8","20","PG","Trae Young","WAS","BIGPURPLEANDGOLD","2026-07-24T02:57:06.000Z"
"042n4","2","9","21","PG","Jamal Murray","DEN","FantasyISO","2026-07-24T03:37:01.000Z"
"02nf1","2","10","22","PF","Anthony Davis","WAS","thibs11","2026-07-24T08:23:40.000Z"
"05uus","2","11","23","SG","Austin Reaves","LAL","Tankerbell","2026-07-24T10:36:18.000Z"
"05uiq","2","12","24","C","Alperen Sengun","HOU","boldest19","2026-07-24T15:55:26.000Z"
"05qtt","3","1","25","C","Onyeka Okongwu","ATL","boldest19","2026-07-24T15:57:29.000Z"
"03nwm","3","2","26","SG","Devin Booker","PHO","Tankerbell","2026-07-24T15:57:29.000Z"
"04azw","3","3","27","PF","Lauri Markkanen","UTA","thibs11","2026-07-24T16:04:47.000Z"
"027oz","3","4","28","SF","Kawhi Leonard","LAC","FantasyISO","2026-07-24T18:25:02.000Z"
"01eo6","3","5","29","PG","James Harden","CLE","BIGPURPLEANDGOLD","2026-07-24T19:11:47.000Z"
"06211","3","6","30","C","Chet Holmgren","OKC","WarnerG","2026-07-25T00:10:01.000Z"
"04qsa","3","7","31","PG","Jalen Brunson","NY","joberry","2026-07-25T03:36:46.000Z"
"05uid","3","8","32","PF","Evan Mobley","CLE","Sternhold","2026-07-25T08:37:09.000Z"
"04ewt","3","9","33","SG","Derrick White","BOS","Son","2026-07-25T09:54:19.201Z"
"05uig","3","10","34","PG","Josh Giddey","CHI","Markkowgier","2026-07-25T12:56:19.875Z"
"05uir","3","11","35","SF","Trey Murphy","NO","Pilli","2026-07-25T13:10:36.938Z"
"05qtj","3","12","36","SF","Deni Avdija","POR","Jimco15","2026-07-25T14:10:49.261Z"
"042nq","4","1","37","PG","Dejounte Murray","NO","Jimco15","2026-07-25T14:10:55.555Z"
"0621b","4","2","38","SG","Jalen Williams","OKC","Pilli","2026-07-25T14:13:31.850Z"
"06v5n","4","3","39","SF","Kon Knueppel","CHA","Markkowgier","2026-07-25T17:21:10.916Z"
"06mk3","4","4","40","SF","Matas Buzelis","CHI","Son","2026-07-25T17:35:33.767Z"
"051ox","4","5","41","SG","Nickeil Alexander-Walker","ATL","Sternhold","2026-07-25T18:07:22.620Z"
"051ol","4","6","42","PG","Darius Garland","LAC","joberry","2026-07-25T18:09:54.930Z"
"042n7","4","7","43","C","Domantas Sabonis","SAC","WarnerG","2026-07-26T02:10:07.812Z"
"04ewf","4","8","44","C","Bam Adebayo","MIA","BIGPURPLEANDGOLD","2026-07-26T02:11:29.390Z"
"0621l","4","9","45","C","Walker Kessler","LAL","FantasyISO","2026-07-26T05:08:45.063Z"
"05qt3","4","10","46","SG","Desmond Bane","ORL","thibs11","2026-07-26T08:38:00.353Z"
"04qrj","4","11","47","C","Jaren Jackson","UTA","Tankerbell","2026-07-26T10:18:55.726Z"
"04qrn","4","12","48","SF","Mikal Bridges","NY","boldest19","2026-07-26T13:36:42.562Z"
"03lls","5","1","49","SF","Jaylen Brown","PHI","boldest19","2026-07-26T13:36:46.836Z"
"0011e","5","2","50","SF","LeBron James","PHI","Tankerbell","2026-07-26T13:36:47.113Z"
"06mjz","5","3","51","C","Donovan Clingan","POR","thibs11","2026-07-26T14:45:26.471Z"
"04ewn","5","4","52","PF","OG Anunoby","NY","FantasyISO","2026-07-26T15:02:03.170Z"
