"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"06cch","1","1","1","C","Victor Wembanyama","SA","boldest19","2026-07-17T01:08:32.000Z"
"03e75","1","2","2","C","Nikola Jokic","DEN","Son","2026-07-17T01:20:40.000Z"
"04qro","1","3","3","PG","Shai Gilgeous-Alexander","OKC","Sternhold","2026-07-17T01:20:40.000Z"
"04kj6","1","4","4","PG","Luka Doncic","LAL","thibs11","2026-07-17T01:20:42.000Z"
"05uib","1","5","5","PG","Cade Cunningham","DET","BIGPURPLEANDGOLD","2026-07-17T01:49:16.000Z"
"05qsq","1","6","6","PG","Tyrese Maxey","PHI","danco","2026-07-17T04:44:23.000Z"
"05qug","1","7","7","SG","Anthony Edwards","MIN","starks43","2026-07-17T04:44:24.000Z"
"03xmv","1","8","8","PF","Jayson Tatum","BOS","Bridgeburners","2026-07-17T05:14:43.000Z"
"031m2","1","9","9","PF","Giannis Antetokounmpo","MIA","shuey33","2026-07-17T11:34:51.000Z"
"06v5l","1","10","10","SF","Cooper Flagg","DAL","FantasyISO","2026-07-17T11:35:42.000Z"
"05uie","1","11","11","PF","Scottie Barnes","TOR","Oceanman","2026-07-17T11:35:42.000Z"
"05uiu","1","12","12","SF","Jalen Johnson","ATL","Chilling Reign","2026-07-17T14:58:52.000Z"
"05qtv","2","1","13","PG","Tyrese Haliburton","IND","Chilling Reign","2026-07-17T14:58:55.000Z"
"04ewe","2","2","14","SG","Donovan Mitchell","CLE","Oceanman","2026-07-17T14:58:55.000Z"
"03ad3","2","3","15","C","Karl-Anthony Towns","NY","FantasyISO","2026-07-17T15:06:03.000Z"
"04qrk","2","4","16","PG","Trae Young","WAS","shuey33","2026-07-17T15:14:31.000Z"
"001aw","2","5","17","PF","Kevin Durant","HOU","Bridgeburners","2026-07-17T15:20:19.000Z"
"01enh","2","6","18","PG","Stephen Curry","GS","starks43","2026-07-17T15:25:58.000Z"
"042n4","2","7","19","PG","Jamal Murray","DEN","danco","2026-07-17T15:26:34.000Z"
