"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*06cch*",1,1,1,"C","Victor Wembanyama","SA","thibs11","Jul 14, 2026 1:00:04"
"*03e75*",1,2,2,"C","Nikola Jokic","DEN","Son","Jul 14, 2026 1:03:39"
"*04kj6*",1,3,3,"PG","Luka Doncic","LAL","Hoobob","Jul 14, 2026 1:03:40"
"*04qro*",1,4,4,"PG","Shai Gilgeous-Alexander","OKC","JDUB13","Jul 14, 2026 1:17:18"
"*05uib*",1,5,5,"PG","Cade Cunningham","DET","GreenPoh","Jul 14, 2026 1:17:21"
"*05uiu*",1,6,6,"SF","Jalen Johnson","ATL","boldest19","Jul 14, 2026 1:43:58"
"*05qug*",1,7,7,"SG","Anthony Edwards","MIN","starks43","Jul 14, 2026 4:56:53"
"*05uie*",1,8,8,"PF","Scottie Barnes","TOR","Oceanman","Jul 14, 2026 4:56:53"
"*05qsq*",1,9,9,"PG","Tyrese Maxey","PHI","FantasyISO","Jul 14, 2026 5:53:22"
"*04ewe*",1,10,10,"SG","Donovan Mitchell","CLE","La Onda","Jul 14, 2026 5:56:54"
"*06v5l*",1,11,11,"SF","Cooper Flagg","DAL","cookie the wookiee","Jul 14, 2026 6:18:25"
"*031m2*",1,12,12,"PF","Giannis Antetokounmpo","MIA","Timbo1","Jul 14, 2026 6:51:53"
"*03xmv*",2,1,13,"PF","Jayson Tatum","BOS","Timbo1","Jul 14, 2026 6:52:04"
"*05qtv*",2,2,14,"PG","Tyrese Haliburton","IND","cookie the wookiee","Jul 14, 2026 7:19:54"
"*042n4*",2,3,15,"PG","Jamal Murray","DEN","La Onda","Jul 14, 2026 10:34:17"
"*03ad3*",2,4,16,"C","Karl-Anthony Towns","NY","FantasyISO","Jul 14, 2026 10:36:29"
"*05qto*",2,5,17,"PG","LaMelo Ball","MIN","Oceanman","Jul 14, 2026 10:36:29"
"*06211*",2,6,18,"C","Chet Holmgren","OKC","starks43","Jul 14, 2026 1:36:35"
"*05uiq*",2,7,19,"C","Alperen Sengun","HOU","boldest19","Jul 14, 2026 4:11:49"
"*01enh*",2,8,20,"PG","Stephen Curry","GS","GreenPoh","Jul 14, 2026 4:11:49"
"*06ca8*",2,9,21,"SF","Amen Thompson","HOU","JDUB13","Jul 14, 2026 6:59:27"
"*04ewt*",2,10,22,"SG","Derrick White","BOS","Hoobob","Jul 15, 2026 2:59:33"
"*001aw*",2,11,23,"PF","Kevin Durant","HOU","Son","Jul 15, 2026 3:01:00"
"*05uig*",2,12,24,"PG","Josh Giddey","CHI","thibs11","Jul 15, 2026 3:01:00"
"*03nwm*",3,1,25,"SG","Devin Booker","PHO","thibs11","Jul 15, 2026 9:26:54"
"*04qsa*",3,2,26,"PG","Jalen Brunson","NY","Son","Jul 15, 2026 2:35:29"
"*04qrk*",3,3,27,"PG","Trae Young","WAS","Hoobob","Jul 15, 2026 2:40:49"
"*01eo6*",3,4,28,"PG","James Harden","CLE","JDUB13","Jul 15, 2026 4:56:19"
"*027oz*",3,5,29,"SF","Kawhi Leonard","LAC","GreenPoh","Jul 15, 2026 7:14:19"
"*05uid*",3,6,30,"PF","Evan Mobley","CLE","boldest19","Jul 15, 2026 9:25:27"
"*05uir*",3,7,31,"SF","Trey Murphy","NO","starks43","Jul 15, 2026 10:45:43"
"*0621b*",3,8,32,"SG","Jalen Williams","OKC","Oceanman","Jul 15, 2026 10:45:43"
"*05uus*",3,9,33,"SG","Austin Reaves","LAL","FantasyISO","Jul 15, 2026 10:46:41"
"*042n7*",3,10,34,"C","Domantas Sabonis","SAC","La Onda","Jul 16, 2026 12:52:01"
"*06cca*",3,11,35,"SF","Brandon Miller","CHA","cookie the wookiee","Jul 16, 2026 12:52:01"
"*02nf1*",3,12,36,"PF","Anthony Davis","WAS","Timbo1","Jul 16, 2026 1:00:25"
"*0621l*",4,1,37,"C","Walker Kessler","LAL","Timbo1","Jul 16, 2026 1:00:41"
"*06v5n*",4,2,38,"SF","Kon Knueppel","CHA","cookie the wookiee","Jul 16, 2026 1:05:59"
"*051ol*",4,3,39,"PG","Darius Garland","LAC","La Onda","Jul 16, 2026 1:40:10"
"*04azw*",4,4,40,"PF","Lauri Markkanen","UTA","FantasyISO","Jul 16, 2026 5:01:37"
"*03al2*",4,5,41,"C","Joel Embiid","PHI","Oceanman","Jul 16, 2026 5:01:37"
"*03lls*",4,6,42,"SF","Jaylen Brown","PHI","starks43","Jul 16, 2026 5:04:31"
"*06mjw*",4,7,43,"PG","Stephon Castle","SA","boldest19","Jul 16, 2026 5:23:10"
"*0621c*",4,8,44,"C","Jalen Duren","DET","GreenPoh","Jul 16, 2026 8:01:36"
"*04ewf*",4,9,45,"C","Bam Adebayo","MIA","JDUB13","Jul 16, 2026 8:01:36"
"*05qtj*",4,10,46,"SF","Deni Avdija","POR","Hoobob","Jul 16, 2026 9:22:57"
"*051ox*",4,11,47,"SG","Nickeil Alexander-Walker","ATL","Son","Jul 16, 2026 12:56:23"
