"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","SirGladiator","Jul 17, 2026 1:26:16"
"*06cch*",1,2,2,"C","Victor Wembanyama","SA","Oceanman","Jul 17, 2026 1:26:17"
"*04kj6*",1,3,3,"PG","Luka Doncic","LAL","joberry","Jul 17, 2026 1:26:18"
"*04qro*",1,4,4,"PG","Shai Gilgeous-Alexander","OKC","boldest19","Jul 17, 2026 3:06:05"
"*05uib*",1,5,5,"PG","Cade Cunningham","DET","Skyrine","Jul 17, 2026 5:13:04"
"*031m2*",1,6,6,"PF","Giannis Antetokounmpo","MIA","jlinebaugh","Jul 17, 2026 5:13:05"
"*05uiu*",1,7,7,"SF","Jalen Johnson","ATL","BadHabits","Jul 17, 2026 8:19:27"
"*05qug*",1,8,8,"SG","Anthony Edwards","MIN","starks43","Jul 17, 2026 4:19:34"
"*05qsq*",1,9,9,"PG","Tyrese Maxey","PHI","bennyo","Jul 17, 2026 4:19:35"
"*04ewe*",1,10,10,"SG","Donovan Mitchell","CLE","Anyang","Jul 17, 2026 6:31:49"
"*03xmv*",1,11,11,"PF","Jayson Tatum","BOS","oceansstar","Jul 17, 2026 7:07:10"
"*05uie*",1,12,12,"PF","Scottie Barnes","TOR","Sternhold","Jul 18, 2026 3:07:21"
"*05qtv*",2,1,13,"PG","Tyrese Haliburton","IND","Sternhold","Jul 18, 2026 4:01:06"
"*001aw*",2,2,14,"PF","Kevin Durant","HOU","oceansstar","Jul 18, 2026 4:56:57"
"*06v5l*",2,3,15,"SF","Cooper Flagg","DAL","Anyang","Jul 18, 2026 11:59:31"
"*05uiq*",2,4,16,"C","Alperen Sengun","HOU","bennyo","Jul 18, 2026 11:59:32"
"*03lls*",2,5,17,"SF","Jaylen Brown","PHI","starks43","Jul 18, 2026 4:45:47"
"*06210*",2,6,18,"PF","Paolo Banchero","ORL","BadHabits","Jul 19, 2026 12:46:02"
"*03nwm*",2,7,19,"SG","Devin Booker","PHO","jlinebaugh","Jul 19, 2026 12:56:42"
"*042n4*",2,8,20,"PG","Jamal Murray","DEN","Skyrine","Jul 19, 2026 5:00:19"
"*03ad3*",2,9,21,"C","Karl-Anthony Towns","NY","boldest19","Jul 19, 2026 6:03:58"
"*01enh*",2,10,22,"PG","Stephen Curry","GS","joberry","Jul 19, 2026 6:03:58"
"*06ca8*",2,11,23,"SF","Amen Thompson","HOU","Oceanman","Jul 19, 2026 6:03:59"
"*04qrk*",2,12,24,"PG","Trae Young","WAS","SirGladiator","Jul 19, 2026 6:13:53"
"*01eo6*",3,1,25,"PG","James Harden","CLE","SirGladiator","Jul 19, 2026 6:14:29"
"*05qto*",3,2,26,"PG","LaMelo Ball","MIN","Oceanman","Jul 19, 2026 6:14:30"
"*05uus*",3,3,27,"SG","Austin Reaves","LAL","joberry","Jul 19, 2026 6:22:25"
"*04qsa*",3,4,28,"PG","Jalen Brunson","NY","boldest19","Jul 19, 2026 2:22:36"
"*02nf1*",3,5,29,"PF","Anthony Davis","WAS","Skyrine","Jul 19, 2026 2:57:46"
"*05uig*",3,6,30,"PG","Josh Giddey","CHI","jlinebaugh","Jul 19, 2026 3:27:07"
"*04ewf*",3,7,31,"C","Bam Adebayo","MIA","BadHabits","Jul 19, 2026 3:27:08"
"*0621c*",3,8,32,"C","Jalen Duren","DET","starks43","Jul 19, 2026 5:20:58"
"*05qtj*",3,9,33,"SF","Deni Avdija","POR","bennyo","Jul 19, 2026 5:25:36"
"*05uid*",3,10,34,"PF","Evan Mobley","CLE","Anyang","Jul 20, 2026 12:38:11"
"*04azw*",3,11,35,"PF","Lauri Markkanen","UTA","oceansstar","Jul 20, 2026 12:42:37"
"*027oz*",3,12,36,"SF","Kawhi Leonard","LAC","Sternhold","Jul 20, 2026 12:56:01"
"*05uir*",4,1,37,"SF","Trey Murphy","NO","Sternhold","Jul 20, 2026 12:56:13"
"*0621l*",4,2,38,"C","Walker Kessler","LAL","oceansstar","Jul 20, 2026 1:01:24"
"*042nm*",4,3,39,"PF","Pascal Siakam","IND","Anyang","Jul 20, 2026 7:52:17"
"*06mjz*",4,4,40,"C","Donovan Clingan","POR","bennyo","Jul 20, 2026 9:03:14"
"*06211*",4,5,41,"C","Chet Holmgren","OKC","starks43","Jul 20, 2026 12:30:47"
"*042n7*",4,6,42,"C","Domantas Sabonis","SAC","BadHabits","Jul 20, 2026 12:30:47"
"*03ajv*",4,7,43,"PF","Julius Randle","BKN","jlinebaugh","Jul 20, 2026 3:35:29"
