"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*03e75*",1,1,1,"C","Nikola Jokic","DEN","boldest19","Jul 15, 2026 6:53:58"
"*06cch*",1,2,2,"C","Victor Wembanyama","SA","Snooch","Jul 15, 2026 6:54:42"
"*04kj6*",1,3,3,"PG","Luka Doncic","LAL","NothinButNizzy","Jul 15, 2026 7:15:49"
"*04qro*",1,4,4,"PG","Shai Gilgeous-Alexander","OKC","F Hoops Edge","Jul 15, 2026 7:47:01"
"*05uiu*",1,5,5,"SF","Jalen Johnson","ATL","starks43","Jul 15, 2026 1:11:00"
"*05uib*",1,6,6,"PG","Cade Cunningham","DET","Sternhold","Jul 15, 2026 1:11:00"
"*05uie*",1,7,7,"PF","Scottie Barnes","TOR","Oceanman","Jul 15, 2026 1:11:02"
"*05qsq*",1,8,8,"PG","Tyrese Maxey","PHI","Alex717","Jul 15, 2026 4:26:58"
"*031m2*",1,9,9,"PF","Giannis Antetokounmpo","MIA","Anyang","Jul 15, 2026 4:32:59"
"*04ewe*",1,10,10,"SG","Donovan Mitchell","CLE","Wisconsimmy","Jul 15, 2026 4:56:59"
"*03xmv*",1,11,11,"PF","Jayson Tatum","BOS","BadHabits","Jul 15, 2026 4:56:59"
"*05qug*",1,12,12,"SG","Anthony Edwards","MIN","Spryte","Jul 15, 2026 7:48:54"
"*04qrk*",2,1,13,"PG","Trae Young","WAS","Spryte","Jul 15, 2026 7:56:10"
"*05uiq*",2,2,14,"C","Alperen Sengun","HOU","BadHabits","Jul 16, 2026 1:47:17"
"*02nf1*",2,3,15,"PF","Anthony Davis","WAS","Wisconsimmy","Jul 16, 2026 2:01:14"
"*05qtv*",2,4,16,"PG","Tyrese Haliburton","IND","Anyang","Jul 16, 2026 7:26:17"
"*03ad3*",2,5,17,"C","Karl-Anthony Towns","NY","Alex717","Jul 16, 2026 7:30:35"
"*01enh*",2,6,18,"PG","Stephen Curry","GS","Oceanman","Jul 16, 2026 7:30:35"
"*06v5l*",2,7,19,"SF","Cooper Flagg","DAL","Sternhold","Jul 16, 2026 7:37:35"
"*03lls*",2,8,20,"SF","Jaylen Brown","PHI","starks43","Jul 16, 2026 1:24:29"
"*06ca8*",2,9,21,"SF","Amen Thompson","HOU","F Hoops Edge","Jul 16, 2026 1:29:09"
"*042n4*",2,10,22,"PG","Jamal Murray","DEN","NothinButNizzy","Jul 16, 2026 1:38:54"
"*042n7*",2,11,23,"C","Domantas Sabonis","SAC","Snooch","Jul 16, 2026 1:38:54"
"*001aw*",2,12,24,"PF","Kevin Durant","HOU","boldest19","Jul 16, 2026 1:40:00"
"*05uid*",3,1,25,"PF","Evan Mobley","CLE","boldest19","Jul 16, 2026 1:40:24"
"*03nwm*",3,2,26,"SG","Devin Booker","PHO","Snooch","Jul 16, 2026 1:40:24"
"*04qsa*",3,3,27,"PG","Jalen Brunson","NY","NothinButNizzy","Jul 16, 2026 1:42:04"
"*06210*",3,4,28,"PF","Paolo Banchero","ORL","F Hoops Edge","Jul 16, 2026 2:28:49"
"*04azw*",3,5,29,"PF","Lauri Markkanen","UTA","starks43","Jul 16, 2026 6:22:28"
"*05uig*",3,6,30,"PG","Josh Giddey","CHI","Sternhold","Jul 16, 2026 8:02:37"
"*05qto*",3,7,31,"PG","LaMelo Ball","MIN","Oceanman","Jul 16, 2026 8:02:37"
"*04ewf*",3,8,32,"C","Bam Adebayo","MIA","Alex717","Jul 17, 2026 12:49:47"
"*01eo6*",3,9,33,"PG","James Harden","CLE","Anyang","Jul 17, 2026 6:06:11"
