"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*06cch*",1,1,1,"C","Victor Wembanyama","SA","boldest19","Jul 17, 2026 3:08:32"
"*03e75*",1,2,2,"C","Nikola Jokic","DEN","Son","Jul 17, 2026 3:20:40"
"*04qro*",1,3,3,"PG","Shai Gilgeous-Alexander","OKC","Sternhold","Jul 17, 2026 3:20:40"
"*04kj6*",1,4,4,"PG","Luka Doncic","LAL","thibs11","Jul 17, 2026 3:20:42"
"*05uib*",1,5,5,"PG","Cade Cunningham","DET","BIGPURPLEANDGOLD","Jul 17, 2026 3:49:16"
"*05qsq*",1,6,6,"PG","Tyrese Maxey","PHI","danco","Jul 17, 2026 6:44:23"
"*05qug*",1,7,7,"SG","Anthony Edwards","MIN","starks43","Jul 17, 2026 6:44:24"
"*03xmv*",1,8,8,"PF","Jayson Tatum","BOS","Bridgeburners","Jul 17, 2026 7:14:43"
"*031m2*",1,9,9,"PF","Giannis Antetokounmpo","MIA","shuey33","Jul 17, 2026 1:34:51"
"*06v5l*",1,10,10,"SF","Cooper Flagg","DAL","FantasyISO","Jul 17, 2026 1:35:42"
"*05uie*",1,11,11,"PF","Scottie Barnes","TOR","Oceanman","Jul 17, 2026 1:35:42"
"*05uiu*",1,12,12,"SF","Jalen Johnson","ATL","Chilling Reign","Jul 17, 2026 4:58:52"
"*05qtv*",2,1,13,"PG","Tyrese Haliburton","IND","Chilling Reign","Jul 17, 2026 4:58:55"
"*04ewe*",2,2,14,"SG","Donovan Mitchell","CLE","Oceanman","Jul 17, 2026 4:58:55"
"*03ad3*",2,3,15,"C","Karl-Anthony Towns","NY","FantasyISO","Jul 17, 2026 5:06:03"
"*04qrk*",2,4,16,"PG","Trae Young","WAS","shuey33","Jul 17, 2026 5:14:31"
"*001aw*",2,5,17,"PF","Kevin Durant","HOU","Bridgeburners","Jul 17, 2026 5:20:19"
"*01enh*",2,6,18,"PG","Stephen Curry","GS","starks43","Jul 17, 2026 5:25:58"
"*042n4*",2,7,19,"PG","Jamal Murray","DEN","danco","Jul 17, 2026 5:26:34"
"*05uiq*",2,8,20,"C","Alperen Sengun","HOU","BIGPURPLEANDGOLD","Jul 17, 2026 5:42:15"
"*02nf1*",2,9,21,"PF","Anthony Davis","WAS","thibs11","Jul 17, 2026 7:49:58"
"*04ewt*",2,10,22,"SG","Derrick White","BOS","Sternhold","Jul 18, 2026 3:50:06"
"*04qsa*",2,11,23,"PG","Jalen Brunson","NY","Son","Jul 18, 2026 3:54:22"
"*05uid*",2,12,24,"PF","Evan Mobley","CLE","boldest19","Jul 18, 2026 4:00:01"
"*05uig*",3,1,25,"PG","Josh Giddey","CHI","boldest19","Jul 18, 2026 4:00:24"
"*05uus*",3,2,26,"SG","Austin Reaves","LAL","Son","Jul 18, 2026 4:00:50"
"*027oz*",3,3,27,"SF","Kawhi Leonard","LAC","Sternhold","Jul 18, 2026 4:02:34"
"*06211*",3,4,28,"C","Chet Holmgren","OKC","thibs11","Jul 18, 2026 9:56:11"
"*05qto*",3,5,29,"PG","LaMelo Ball","MIN","BIGPURPLEANDGOLD","Jul 18, 2026 4:21:10"
"*04ewf*",3,6,30,"C","Bam Adebayo","MIA","danco","Jul 18, 2026 4:21:11"
"*03nwm*",3,7,31,"SG","Devin Booker","PHO","starks43","Jul 18, 2026 4:47:03"
"*01eo6*",3,8,32,"PG","James Harden","CLE","Bridgeburners","Jul 18, 2026 4:47:04"
"*06ca8*",3,9,33,"SF","Amen Thompson","HOU","shuey33","Jul 18, 2026 4:47:39"
"*04azw*",3,10,34,"PF","Lauri Markkanen","UTA","FantasyISO","Jul 18, 2026 4:50:42"
"*05qtj*",3,11,35,"SF","Deni Avdija","POR","Oceanman","Jul 18, 2026 4:50:42"
"*0621c*",3,12,36,"C","Jalen Duren","DET","Chilling Reign","Jul 18, 2026 5:20:54"
"*05uir*",4,1,37,"SF","Trey Murphy","NO","Chilling Reign","Jul 18, 2026 5:21:50"
"*0621b*",4,2,38,"SG","Jalen Williams","OKC","Oceanman","Jul 18, 2026 8:53:31"
"*06v5n*",4,3,39,"SF","Kon Knueppel","CHA","FantasyISO","Jul 18, 2026 8:57:54"
"*0621l*",4,4,40,"C","Walker Kessler","LAL","shuey33","Jul 18, 2026 9:06:42"
"*05qt3*",4,5,41,"SG","Desmond Bane","ORL","Bridgeburners","Jul 18, 2026 9:12:53"
"*04qrj*",4,6,42,"C","Jaren Jackson","UTA","starks43","Jul 19, 2026 2:31:49"
"*03lls*",4,7,43,"SF","Jaylen Brown","PHI","danco","Jul 19, 2026 2:31:50"
"*06cca*",4,8,44,"SF","Brandon Miller","CHA","BIGPURPLEANDGOLD","Jul 19, 2026 8:46:13"
"*04ewn*",4,9,45,"PF","OG Anunoby","NY","thibs11","Jul 19, 2026 10:30:49"
"*04qrr*",4,10,46,"SF","Michael Porter","BKN","Sternhold","Jul 19, 2026 12:01:44"
"*06mjz*",4,11,47,"C","Donovan Clingan","POR","Son","Jul 19, 2026 3:08:49"
"*049kb*",4,12,48,"PG","De'Aaron Fox","SA","boldest19","Jul 19, 2026 5:37:10"
"*06210*",5,1,49,"PF","Paolo Banchero","ORL","boldest19","Jul 19, 2026 5:37:52"
"*051ox*",5,2,50,"SG","Nickeil Alexander-Walker","ATL","Son","Jul 19, 2026 5:42:01"
"*0011e*",5,3,51,"SF","LeBron James","(N/A)","Sternhold","Jul 19, 2026 8:05:10"
"*06217*",5,4,52,"SG","Dyson Daniels","ATL","thibs11","Jul 19, 2026 8:05:28"
"*042n7*",5,5,53,"C","Domantas Sabonis","SAC","BIGPURPLEANDGOLD","Jul 19, 2026 8:52:10"
"*05qtt*",5,6,54,"C","Onyeka Okongwu","ATL","danco","Jul 19, 2026 8:52:10"
"*06mju*",5,7,55,"C","Alex Sarr","WAS","starks43","Jul 20, 2026 2:34:12"
"*03al2*",5,8,56,"C","Joel Embiid","PHI","Bridgeburners","Jul 20, 2026 2:34:12"
"*051ot*",5,9,57,"SG","Tyler Herro","MIL","shuey33","Jul 20, 2026 3:38:59"
"*06mk3*",5,10,58,"SF","Matas Buzelis","CHI","FantasyISO","Jul 20, 2026 3:39:51"
"*051ol*",5,11,59,"PG","Darius Garland","LAC","Oceanman","Jul 20, 2026 3:39:51"
"*04qrn*",5,12,60,"SF","Mikal Bridges","NY","Chilling Reign","Jul 20, 2026 4:00:03"
"*05uii*",6,1,61,"SF","Franz Wagner","ORL","Chilling Reign","Jul 20, 2026 4:00:08"
"*06ccf*",6,2,62,"SF","Ausar Thompson","DET","Oceanman","Jul 20, 2026 8:07:31"
"*06mk7*",6,3,63,"C","Kel'el Ware","MIL","FantasyISO","Jul 20, 2026 9:15:17"
"*02nf6*",6,4,64,"PG","Damian Lillard","POR","shuey33","Jul 20, 2026 2:55:19"
"*042nm*",6,5,65,"PF","Pascal Siakam","IND","Bridgeburners","Jul 20, 2026 2:55:19"
"*051oi*",6,6,66,"PG","Ja Morant","POR","starks43","Jul 20, 2026 4:00:16"
"*03ajv*",6,7,67,"PF","Julius Randle","BKN","danco","Jul 20, 2026 5:22:19"
"*042nq*",6,8,68,"PG","Dejounte Murray","NO","BIGPURPLEANDGOLD","Jul 20, 2026 5:43:57"
"*0527h*",6,9,69,"C","Naz Reid","CHA","thibs11","Jul 20, 2026 5:56:16"
"*06mk1*",6,10,70,"C","Zach Edey","MEM","Sternhold","Jul 20, 2026 6:18:59"
"*06v5k*",6,11,71,"SG","VJ Edgecombe","PHI","Son","Jul 20, 2026 6:25:21"
"*04qrp*",6,12,72,"SF","Miles Bridges","PHO","boldest19","Jul 20, 2026 6:27:13"
"*027oj*",7,1,73,"SG","Kyrie Irving","DAL","boldest19","Jul 20, 2026 6:27:40"
"*03r7z*",7,2,74,"SG","Norman Powell","CHI","Son","Jul 20, 2026 6:31:36"
"*06227*",7,3,75,"PG","Ryan Rollins","MIL","Sternhold","Jul 21, 2026 12:56:20"
"*06cby*",7,4,76,"PG","Keyonte George","UTA","thibs11","Jul 21, 2026 12:56:21"
"*076vc*",7,5,77,"PF","Cameron Boozer","MEM","BIGPURPLEANDGOLD","Jul 21, 2026 1:00:48"
"*05qu0*",7,6,78,"PF","Jaden McDaniels","MIN","danco","Jul 21, 2026 1:00:49"
"*06mjw*",7,7,79,"PG","Stephon Castle","SA","starks43","Jul 21, 2026 2:47:22"
"*042nt*",7,8,80,"C","Ivica Zubac","IND","Bridgeburners","Jul 21, 2026 2:47:22"
"*076t0*",7,9,81,"PF","Caleb Wilson","CHI","shuey33","Jul 21, 2026 3:37:07"
"*051p4*",7,10,82,"SG","Ty Jerome","MEM","FantasyISO","Jul 21, 2026 6:06:37"
"*06212*",7,11,83,"PF","Jabari Smith","HOU","Oceanman","Jul 21, 2026 6:06:37"
