"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*06cch*",1,1,1,"C","Victor Wembanyama","SA","Pilli","Jul 9, 2026 2:25:20"
"*03e75*",1,2,2,"C","Nikola Jokic","DEN","thibs11","Jul 9, 2026 2:25:22"
"*04qro*",1,3,3,"PG","Shai Gilgeous-Alexander","OKC","Lildaddy","Jul 9, 2026 2:26:07"
"*04kj6*",1,4,4,"PG","Luka Doncic","LAL","JDUB13","Jul 9, 2026 3:58:20"
"*05qsq*",1,5,5,"PG","Tyrese Maxey","PHI","Vemida","Jul 9, 2026 5:31:22"
"*03xmv*",1,6,6,"PF","Jayson Tatum","BOS","WarnerG","Jul 9, 2026 12:17:39"
"*05uib*",1,7,7,"PG","Cade Cunningham","DET","Arwido","Jul 9, 2026 12:22:33"
"*05uiu*",1,8,8,"SF","Jalen Johnson","ATL","boldest19","Jul 9, 2026 12:57:41"
"*031m2*",1,9,9,"PF","Giannis Antetokounmpo","MIA","Hoobob","Jul 9, 2026 1:02:04"
"*04qrk*",1,10,10,"PG","Trae Young","WAS","Son","Jul 9, 2026 1:07:12"
"*05qtv*",1,11,11,"PG","Tyrese Haliburton","IND","FantasyISO","Jul 9, 2026 1:11:07"
"*04ewe*",1,12,12,"SG","Donovan Mitchell","CLE","Sternhold","Jul 9, 2026 1:19:29"
"*05qug*",2,1,13,"SG","Anthony Edwards","MIN","Sternhold","Jul 9, 2026 1:19:37"
"*06v5l*",2,2,14,"SF","Cooper Flagg","DAL","FantasyISO","Jul 9, 2026 1:19:58"
"*05uie*",2,3,15,"PF","Scottie Barnes","TOR","Son","Jul 9, 2026 1:22:00"
"*001aw*",2,4,16,"PF","Kevin Durant","HOU","Hoobob","Jul 9, 2026 1:42:08"
"*042n4*",2,5,17,"PG","Jamal Murray","DEN","boldest19","Jul 9, 2026 1:44:57"
"*01enh*",2,6,18,"PG","Stephen Curry","GS","Arwido","Jul 9, 2026 9:45:05"
"*03nwm*",2,7,19,"SG","Devin Booker","PHO","WarnerG","Jul 9, 2026 10:56:06"
"*05qtj*",2,8,20,"SF","Deni Avdija","POR","Vemida","Jul 9, 2026 10:56:34"
"*06ca8*",2,9,21,"SF","Amen Thompson","HOU","JDUB13","Jul 10, 2026 12:23:32"
"*01eo6*",2,10,22,"PG","James Harden","CLE","Lildaddy","Jul 10, 2026 12:34:00"
"*04ewt*",2,11,23,"SG","Derrick White","BOS","thibs11","Jul 10, 2026 12:34:17"
"*03ad3*",2,12,24,"C","Karl-Anthony Towns","NY","Pilli","Jul 10, 2026 12:34:17"
"*06211*",3,1,25,"C","Chet Holmgren","OKC","Pilli","Jul 10, 2026 12:34:19"
"*05uid*",3,2,26,"PF","Evan Mobley","CLE","thibs11","Jul 10, 2026 12:35:58"
"*03lls*",3,3,27,"SF","Jaylen Brown","PHI","Lildaddy","Jul 10, 2026 12:39:13"
"*06210*",3,4,28,"PF","Paolo Banchero","ORL","JDUB13","Jul 10, 2026 12:42:15"
