"Player ID","Round","Pick","Ov Pick","Pos","Player","Team","Fantasy Team","Time (CEST)"
"*06cch*",1,1,1,"C","Victor Wembanyama","SA","boldest19","Jul 13, 2026 1:45:52"
"*03e75*",1,2,2,"C","Nikola Jokic","DEN","Pilli","Jul 13, 2026 1:45:52"
"*04qro*",1,3,3,"PG","Shai Gilgeous-Alexander","OKC","Oceanman","Jul 13, 2026 1:45:54"
"*05uib*",1,4,4,"PG","Cade Cunningham","DET","thibs11","Jul 13, 2026 1:45:55"
"*04kj6*",1,5,5,"PG","Luka Doncic","LAL","Son","Jul 13, 2026 1:51:59"
"*031m2*",1,6,6,"PF","Giannis Antetokounmpo","MIA","Anyang","Jul 13, 2026 1:51:59"
"*05qsq*",1,7,7,"PG","Tyrese Maxey","PHI","danco","Jul 13, 2026 4:31:03"
"*03xmv*",1,8,8,"PF","Jayson Tatum","BOS","Snooch","Jul 13, 2026 4:33:33"
"*001aw*",1,9,9,"PF","Kevin Durant","HOU","Tankerbell","Jul 13, 2026 5:53:36"
"*05uie*",1,10,10,"PF","Scottie Barnes","TOR","Faisenberg","Jul 13, 2026 11:37:37"
"*05qtv*",1,11,11,"PG","Tyrese Haliburton","IND","FantasyISO","Jul 13, 2026 11:46:20"
"*06v5l*",1,12,12,"SF","Cooper Flagg","DAL","Sternhold","Jul 13, 2026 11:56:02"
"*05uiu*",2,1,13,"SF","Jalen Johnson","ATL","Sternhold","Jul 13, 2026 11:56:12"
"*03ad3*",2,2,14,"C","Karl-Anthony Towns","NY","FantasyISO","Jul 13, 2026 12:02:21"
"*05qug*",2,3,15,"SG","Anthony Edwards","MIN","Faisenberg","Jul 13, 2026 12:32:15"
"*042n4*",2,4,16,"PG","Jamal Murray","DEN","Tankerbell","Jul 13, 2026 12:46:52"
"*04ewe*",2,5,17,"SG","Donovan Mitchell","CLE","Snooch","Jul 13, 2026 1:02:44"
"*06ca8*",2,6,18,"SF","Amen Thompson","HOU","danco","Jul 13, 2026 3:06:55"
"*06211*",2,7,19,"C","Chet Holmgren","OKC","Anyang","Jul 13, 2026 7:20:23"
"*03nwm*",2,8,20,"SG","Devin Booker","PHO","Son","Jul 13, 2026 7:26:54"
"*05uid*",2,9,21,"PF","Evan Mobley","CLE","thibs11","Jul 13, 2026 7:27:14"
"*04ewt*",2,10,22,"SG","Derrick White","BOS","Oceanman","Jul 13, 2026 8:40:35"
"*01enh*",2,11,23,"PG","Stephen Curry","GS","Pilli","Jul 13, 2026 9:08:12"
"*04qrk*",2,12,24,"PG","Trae Young","WAS","boldest19","Jul 13, 2026 9:11:41"
"*05uus*",3,1,25,"SG","Austin Reaves","LAL","boldest19","Jul 13, 2026 9:15:39"
"*05uig*",3,2,26,"PG","Josh Giddey","CHI","Pilli","Jul 13, 2026 9:31:53"
"*01eo6*",3,3,27,"PG","James Harden","CLE","Oceanman","Jul 14, 2026 2:10:14"
"*04qrj*",3,4,28,"C","Jaren Jackson","UTA","thibs11","Jul 14, 2026 2:10:15"
"*0621b*",3,5,29,"SG","Jalen Williams","OKC","Son","Jul 14, 2026 2:19:54"
"*05qto*",3,6,30,"PG","LaMelo Ball","MIN","Anyang","Jul 14, 2026 7:37:17"
"*05uiq*",3,7,31,"C","Alperen Sengun","HOU","danco","Jul 14, 2026 7:53:11"
"*042n7*",3,8,32,"C","Domantas Sabonis","SAC","Snooch","Jul 14, 2026 7:56:56"
"*02nf1*",3,9,33,"PF","Anthony Davis","WAS","Tankerbell","Jul 14, 2026 8:25:48"
"*04ewf*",3,10,34,"C","Bam Adebayo","MIA","Faisenberg","Jul 14, 2026 8:55:25"
"*05uir*",3,11,35,"SF","Trey Murphy","NO","FantasyISO","Jul 14, 2026 9:02:06"
"*04azw*",3,12,36,"PF","Lauri Markkanen","UTA","Sternhold","Jul 14, 2026 9:08:36"
"*05qtj*",4,1,37,"SF","Deni Avdija","POR","Sternhold","Jul 14, 2026 9:08:51"
"*027oz*",4,2,38,"SF","Kawhi Leonard","LAC","FantasyISO","Jul 14, 2026 9:16:01"
"*05qt3*",4,3,39,"SG","Desmond Bane","ORL","Faisenberg","Jul 14, 2026 9:26:21"
"*0011e*",4,4,40,"SF","LeBron James","(N/A)","Tankerbell","Jul 14, 2026 10:25:06"
"*05uii*",4,5,41,"SF","Franz Wagner","ORL","Snooch","Jul 14, 2026 11:48:05"
"*05qtt*",4,6,42,"C","Onyeka Okongwu","ATL","danco","Jul 14, 2026 12:36:40"
"*04qsa*",4,7,43,"PG","Jalen Brunson","NY","Anyang","Jul 14, 2026 6:24:05"
"*051ox*",4,8,44,"SG","Nickeil Alexander-Walker","ATL","Son","Jul 14, 2026 6:25:12"
"*06mju*",4,9,45,"C","Alex Sarr","WAS","thibs11","Jul 14, 2026 6:25:12"
"*06mk3*",4,10,46,"SF","Matas Buzelis","CHI","Oceanman","Jul 14, 2026 6:25:13"
"*06cca*",4,11,47,"SF","Brandon Miller","CHA","Pilli","Jul 14, 2026 6:29:41"
"*06v5n*",4,12,48,"SF","Kon Knueppel","CHA","boldest19","Jul 14, 2026 10:35:52"
"*04qrn*",5,1,49,"SF","Mikal Bridges","NY","boldest19","Jul 14, 2026 10:36:03"
"*03lls*",5,2,50,"SF","Jaylen Brown","PHI","Pilli","Jul 14, 2026 11:45:15"
"*06mjz*",5,3,51,"C","Donovan Clingan","POR","Oceanman","Jul 14, 2026 11:45:15"
"*06mk7*",5,4,52,"C","Kel'el Ware","MIL","thibs11","Jul 15, 2026 12:14:49"
"*06mk1*",5,5,53,"C","Zach Edey","MEM","Son","Jul 15, 2026 1:16:40"
"*0621l*",5,6,54,"C","Walker Kessler","LAL","Anyang","Jul 15, 2026 6:59:02"
"*06227*",5,7,55,"PG","Ryan Rollins","MIL","danco","Jul 15, 2026 7:00:00"
"*051ol*",5,8,56,"PG","Darius Garland","LAC","Snooch","Jul 15, 2026 7:13:10"
"*06cby*",5,9,57,"PG","Keyonte George","UTA","Tankerbell","Jul 15, 2026 8:16:45"
"*06210*",5,10,58,"PF","Paolo Banchero","ORL","Faisenberg","Jul 15, 2026 9:13:08"
"*04ewn*",5,11,59,"PF","OG Anunoby","NY","FantasyISO","Jul 15, 2026 9:45:47"
"*0621c*",5,12,60,"C","Jalen Duren","DET","Sternhold","Jul 15, 2026 9:51:47"
"*04qrr*",6,1,61,"SF","Michael Porter","BKN","Sternhold","Jul 15, 2026 9:52:13"
"*042nt*",6,2,62,"C","Ivica Zubac","IND","FantasyISO","Jul 15, 2026 10:46:08"
"*06mjw*",6,3,63,"PG","Stephon Castle","SA","Faisenberg","Jul 15, 2026 11:17:07"
"*042nq*",6,4,64,"PG","Dejounte Murray","NO","Tankerbell","Jul 15, 2026 12:21:30"
"*049kb*",6,5,65,"PG","De'Aaron Fox","SA","Snooch","Jul 15, 2026 12:22:24"
"*03ajv*",6,6,66,"PF","Julius Randle","BKN","danco","Jul 15, 2026 12:22:58"
"*03al2*",6,7,67,"C","Joel Embiid","PHI","Anyang","Jul 15, 2026 4:38:50"
"*03r7z*",6,8,68,"SG","Norman Powell","CHI","Son","Jul 15, 2026 4:44:00"
"*05qt1*",6,9,69,"PG","Payton Pritchard","BOS","thibs11","Jul 15, 2026 4:44:01"
"*02xg9*",6,10,70,"C","Rudy Gobert","MIN","Oceanman","Jul 15, 2026 4:44:02"
"*027oj*",6,11,71,"SG","Kyrie Irving","DAL","Pilli","Jul 15, 2026 5:22:02"
"*06v5h*",6,12,72,"C","Derik Queen","NO","boldest19","Jul 15, 2026 9:26:05"
"*042n1*",7,1,73,"SF","Brandon Ingram","TOR","boldest19","Jul 15, 2026 9:26:36"
"*042nm*",7,2,74,"PF","Pascal Siakam","IND","Pilli","Jul 15, 2026 9:45:08"
"*01uyj*",7,3,75,"PF","Paul George","BOS","Oceanman","Jul 15, 2026 9:45:08"
"*051oi*",7,4,76,"PG","Ja Morant","POR","thibs11","Jul 15, 2026 11:57:27"
"*0527h*",7,5,77,"C","Naz Reid","CHA","Son","Jul 16, 2026 12:01:00"
