Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Viktor Lakhin",SAC,23,12,6,1,2,4,0,0,5,7,1,1,71.4,100.0,2.14,0.30,9.28
2,"Cameron Carr",LAL,31,26,8,1,0,0,1,4,7,16,4,5,43.8,80.0,0.46,0.51,7.93
3,"Hunter Sallis",BKN,26,15,6,6,1,2,3,3,5,12,1,1,41.7,100.0,0.10,0.30,7.52
4,"Deivon Smith",GS,18,12,6,4,2,1,2,0,4,6,3,3,66.7,100.0,1.55,0.90,6.64
5,"Ben Humrichous",BKN,29,15,8,1,2,0,2,5,5,13,0,0,38.5,,-0.31,0.00,6.41
6,"Kobe Stewart",MIL,27,13,8,2,0,0,1,3,4,6,2,2,66.7,100.0,1.55,0.60,6.17
7,"Chance McMillian",GS,17,12,2,3,3,0,1,2,5,7,0,0,71.4,,2.14,0.00,5.89
8,"Nicholas Boyd",GS,27,11,6,10,1,0,3,0,4,7,2,2,57.1,100.0,1.14,0.60,5.44
9,"Chris Manon",LAL,20,12,3,3,2,0,1,0,4,5,3,3,80.0,100.0,1.96,0.90,5.09
10,"Tre Donaldson",MIA,24,11,2,4,2,0,1,1,4,4,1,1,100.0,100.0,2.37,0.30,4.99
11,"Emanuel Miller",SA,25,12,6,2,2,0,1,2,4,9,1,1,44.4,100.0,0.32,0.30,4.88
12,"Tre White",MIA,27,11,6,0,1,2,2,2,2,4,2,2,50.0,100.0,0.37,0.60,4.50
13,"Lachlan Olbrich",GS,15,13,4,4,0,0,0,1,6,8,0,0,75.0,,2.73,0.00,4.40
14,"Dion Brown",BKN,28,9,6,8,2,0,1,1,4,9,0,1,44.4,0.0,0.32,-0.70,4.31
15,"Anton Watson",LAL,27,12,10,0,2,0,1,1,4,12,2,2,33.3,100.0,-0.90,0.60,4.09
16,"Kira Lewis Jr.",MIL,21,13,3,4,0,0,1,3,4,8,1,1,50.0,100.0,0.73,0.30,3.90
17,"Ryan Conwell",MIA,31,16,7,3,1,0,2,2,6,18,1,1,33.3,100.0,-1.35,0.30,3.10
18,"Yaxel Lendeborg",GS,24,11,8,2,1,2,2,3,4,11,0,2,36.4,0.0,-0.49,-1.40,2.17
19,"Trevor Keels",MIA,30,16,4,3,2,0,2,1,5,15,3,4,33.3,75.0,-1.13,0.20,2.14
20,"Duke Brennan",BKN,23,10,12,2,1,1,2,0,5,11,0,1,45.5,0.0,0.51,-0.70,2.08
21,"Brandon Boston Jr.",MIL,28,18,3,1,1,0,4,2,7,13,1,1,53.8,100.0,1.69,0.30,1.78
22,"Jacksen Moni",GS,23,18,3,0,1,0,1,0,4,8,6,8,50.0,75.0,0.73,0.41,1.44
23,"Hyunjung Lee",SA,17,11,2,0,0,0,0,2,4,7,1,1,57.1,100.0,1.14,0.30,1.38
24,"Aaron Scott",BKN,27,9,6,1,1,0,0,1,2,6,2,3,33.3,66.7,-0.45,-0.10,1.07
25,"John Butler Jr.",MIL,22,5,1,1,1,4,2,1,1,6,1,1,16.7,100.0,-1.45,0.30,0.95
26,"Dain Dainja",BKN,17,10,7,2,0,1,1,0,5,8,0,1,62.5,0.0,1.73,-0.70,0.90
27,"AK Okereke",LAL,18,7,2,0,0,1,0,1,2,2,1,1,100.0,100.0,1.18,0.30,0.81
28,"Malevy Leons",GS,22,8,9,0,0,1,2,0,4,6,0,0,66.7,,1.55,0.00,0.75
29,"Graham Ike",GS,18,8,6,0,2,0,0,0,2,6,2,3,33.3,66.7,-0.45,-0.10,0.59
30,"Will Richard",GS,23,9,4,2,2,0,1,1,3,8,1,2,37.5,50.0,-0.27,-0.40,0.59
31,"Zack Austin",MIL,22,11,4,0,0,1,0,1,4,12,1,1,33.3,100.0,-0.90,0.30,0.57
32,"Zhaire Smith",LAL,18,10,2,1,0,1,0,1,3,6,2,3,50.0,66.7,0.55,-0.10,0.50
33,"Cameron Tyson",GS,21,9,3,1,0,0,0,3,3,10,0,0,30.0,,-1.09,0.00,0.25
34,"RJ Nembhard Jr.",GS,28,17,3,2,0,0,4,0,5,11,4,4,45.5,100.0,0.51,1.20,0.05
35,"Jahmir Young",MIA,24,14,5,2,1,0,3,2,5,13,1,2,38.5,50.0,-0.31,-0.40,-0.05
36,"Keyshawn Hall",MIA,14,6,6,1,1,0,2,0,2,3,1,1,66.7,100.0,0.77,0.30,-0.24
37,"J'Vonne Hadley",MIA,17,4,4,2,0,1,1,0,1,1,1,1,100.0,100.0,0.59,0.30,-0.25
38,"RJ Melendez",SA,16,5,5,0,1,2,3,1,1,4,1,1,25.0,100.0,-0.63,0.30,-0.33
39,"William Hickey",LAL,20,0,3,7,2,1,2,0,0,6,0,0,0.0,,-2.45,0.00,-0.67
40,"Chase Hunter",GS,10,6,2,1,0,0,1,2,2,3,0,0,66.7,,0.77,0.00,-0.90
41,"LJ Cryer",GS,22,10,1,2,1,0,3,2,4,9,0,0,44.4,,0.32,0.00,-0.98
42,"Hason Ward",GS,9,6,2,0,0,1,0,0,2,4,1,1,50.0,100.0,0.37,0.30,-1.00
43,"Reese Dixon-Waters",GS,20,6,4,0,1,2,2,2,2,7,0,1,28.6,0.0,-0.86,-0.70,-1.10
