Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Allen Graves",TOR,27,23,6,4,1,2,0,4,8,16,2,2,50.0,100.0,1.13,0.55,11.62
2,"Jahmir Young",MIA,33,30,12,3,2,1,7,5,12,24,1,1,50.0,100.0,1.70,0.27,10.51
3,"Seth Lundy",TOR,27,19,3,6,3,0,0,2,6,11,3,3,54.5,100.0,1.28,0.82,9.64
4,"Isaiah Wong",ATL,22,20,5,2,4,1,2,2,7,11,4,5,63.6,80.0,2.28,0.37,9.40
5,"Mark Sears",DEN,27,26,0,4,2,1,1,4,8,14,4,5,57.1,80.0,1.99,0.37,9.31
6,"Bryce Hopkins",DEN,27,18,8,3,2,0,0,3,6,11,2,2,54.5,100.0,1.28,0.55,9.19
7,"Nate Bittle",TOR,18,13,7,3,1,3,2,3,5,9,0,0,55.6,,1.14,0.00,7.97
8,"Graham Ike",GS,26,15,9,3,1,3,1,0,4,10,4,5,40.0,80.0,-0.29,0.37,6.89
9,"Chris Youngblood",POR,22,11,4,8,2,1,3,3,4,7,0,0,57.1,,1.00,0.00,6.86
10,"Cedric Coward",MEM,24,23,3,3,1,0,1,2,7,12,3,3,58.3,100.0,1.85,0.82,6.60
11,"Trevon Brazile",DEN,29,19,8,1,0,3,2,2,7,17,2,2,41.2,100.0,-0.30,0.55,6.41
12,"Tristen Newton",HOU,22,20,6,1,2,1,3,2,7,13,2,2,53.8,100.0,1.42,0.55,6.28
13,"Liam Robbins",NY,20,13,9,2,0,4,4,1,5,9,1,1,55.6,100.0,1.14,0.27,6.09
14,"Cameron Boozer",MEM,29,24,7,3,1,0,4,1,10,13,2,3,76.9,66.7,4.42,-0.18,5.65
15,"LJ Cryer",GS,27,17,4,5,2,0,4,5,6,13,0,0,46.2,,0.42,0.00,5.60
16,"Yang Hansen",POR,26,13,5,3,1,4,4,1,6,11,0,0,54.5,,1.28,0.00,5.59
17,"John Poulakidas",DAL,27,19,3,3,1,1,3,5,6,14,1,1,42.9,100.0,-0.01,0.27,5.55
18,"Egor Demin",BKN,31,21,4,3,2,1,4,5,8,20,0,0,40.0,,-0.59,0.00,5.55
19,"Nate Johnson",OKC,25,14,1,3,4,0,2,4,4,11,1,1,36.4,100.0,-0.72,0.27,5.16
20,"Darin Green Jr.",DAL,25,18,5,1,0,0,0,4,7,13,0,0,53.8,,1.42,0.00,4.83
21,"Brooks Barnhizer",OKC,29,21,12,5,1,1,2,1,8,16,2,5,50.0,40.0,1.13,-1.63,4.82
22,"Chaney Johnson",BKN,25,8,5,2,3,1,1,0,3,4,1,1,75.0,100.0,1.28,0.27,4.63
