Rank,Name,Team,MIN,PTS,REB,AST,STL,BLK,TO,3PM,FGM,FGA,FTM,FTA,FG%,FT%,FGImpact,FTImpact,Composite
1,"Jonas Aidoo",UTAH,22,16,14,1,0,4,1,1,7,8,1,1,87.5,100.0,3.57,0.39,9.64
2,"Devon Higgs",ATL,25,22,5,2,0,2,2,2,7,9,3,4,77.8,75.0,3.14,0.55,6.51
3,"Justin Harmon",UTAH,25,11,6,3,1,2,1,1,5,7,0,0,71.4,,2.00,0.00,4.76
4,"Bez Mbeng",UTAH,20,9,1,7,3,0,0,1,3,5,1,2,60.0,50.0,0.85,-0.22,4.61
5,"Isaac McKneely",ATL,27,12,1,5,1,0,0,4,4,8,0,0,50.0,,0.57,0.00,4.42
6,"Matthew Cleveland",UTAH,25,15,5,0,3,1,4,3,5,9,1,1,55.6,100.0,1.14,0.39,3.83
7,"Jevon Porter",MEM,26,12,10,2,2,0,1,2,4,9,1,2,44.4,50.0,0.14,-0.22,3.57
8,"Hayden Gray",UTAH,20,12,3,5,2,0,2,1,4,6,2,3,66.7,66.7,1.43,0.16,3.29
9,"Isaiah Wong",ATL,24,15,4,2,2,0,2,3,6,12,0,0,50.0,,0.85,0.00,3.18
10,"Max Abmas",UTAH,21,15,0,6,1,0,2,3,6,13,0,0,46.2,,0.42,0.00,2.95
11,"Josh Dix",OKC,24,16,4,2,0,1,2,4,6,9,0,1,66.7,0.0,2.14,-0.61,2.87
12,"Zeke Mayo",ATL,14,11,0,1,2,0,0,3,4,5,0,0,80.0,,1.85,0.00,2.86
13,"Zach Cleveland",MEM,24,8,7,3,1,1,2,0,2,3,2,2,66.7,100.0,0.71,0.78,2.68
14,"Steven Ashworth",OKC,15,16,1,2,0,0,3,4,4,5,2,2,80.0,100.0,1.85,0.78,2.58
15,"Brendan Hausen",MEM,28,21,1,2,0,0,4,5,5,13,3,3,38.5,100.0,-0.58,1.16,2.51
16,"Tyler Burton",MEM,25,8,7,2,2,0,0,0,4,10,0,0,40.0,,-0.29,0.00,1.44
17,"Brooks Barnhizer",OKC,21,15,10,1,1,0,4,1,5,12,2,2,41.7,100.0,-0.15,0.78,1.33
18,"Henri Veesaar",ATL,24,11,5,4,1,1,4,2,4,9,1,2,44.4,50.0,0.14,-0.22,0.97
19,"Carson Cooper",MEM,19,12,5,1,0,1,3,1,4,8,2,2,50.0,100.0,0.57,0.78,0.59
20,"Lawson Lovering",MEM,21,4,7,2,2,3,4,0,2,3,0,1,66.7,0.0,0.71,-0.61,0.57
21,"Jacob Toppin",ATL,27,14,9,0,0,0,2,0,3,11,5,6,27.3,83.3,-1.72,1.33,0.02
22,"Jaxon Kohler",UTAH,18,2,9,2,2,0,0,0,1,4,0,1,25.0,0.0,-0.72,-0.61,-0.35
23,"Anthony Pritchard",OKC,25,6,2,2,2,0,0,0,3,8,0,0,37.5,,-0.43,0.00,-0.46
24,"Taylor Hendricks",MEM,28,11,3,2,0,3,3,1,3,14,2,3,21.4,66.7,-3.01,0.16,-1.02
25,"Cameron Corhen",ATL,16,2,6,1,4,0,1,0,1,6,0,1,16.7,0.0,-1.57,-0.61,-1.11
26,"Nate Johnson",OKC,19,4,0,0,2,1,1,0,1,4,1,1,25.0,100.0,-0.72,0.39,-1.65
27,"Blake Hinson",UTAH,17,8,1,2,0,0,0,2,3,8,0,1,37.5,0.0,-0.43,-0.61,-2.04
28,"Kobe Knox",ATL,12,6,1,1,0,0,0,0,3,4,0,0,75.0,,1.28,0.00,-2.11
29,"Eric Dixon",UTAH,26,11,7,1,1,0,4,1,4,11,1,2,36.4,50.0,-0.72,-0.22,-2.39
30,"Eli Ndiaye",ATL,15,3,1,1,0,0,0,1,1,3,0,0,33.3,,-0.29,0.00,-2.92
31,"Bryce Thompson",OKC,17,6,3,1,1,0,1,0,3,10,0,0,30.0,,-1.29,0.00,-2.95
32,"Micah Handlogten",UTAH,6,4,5,0,0,0,0,0,2,2,0,1,100.0,0.0,1.14,-0.61,-3.01
33,"Jestin Porter",MEM,29,6,1,3,0,0,2,2,2,10,0,0,20.0,,-2.29,0.00,-3.35
34,"Payton Sandfort",OKC,19,0,4,3,1,0,0,0,0,9,0,0,0.0,,-3.86,0.00,-3.53
35,"RayJ Dennis",ATL,16,0,1,7,0,0,1,0,0,4,0,1,0.0,0.0,-1.72,-0.61,-3.58
36,"Christoph Tilly",OKC,19,4,4,3,1,2,3,0,2,5,0,3,40.0,0.0,-0.15,-1.84,-3.82
37,"Jabri Abdur-Rahim",OKC,3,0,0,0,1,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-4.10
38,"Sam Alexis",OKC,10,2,5,1,0,0,1,0,1,2,0,1,50.0,0.0,0.14,-0.61,-4.15
39,"Elijah Mahi",OKC,3,0,0,0,0,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-5.06
40,"Andrew Holifield",OKC,3,0,0,0,0,0,0,0,0,1,0,0,0.0,,-0.43,0.00,-5.06
41,"Bryce Harris",OKC,3,0,0,0,0,0,1,0,0,2,0,0,0.0,,-0.86,0.00,-6.05
42,"Buddy Boeheim",OKC,17,0,0,0,0,0,0,0,0,6,0,0,0.0,,-2.57,0.00,-6.47
